tax_code,tax_nm,common_nm
400362,Labridae,Wrasses
400364,Scaridae,Parrotfishes
400371,Pinguipedidae,Sandperches
400377,Trachinidae,Weeverfishes
400382,Nototheniidae,Cod icefishes
400383,Bathydraconidae,Antarctic dragonfishes
400384,Channichthyidae,Crocodile icefishes
400392,Blenniidae,Combtooth blennies
400396,Anarhichadidae,Wolffishes
400402,Ammodytidae,Sand lances
400405,Gobiidae,Gobies
400412,Acanthuridae,Surgeonfishes and tangs and unicornfishes
400413,Siganidae,Rabbitfishes
400414,Gempylidae,Snake mackerels
400415,Trichiuridae,Cutlassfishes
400416,Scombridae,Mackerels  tunas and bonitos
400417,Xiphiidae,Swordfish
400419,Istiophoridae,Billfishes
400421,Centrolophidae,Medusafishes
400425,Stromateidae,Butterfishes
400439,Bothidae,Lefteye flounders
400440,Pleuronectidae,Righteye flounders
400441,Soleidae,Soles
400442,Cynoglossidae,Tonguefishes
400445,Balistidae,Triggerfishes
400446,Ostraciidae,Boxfishes (cowfish and trunkfish)
400448,Tetraodontidae,Puffers
400449,Diodontidae,Porcupinefishes (burrfishes)
400454,Engraulidae,Anchovies
400459,Caesionidae,Fusiliers
400460,Pomacanthidae,Angelfishes
400475,Hemiramphidae,Halfbeaks
400479,Inermiidae,Bonnetmouths
400488,Triakidae,Houndsharks
400504,Muraenesocidae,Pike congers
400509,Ambassidae,Asiatic glassfishes
400514,Paralichthyidae,Large-tooth flounders
400515,Scophthalmidae,Turbots
400517,Monacanthidae,Filefishes
400578,Synanceiidae,Stonefishes
400581,Peristediidae,Armored searobins or armored gurnards
400595,Macroramphosidae,Snipefishes
400627,Lateolabracidae,Asian seaperches
490004,Ommastrephidae,Arrow squids
490010,Loliginidae,Common squids
490011,Sepiidae,Cuttlefishes
490012,Octopodidae,Octopuses
490021,Buccinidae,Buccinidae
490023,Littorinidae,Littorinidae
490030,Palaemonidae,Palaemonid shrimps
490031,Portunidae,Swimming crabs
490036,Lithodidae,King crabs
490037,Xanthidae,Xanthidae
490039,Palinuridae,Spiny lobsters
490040,Scyllaridae,Slipper lobsters
490041,Sergestidae,Sergestid shrimp
490042,Aristeidae,Aristeid shrimps
490043,Penaeidae,Penaeid shrimps
490044,Crangonidae,Crongonid shrimp
490046,Pandalidae,Norther shrimps
490052,Squillidae,Mantis shrimps
490054,Mytilidae,Sea mussels
490055,Pectinidae,Scallops
490056,Arcidae,Arcidae
490058,Cardiidae,Cockles
490060,Veneridae,Venus clams
490061,Solenidae,Razor clams and knife clams
490062,Tridacnidae,Tridacnidae
490063,Mactridae,Mactra surf clams
490097,Brachyura,Marine crabs
490124,Galatheidae,Squat lobsters
490125,Tellinidae,Tellinidae
490132,Holothuriidae,sea cucumbers
490133,Cassidae,HELMET SHELLS
490134,Conidae,CONE SHELLS
490137,Diogenidae,Hermit crabs
490142,Neritidae,NERITES
490143,Ostreidae,TRUE OYSTERS
490152,Chitonidae,CHITONS
500048,Paralichthys,American flounders
500107,Squalus,Dogfishes
500108,Raja,Skates
500112,Lophius,Monkfishes
500116,Coryphaena,Coryphaena
500122,Trachinus,Weevers
500124,Ammodytes,Sandlances
500125,Uranoscopus,Stargazers
500134,Scorpaena,Scorpionfish
500136,Salmo,Salmon and trout
500142,Scomber,Mackerels
500143,Mullus,Western goatfishes
500144,Trigla,Gurnards
500147,Argentina,Argentines
500152,Mugil,Grey mullets
500154,Diodon,Diodon
500158,Coryphaenoides,Coryphaenoides
500211,Trachipterus,Deaf fishes
500240,Siganus,Rabbitfishes
500242,Scarus,Scarus
500327,Macrourus,Grenadiers
500348,Mustelus,Smooth-hounds
500351,Rhinobatos,Guitarfish
500352,Alosa,Shads
500357,Lutjanus,Snappers
500366,Epinephelus,Groupers
500372,Sphyraena,Barracudas
500384,Gymnothorax,Gymnothorax
500391,Lampris,Lampris
500467,Caranx,Jacks
500468,Scomberoides,Queenfishes
500475,Caesio,Fusiliers
500476,Plectorhinchus,Plectorhinchus
500477,Kyphosus,Sea chubs
500480,Naso,Naso
500487,Scomberomorus,Seerfishes
500495,Prionotus,Sea robins
500504,Centropomus,Snooks
500508,Cheilinus,Cheilinus
500515,Leiognathus,Slipmouths
500537,Achirus,Achirus
500551,Plotosus,Eel catfishes
500598,Trachinotus,Pompanos
500618,Solea,Soles
500638,Isurus,Mako sharks
500639,Alopias,Thresher sharks
500640,Galeus,Catsharks
500642,Etmopterus,Lanternsharks
500646,Dasyatis,Stingrays
500654,Merluccius,Hakes
500657,Hippocampus,Hippocampus
500661,Trachurus,Jack and horse mackerels
500679,Spicara,Picarels
500686,Gaidropsarus,Rocklings
500693,Sphyrna,Hammerhead sharks
500705,Diplodus,Seabreams and porgies
500716,Epigonus,Cardinalfishes
500717,Myoxocephalus,Sculpins
500732,Ogcocephalus,Ogcocephalus
500808,Scolopsis,Monocle breams
500809,Dentex,Seabreams (Dentex spp)
500814,Scyliorhinus,Lesser catsharks
500854,Aluterus,Aluterus
500856,Chirocentrus,Wolf herring
500901,Serranus,Groupers
500903,Pagrus,Seabreams (Pagrus spp)
500912,Priacanthus,Bigeyes
500913,Terapon,Trumpeters
500928,Seriola,Amberjacks
501055,Gerres,Silver biddies
501096,Molva,Lings
501116,Etelis,Etelis
501129,Beryx,Alfonsinos
501130,Myripristis,Myripristis
501132,Upeneus,Tropical goatfishes
501135,Sebastes,Redfishes
501143,Haemulon,Haemulon
501144,Lethrinus,Lethrinus
501145,Pagellus,Pandoras
501163,Auxis,Frigate tuna
501164,Peprilus,Harvestfishes
501242,Scatophagus,Scats
501327,Micropogonias,Western croakers
501345,Tylosurus,Needlefishes
501410,Salvelinus,Char
501418,Microchirus,Iberian soles
501464,Pristiophorus,Sawsharks
501486,Lycodes,Eelpouts
501523,Nemadactylus,Porae
501548,Chrysoblephus,Seabreams
501550,Lithognathus,Steenbras
501551,Calamus,Porgies
501552,Nemipterus,Threadfin breams
501634,Cypselurus,Cypselurus
501677,Cantherhines,Filefishes
501826,Muraenesox,Conger eels
501905,Thunnus,Tuna
501940,Sardinella,Sardinella
501941,Harengula,Herring
501945,Dussumieria,Dussumieria
502004,Seriolella,Barrelfishes
502102,Decapterus,Scads
502124,Pristipomoides,Pristipomoides
502224,Porichthys,Porichthys
502364,Paralabrax,Sand basses
502403,Eucinostomus,Eucinostomus
502417,Genypterus,Cusk eels
502666,Macolor,Macolor
502682,Dicentrarchus,European/spotted seabass
502724,Oncorhynchus,Pacific salmon
502790,Menticirrhus,Kingcroakers
502794,Cynoscion,Weakfishes
503028,Mycteroperca,Cat groupers
503078,Hydrolagus,Chimaeras
503124,Lepidorhombus,Megrims
503128,Rhombosolea,Flounders
503152,Pseudotolithus,Croakers
503328,Notoscopelus,Lampfish
503456,Parupeneus,Parupeneus
503580,Gymnocranius,Large-eye breams
503663,Vimba,Vimba
504054,Muraenolepis,Moray cods
504140,Benthodesmus,Frostfishes
504212,Liza,Liza
504872,Dissostichus,Toothfishes
504943,Pterygotrigla,Pterygotrigla
505469,Rastrelliger,Indo-Pacific mackerels
505586,Anchoviella,Anchoviella
505799,Austroglossus,Southern soles
505897,Anarhichas,Wolffish
506253,Coregonus,Whitefishes
507028,Mulloidichthys,Mulloidichthys
507720,Stolephorus,Indo-Pacific anchovies
508611,Bathyraja,Skates
509125,Sphoeroides,Puffers
509206,Abudefduf,Abudefduf
509207,Acanthurus,Acanthurus
509232,Thryssa,Thryssa
509274,Torpedo,Electric rays
509279,Anguilla,Anguilla
509289,Hemiramphus,Halfbeaks
509303,Phycis,Gunnels and forkbeards
509309,Sargocentron,Sargocentron
509366,Trematomus,Antarctic rockcods
520007,Pampus,Silver pomfrets
590010,Loligo,Common squids
590011,Sepia,Sepia
590013,Octopus,Octopuses
590014,Crassostrea,Cupped oysters
590024,Eledone,Horned and musky octopuses
590046,Haliotis,Abalones
590049,Littorina,Periwinkles
590050,Murex,Murex shells
590051,Strombus,Stromboid conchs
590053,Turbo,Turbo snails
590062,Callinectes,Blue crabs
590065,Chionoecetes,Pacific snow crabs
590067,Geryon,Deepsea crabs
590070,Lithodes,Lithodes
590073,Paralithodes,King crabs
590074,Paralomis,Paralomis
590075,Portunus,Swims crabs
590076,Scylla,Scylla
590079,Metanephrops,Lobsterette
590082,Palinurus,Spiny lobsters
590083,Panulirus,Tropical spiny lobsters
590091,Metapenaeus,Metapenaeus shrimps
590093,Pandalus,Pandalus shrimps
590094,Parapenaeopsis,Shrimps
590096,Penaeus,Penaeus shrimps
590103,Euphausia,Euphausia
590107,Lepas,Goose barnacles
590110,Busycon,Whelks
590111,Rapana,Sea snails
590112,Ostrea,Flat oysters
590116,Modiolus,Horse mussels
590117,Mytilus,Mussels
590124,Anadara,Anadara clams
590125,Arca,Ark clams
590128,Donax,Donax clams
590129,Dosinia,Dosinia
590134,Meretrix,Hard clams
590137,Mulinia,Taquilla clams
590139,Paphia,Short neck clams
590143,Scapharca,Arks
590145,Solen,Razor clams
590146,Spisula,Surf clam
590158,Strongylocentrotus,Sea urchins
590160,Pinctada,Pearl oyster shells
590195,Trochus,Trochus
590242,Patella,Limpets
590244,Scyllarides,Scyllarides
590252,Cymbium,Gondolas
590260,Sclerocrangon,Sculptured shrimps
590262,Tellina,Tellins
590269,Tresus,Gaper clams
590272,Charybdis,Indo-Pacific swimming crabs
590323,Lambis,SPIDER CONCH
590401,Stomolophus,Jellyfishes
600004,Engraulis ringens,Anchoveta
600005,Orthopristis chrysoptera,Pigfish
600006,Coryphaena hippurus,Common dolphinfish
600015,Epinephelus guttatus,Red hind
600016,Epinephelus itajara,Goliath grouper
600017,Epinephelus morio,Red grouper
600018,Epinephelus striatus,Nassau grouper
600020,Argentina sphyraena,Argentine
600024,Clupea harengus,Atlantic herring
600026,Glyptocephalus cynoglossus,Witch flounder
600027,Lepidorhombus boscii,Fourspotted megrim
600028,Lepidorhombus whiffiagonis,Megrim
600029,Merlangius merlangus,Whiting
600030,Merluccius merluccius,European hake
600031,Micromesistius poutassou,Blue whiting
600032,Microchirus variegatus,Thickback sole
600033,Molva molva,Ling
600034,Pollachius pollachius,Pollack
600035,Anguilla anguilla,European eel
600039,Aphia minuta,Transparent goby
600041,Arnoglossus laterna,Scaldfish
600044,Chelidonichthys cuculus,East Atlantic red gurnard
600045,Atherina presbyter,Sand smelt
600047,Belone belone,Garpike
600051,Brosme brosme,Tusk
600054,Capros aper,Boarfish
600056,Cepola macrophthalma,Red bandfish
600058,Coris julis,Mediterranean rainbow wrasse
600062,Cyclopterus lumpus,Lumpsucker
600063,Dicentrarchus labrax,European seabass
600066,Engraulis encrasicolus,European anchovy
600068,Eutrigla gurnardus,Grey gurnard
600069,Gadus morhua,Atlantic cod
600071,Caranx hippos,Crevalle jack
600072,Gobius niger,Black goby
600076,Helicolenus dactylopterus,Blackbelly rosefish
600077,Istiophorus platypterus,Indo-Pacific sailfish
600078,Istiophorus albicans,Atlantic sailfish
600080,Chanos chanos,Milkfish
600081,Aphareus furca,Small toothed jobfish
600083,Aphareus rutilans,Rusty jobfish
600084,Aprion virescens,Green jobfish
600086,Apsilus fuscus,African forktail snapper
600087,Etelis carbunculus,Ruby snapper
600088,Lamna nasus,Porbeagle
600089,Acanthocybium solandri,Wahoo
600090,Cetorhinus maximus,Basking shark
600091,Allothunnus fallai,Slender tuna
600093,Auxis rochei rochei,Bullet tuna
600094,Auxis thazard thazard,Frigate tuna
600096,Euthynnus affinis,Kawakawa
600097,Euthynnus alletteratus,Little tunny
600098,Euthynnus lineatus,Black skipjack
600099,Alepisaurus ferox,Long snouted lancetfish
600101,Alosa alosa,Allis shad
600105,Alosa immaculata,Pontic shad
600106,Gymnosarda unicolor,Dogtooth tuna
600107,Katsuwonus pelamis,Skipjack tuna
600108,Orcynopsis unicolor,Plain bonito
600109,Rastrelliger brachysoma,Short mackerel
600111,Rastrelliger kanagurta,Indian mackerel
600113,Sarda chiliensis chiliensis,Eastern Pacific bonito
600114,Sarda orientalis,Striped bonito
600115,Sarda sarda,Atlantic bonito
600116,Scomber australasicus,Blue mackerel
600117,Scomber japonicus,Chub mackerel
600118,Scomber scombrus,Atlantic mackerel
600119,Scomberomorus brasiliensis,Serra Spanish mackerel
600120,Scomberomorus cavalla,King mackerel
600121,Scomberomorus commerson,Narrow-barred Spanish mackerel
600123,Scomberomorus guttatus,Indo-Pacific king mackerel
600125,Scomberomorus lineolatus,Streaked seerfish
600126,Scomberomorus maculatus,Spanish mackerel
600131,Scomberomorus niphonius,Japanese Spanish mackerel
600134,Scomberomorus regalis,Cero
600135,Scomberomorus semifasciatus,Broad-barred king mackerel
600136,Scomberomorus sierra,Pacific sierra
600138,Somniosus microcephalus,Greenland shark
600139,Squalus acanthias,Piked dogfish
600140,Rhinobatos percellens,Chola guitarfish
600141,Scomberomorus tritor,West African Spanish mackerel
600142,Thunnus alalunga,Albacore
600143,Thunnus albacares,Yellowfin tuna
600144,Thunnus atlanticus,Blackfin tuna
600145,Thunnus maccoyii,Southern bluefin tuna
600146,Thunnus obesus,Bigeye tuna
600147,Thunnus thynnus,Atlantic bluefin tuna
600148,Thunnus tonggol,Longtail tuna
600152,Lutjanus guttatus,Spotted rose snapper
600154,Lutjanus jocu,Dog snapper
600156,Lutjanus kasmira,Common bluestripe snapper
600162,Lutjanus malabaricus,Malabar blood snapper
600166,Lutjanus monostigma,Onespot snapper
600167,Callorhinchus capensis,Cape elephantfish
600171,Lutjanus purpureus,Southern red snapper
600172,Lutjanus quinquelineatus,Five-lined snapper
600175,Elops saurus,Ladyfish
600176,Lutjanus russellii,Russell's snapper
600181,Lutjanus synagris,Lane snapper
600185,Lutjanus vivanus,Silk snapper
600187,Macolor niger,Black and white snapper
600188,Ocyurus chrysurus,Yellowtail snapper
600191,Paracaesio kusakarii,Saddle-back snapper
600193,Paracaesio stonei,Cocoa snapper
600194,Paracaesio xanthura,Yellowtail blue snapper
600199,Pristipomoides argyrogrammicus,Ornate jobfish
600200,Pristipomoides auricilla,Goldflag jobfish
600201,Pristipomoides filamentosus,Crimson jobfish
600202,Pristipomoides flavipinnis,Golden eye jobfish
600203,Boops boops,Bogue
600204,Sarpa salpa,Salema
600206,Pristipomoides macrophthalmus,Cardinal snapper
600208,Pristipomoides multidens,Goldbanded jobfish
600209,Pristipomoides sieboldii,Lavender jobfish
600211,Pristipomoides zonatus,Oblique-banded snapper
600213,Rhomboplites aurorubens,Vermilion snapper
600216,Makaira nigricans,Atlantic blue marlin
600217,Makaira indica,Black marlin
600218,Makaira mazara,Indo-Pacific blue marlin
600219,Tetrapturus albidus,Atlantic white marlin
600220,Tetrapturus pfluegeri,Longbill spearfish
600223,Tetrapturus audax,Striped marlin
600226,Xiphias gladius,Swordfish
600227,Megalops cyprinoides,Indo-Pacific tarpon
600228,Albula vulpes,Bonefish
600229,Pterothrissus belloci,Longfin bonefish
600230,Alepocephalus bairdii,Baird's slickhead
600231,Coregonus albula,Vendace
600232,Coregonus lavaretus,European whitefish
600233,Coregonus oxyrinchus,Houting
600236,Salmo salar,Atlantic salmon
600238,Salmo trutta trutta,Sea trout
600239,Oncorhynchus mykiss,Rainbow trout
600240,Oncorhynchus gorbuscha,Pink salmon
600241,Oncorhynchus keta,Chum salmon
600242,Oncorhynchus masou masou,Cherry salmon
600243,Oncorhynchus nerka,Sockeye salmon
600244,Oncorhynchus tshawytscha,Chinook salmon
600245,Oncorhynchus kisutch,Coho salmon
600247,Salvelinus alpinus alpinus,Arctic char
600249,Centrolophus niger,Rudderfish
600252,Mallotus villosus,Capelin
600253,Osmerus mordax mordax,Rainbow smelt
600255,Hypomesus pretiosus,Surf smelt
600256,Thaleichthys pacificus,Eulachon
600257,Glossanodon semifasciatus,Deepsea smelt
600258,Esox lucius,Northern pike
600259,Lampanyctodes hectoris,Hectors lanternfish
600260,Harpadon nehereus,Bombay duck
600261,Lutjanus fulviflamma,Dory snapper
600262,Lutjanus fulvus,Blacktail snapper
600264,Lutjanus johnii,Johns snapper
600265,Lutjanus gibbus,Humpback red snapper
600266,Lutjanus griseus,Grey snapper
600270,Carassius carassius,Crucian carp
600272,Rutilus rutilus,Roach
600274,Hypophthalmichthys molitrix,Silver carp
600275,Hypophthalmichthys nobilis,Bighead carp
600283,Pelecus cultratus,Ziege
600288,Galeichthys feliceps,White baggar
600289,Silurus glanis,Wels catfish
600296,Anguilla rostrata,American eel
600298,Muraenesox cinereus,Daggertooth pike conger
600299,Conger orbignianus,Argentine conger
600300,Conger oceanicus,American conger
600301,Conger conger,European conger
600302,Conger myriaster,Whitespotted conger
600303,Cololabis saira,Pacific saury
600305,Hyporhamphus sajori,Japanese halfbeak
600306,Salilota australis,Tadpole codling
600308,Gadus macrocephalus,Pacific cod
600309,Gadus ogac,Greenland cod
600310,Lota lota,Burbot
600311,Urophycis brasiliensis,Brazilian codling
600312,Urophycis chuss,Red hake
600313,Urophycis tenuis,White hake
600314,Eleginus nawaga,Navaga
600315,Eleginus gracilis,Saffron cod
600316,Microgadus tomcod,Atlantic tomcod
600318,Theragra chalcogramma,Alaska Pollock
600319,Boreogadus saida,Polar cod
600320,Micromesistius australis,Southern blue whiting
600321,Merluccius senegalensis,Senegalese hake
600322,Merluccius australis,Southern hake
600323,Merluccius bilinearis,Silver hake
600324,Merluccius gayi gayi,South Pacific hake
600325,Merluccius hubbsi,Argentine hake
600326,Merluccius productus,North Pacific hake
600327,Merluccius polli,Benguela hake
600329,Macruronus magellanicus,Patagonian grenadier
600331,Macrourus berglax,Onion-eye grenadier
600332,Coryphaenoides rupestris,Roundnose grenadier
600333,Macroramphosus scolopax,Longspine snipefish
600334,Hoplostethus atlanticus,Orange roughy
600336,Zenopsis conchifer,Silvery John dory
600338,Joturus pichardi,Bobo mullet
600339,Menidia menidia,Atlantic silverside
600340,Eleutheronema tetradactylum,Fourfinger threadfin
600341,Galeoides decadactylus,Lesser African threadfin
600342,Pentanemus quinquarius,Royal threadfin
600345,Centropomus undecimalis,Common snook
600346,Lates calcarifer,Barramundi
600348,Epinephelus analogus,Spotted grouper
600349,Polyprion americanus,Wreckfish
600350,Polyprion oxygeneios,Hapuka
600351,Acanthistius brasilianus,Sea bass
600352,Paralabrax humeralis,Peruvian rock seabass
600353,Morone saxatilis,Striped sea-bass
600355,Morone americana,White perch
600356,Priacanthus macracanthus,Red bigeye
600358,Perca fluviatilis,European perch
600361,Centropristis striata,Black seabass
600362,Lopholatilus chamaeleonticeps,Great northern tilefish
600363,Lactarius lactarius,False trevally
600364,Pomatomus saltatrix,Bluefish
600366,Trachurus japonicus,Japanese jack mackerel
600367,Trachurus murphyi,Inca scad
600368,Trachurus symmetricus,Pacific jack mackerel
600369,Trachurus lathami,Rough scad
600371,Trachurus trecae,Cunene horse mackerel
600372,Trachurus declivis,Greenback horse mackerel
600374,Decapterus russelli,Indian scad
600378,Selene setapinnis,Atlantic moonfish
600379,Selene dorsalis,African moonfish
600380,Trachinotus carolinus,Florida pompano
600382,Seriola lalandi,Yellowtail amberjack
600384,Megalaspis cordyla,Torpedo scad
600385,Chloroscombrus chrysurus,Atlantic bumper
600386,Parona signata,Parona leatherjacket
600387,Selar crumenophthalmus,Bigeye scad
600388,Selaroides leptolepis,Yellowstripe scad
600390,Mene maculata,Moonfish
600391,Brama brama,Atlantic pomfret
600392,Arripis georgianus,Australian ruff
600394,Dicentrarchus punctatus,Spotted seabass
600395,Emmelichthys nitidus nitidus,Redbait
600396,Nemipterus virgatus,Golden threadfin bream
600397,Isacia conceptionis,Cabinza grunt
600398,Plectorhinchus mediterraneus,Rubberlip grunt
600399,Pomadasys argenteus,Silver grunt
600400,Brachydeuterus auritus,Bigeye grunt
600401,Conodon nobilis,Barred grunt
600403,Cynoscion analis,Peruvian weakfish
600405,Cynoscion nebulosus,Spotted weakfish
600406,Cynoscion regalis,Gray weakfish
600407,Cynoscion striatus,South American striped weakfish
600408,Micropogonias undulatus,Atlantic croaker
600409,Menticirrhus americanus,Southern kingcroaker
600410,Menticirrhus saxatilis,Northern kingcroaker
600411,Menticirrhus littoralis,Gulf kingcroaker
600412,Elagatis bipinnulata,Rainbow runner
600413,Umbrina canosai,Argentine croaker
600416,Larimichthys polyactis,Yellow croaker
600417,Macrodon ancylodon,King weakfish
600418,Argyrosomus regius,Meagre
600419,Argyrosomus hololepidotus,Southern meagre
600420,Atractoscion aequidens,Geelbeck croaker
600422,Genyonemus lineatus,White croaker
600423,Pteroscion peli,Boe drum
600424,Paralonchurus peruanus,Peruvian banded croaker
600425,Pogonias cromis,Black drum
600426,Epinephelus aeneus,White grouper
600427,Nibea mitsukurii,Nibe croaker
600428,Larimichthys crocea,Large yellow croaker
600429,Leiostomus xanthurus,Spot croaker
600432,Pseudotolithus senegalensis,Cassava croaker
600433,Pseudotolithus elongatus,Bobo croaker
600434,Pennahia argentata,White croaker
600436,Pagellus bellottii,Red pandora
600438,Dentex macrophthalmus,Large-eye dentex
600439,Dentex dentex,Common dentex
600440,Dentex angolensis,Angola dentex
600441,Archosargus probatocephalus,Sheepshead seabream
600442,Argyrops spinifer,King soldierbream
600443,Argyrozona argyrozona,Carpenter seabream
600444,Cheimerius nufar,Santer seabream
600445,Pagrus major,Red seabream
600447,Petrus rupestris,Red steenbras
600448,Pterogymnus laniarius,Panga seabream
600449,Rhabdosargus globiceps,White stumpnose
600450,Lithognathus lithognathus,White steenbras
600452,Stenotomus chrysops,Scup
600453,Pseudupeneus prayensis,West African goatfish
600454,Drepane punctata,Spotted sicklefish
600458,Tautoga onitis,Tautog
600460,Nemadactylus bergi,White morwong
600461,Cheilodactylus variegatus,Peruvian morwong
600463,Arctoscopus japonicus,Sailfin sandfish
600464,Parapercis colias,Blue cod
600465,Percophis brasiliensis,Brazilian flathead
600466,Eleginops maclovinus,Patagonian blennie
600467,Dissostichus eleginoides,Patagonian toothfish
600468,Notothenia rossii,Marbled rockcod
600473,Chaenocephalus aceratus,Blackfin icefish
600474,Champsocephalus gunnari,Mackerel icefish
600475,Pseudochaenichthys georgianus,South Georgia icefish
600476,Chionodraco rastrospinosus,Ocellated icefish
600477,Channichthys rhinoceratus,Unicorn icefish
600479,Zoarces viviparus,Viviparous blenny
600480,Zoarces americanus,Ocean pout
600481,Trisopterus minutus,Poor cod
600482,Genypterus blacodes,Pink cusk-eel
600483,Genypterus chilensis,Red cusk-eel
600484,Genypterus maculatus,Black cusk-eel
600485,Genypterus capensis,Kingklip
600486,Brotula barbata,Bearded brotula
600487,Ammodytes personatus,Pacific sandeel
600488,Hypoptychus dybowskii,Korean sandeel
600489,Thyrsites atun,Snoek
600490,Thyrsitops lepidopoides,White snake mackerel
600491,Pampus argenteus,Silver pomfret
600492,Peprilus triacanthus,American butterfish
600493,Peprilus simillimus,Pacific pompano
600496,Hyperoglyphe antarctica,Antarctic butterfish
600497,Psenopsis anomala,Melon seed
