tax_code,tax_nm,common_nm
605987,Parupeneus barberinus,Dash-and-dot goatfish
605988,Parupeneus trifasciatus,Doublebar goatfish
605990,Parupeneus cyclostomus,Goldsaddle goatfish
606018,Zebrasoma flavescens,Yellow tang
606029,Sufflamen bursa,Boomerang triggerfish
606366,Plectorhinchus gibbosus,Harry hotlips
606440,Epinephelus coeruleopunctatus,Whitespotted grouper
606505,Myripristis vittata,Whitetip soldierfish
606532,Oplegnathus fasciatus,Barred knifejaw
606953,Amblyraja georgiana,Antarctic starry skate
606985,Electrona carlsbergi,Electron subantarctic
607137,Macrourus carinatus,Ridge scaled rattail
607139,Macrourus whitsoni,Whitson's grenadier
607184,Anomalops katoptron,Splitfin flashlightfish
607535,Genyatremus luteus,Torroto grunt
607557,Polymixia nobilis,Stout beardfish
607613,Rostroraja alba,White skate
608220,Porichthys margaritatus,Daisy midshipman
608273,Bollmannia chlamydes,Bollmannia chlamydes
608275,Brotula clarkae,Pacific bearded brotula
608280,Pontinus macrocephalus,Large-headed scorpionfish
608326,Parapsettus panamensis,Panama spadefish
609033,Gymnothorax maderensis,Sharktooth moray
609204,Encheliophis gracilis,Graceful pearlfish
609217,Epinephelus caninus,Dogtooth grouper
610430,Diapterus peruvianus,Peruvian mojarra
611002,Cynoscion stolzmanni,Stolzmanns weakfish
611512,Albula glossodonta,Roundjaw bonefish
612128,Niphon spinosus,Ara
612288,Plagiogeneion rubiginosum,Rubyfish
612596,Myripristis chryseres,Yellowfin soldierfish
612925,Porichthys porosissimus,Porichthys porosissimus
613025,Sparisoma cretense,Parrotfish
613144,Zearaja nasuta,New Zealand rough skate
613178,Dasyatis longa,Longtail stingray
613429,Achirus klunzingeri,Brown sole
613558,Engyophrys sanctilaurentii,Speckled-tail flounder
613632,Symphurus atramentatus,Inkspot tonguefish
613721,Haemulopsis nitidus,Shining grunt
613734,Haemulopsis axillaris,Yellowstripe grunt
613738,Pomadasys macracanthus,Longspine grunt
613740,Pomadasys panamensis,Panama grunt
613954,Cyclopsetta querna,Toothed flounder
613978,Syacium ovale,Oval flounder
613998,Micropogonias altipinnis,Tallfin croaker
614009,Larimus pacificus,Pacific drum
614015,Larimus acclivis,Steeplined drum
614018,Isopisthus remifer,Silver weakfish
614030,Cynoscion reticulatus,Striped weakfish
614069,Paralonchurus dumerilii,Suco croaker
614084,Stellifer illecebrosus,Silver stardrum
614090,Stellifer zestocarus,Softhead stardrum
614146,Peprilus snyderi,Salema butterfish
614155,Synodus scituliceps,Shorthead lizardfish
614220,Scorpaena russula,Reddish scorpionfish
614248,Diplectrum pacificum,Inshore sand perch
614296,Pronotogrammus eos,Bigeye bass
614575,Cyttus novaezealandiae,New Zealand dory
617286,Trachyscorpia cristulata echinata,Spiny scorpionfish
658004,Conger cinereus,Longfin African conger
690177,Saccostrea cuccullata,Hooded oyster
690324,Asterias rubens,Red starfish
690336,Panulirus regius,Royal spiny lobster
690376,Farfantepenaeus subtilis,Southern brown shrimp
690382,Litopenaeus schmitti,Southern white shrimp
690393,Squilla biformis,Squilla biformis
690406,Lithodes murrayi,Subantarctic stone crab
690431,Chaceon maritae,West African geryon
690455,Paralomis formosa,Formosan snow crab
690605,Cerastoderma edule,common edible cockle
690630,Venerupis pullastra,Pullet carpet shell
690683,Aristaeomorpha foliacea,Giant red shrimp
690691,Jasus paulensis,St.Paul rock lobster
690752,Acanthocardia tuberculata,Tuberculate cockle
690755,Ensis siliqua,Sword razor shell
690790,Holothuria atra,LOLLYFISH
690791,Holothuria edulis,PINKFISH
690796,Nerita polita,POLISHED NERITE
690806,Sepia latimanus,BROADCLUB CUTTLEFISH
690819,Bohadschia marmorata,Chalky cucumber
690882,Parribacus caledonicus,Caledonian mitten lobster
690883,Ranina ranina,Kona crab                
690891,Enteroctopus dofleini,North Pacific giant octopus
690896,Goneplax rhomboides,Goneplax rhomboides
690897,Rapana venosa,Purple whelk
690909,Cittarium pica,West Indian top shell
