Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
Djibouti	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,578.715	2,676.963	2,778.251	2,893.053	3,028.682	3,182.184	3,345.606	3,515.992	1999
Dominica	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	13,855.209	14,166.151	14,579.732	15,087.825	15,648.254	16,268.215	16,953.304	17,632.956	2011
Dominican Republic	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,286.574	9,646.071	9,845.597	10,201.532	10,691.768	11,256.889	11,854.323	12,485.482	2004
Ecuador	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,552.156	10,055.885	10,517.910	10,983.885	11,450.893	11,936.803	12,451.353	12,968.341	2010
Egypt	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,454.820	6,544.874	6,652.917	6,868.658	7,249.145	7,728.521	8,244.003	8,748.018	2010
El Salvador	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,222.105	7,437.926	7,648.214	7,891.819	8,154.358	8,439.138	8,756.394	9,082.896	2007
Equatorial Guinea	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	25,669.917	25,929.177	25,117.183	24,735.608	22,717.113	23,221.590	21,781.454	20,177.341	2010
Eritrea	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	735.165	776.787	792.127	801.698	809.650	820.589	823.474	826.553	2006
Estonia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	20,657.048	21,713.223	22,731.033	23,917.497	25,219.577	26,654.030	28,203.900	29,871.067	2012
Ethiopia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,119.357	1,190.562	1,258.596	1,334.994	1,419.185	1,509.677	1,606.974	1,713.422	2008
Fiji	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,628.752	4,785.625	4,947.375	5,123.064	5,303.970	5,494.874	5,697.303	5,906.587	2007
Finland	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	35,993.691	36,395.008	37,012.464	38,012.363	39,174.962	40,621.794	42,181.848	43,781.499	2011
France	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	35,089.794	35,547.962	35,941.522	36,810.699	37,926.099	39,212.415	40,608.920	42,065.715	2011
Gabon	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	15,530.018	16,547.586	17,586.336	18,885.876	20,303.666	21,893.381	23,708.669	24,409.396	0
The Gambia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,810.669	1,864.388	2,008.226	2,163.130	2,286.629	2,405.664	2,531.849	2,662.136	2010
Georgia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,502.301	5,929.746	6,355.741	6,853.643	7,410.829	8,040.650	8,748.472	9,515.972	2011
Germany	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	38,077.222	39,028.385	39,993.337	41,464.462	42,944.013	44,504.612	46,134.076	47,790.214	2012
Ghana	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,112.875	3,305.103	3,501.532	3,720.426	3,948.333	4,154.862	4,372.192	4,603.919	0
Greece	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	25,509.979	24,505.039	23,930.220	24,600.621	25,860.283	27,410.751	29,010.936	30,648.813	2011
Grenada	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	13,608.649	13,696.746	13,948.432	14,325.671	14,788.036	15,331.381	15,949.236	16,602.868	2009
Guatemala	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,092.565	5,208.964	5,335.947	5,489.787	5,655.051	5,829.121	6,012.422	6,199.771	2005
Guinea	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,086.342	1,121.357	1,162.179	1,216.869	1,276.311	1,345.423	1,594.370	1,877.044	2009
Guinea-Bissau	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,244.515	1,222.763	1,268.457	1,396.370	1,467.538	1,535.202	1,605.107	1,677.730	2004
Guyana	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,569.111	7,938.776	8,488.393	9,147.899	9,860.401	10,400.470	10,946.552	11,515.391	2002
Haiti	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,234.933	1,242.815	1,358.104	1,450.600	1,546.897	1,647.628	1,754.461	1,867.854	0
Honduras	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,475.320	4,609.600	4,741.163	4,878.731	5,021.646	5,172.148	5,330.593	5,492.373	2001
Hong Kong SAR	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	50,296.098	51,494.148	53,432.227	56,404.114	59,546.018	62,957.541	66,609.943	70,484.129	2011
Hungary	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	19,570.717	19,637.585	19,998.051	20,678.835	21,459.187	22,310.523	23,210.937	24,133.562	2011
Iceland	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	38,039.157	39,223.958	40,401.626	41,852.415	43,363.992	44,769.862	46,373.545	48,215.208	2011
India	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,666.897	3,829.700	4,060.223	4,341.795	4,661.721	5,019.254	5,410.774	5,833.589	2010
Indonesia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,668.650	4,977.093	5,302.031	5,672.591	6,072.970	6,509.551	6,982.016	7,486.700	2010
Islamic Republic of Iran	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	13,311.983	13,127.135	13,008.369	13,241.043	13,600.352	14,007.366	14,439.434	14,905.796	2010
Iraq	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,618.653	7,079.894	7,604.929	8,154.741	8,741.042	9,444.546	10,163.686	10,920.582	2004
Ireland	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	40,894.862	41,920.727	42,806.376	44,357.872	46,208.823	48,032.326	49,963.901	51,959.761	2011
Israel	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	31,466.290	32,312.420	33,282.213	34,524.098	35,689.798	36,901.321	38,129.440	39,419.940	2012
Italy	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	30,422.231	30,136.383	30,094.063	30,770.580	31,695.366	32,742.709	33,856.829	34,940.344	2012
Jamaica	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,027.446	9,159.235	9,323.341	9,588.717	9,908.148	10,285.250	10,717.594	11,189.548	2010
Japan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	34,853.043	36,265.746	37,525.380	38,897.281	40,204.127	41,666.475	43,216.439	44,803.823	2012
Jordan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,907.011	6,042.293	6,198.907	6,396.499	6,634.064	6,918.080	7,218.904	7,530.726	2010
Kazakhstan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	13,253.296	13,892.826	14,750.456	15,736.237	16,879.848	18,101.418	19,442.211	20,876.541	2012
Kenya	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,740.578	1,802.383	1,884.568	1,984.808	2,092.808	2,215.395	2,329.092	2,454.334	2010
Kiribati	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,816.542	5,973.053	6,125.060	6,268.935	6,417.921	6,574.770	6,739.793	6,907.047	2009
Korea	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	31,220.484	32,272.124	33,580.492	35,417.528	37,413.247	39,532.961	41,791.722	44,166.559	2011
Kosovo	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units										
Kuwait	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	38,332.082	39,888.759	39,861.229	40,795.858	42,038.073	43,358.482	44,760.545	46,202.775	2011
Kyrgyz Republic	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,379.483	2,376.491	2,567.823	2,786.422	2,964.746	3,145.084	3,339.497	3,544.493	2010
Lao P.D.R.	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,769.601	3,011.208	3,260.593	3,532.940	3,830.526	4,160.900	4,518.238	4,895.875	2011
Latvia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,717.354	18,254.656	19,384.905	20,661.726	22,026.810	23,465.121	25,007.558	26,639.310	2012
Lebanon	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	15,449.477	15,756.935	16,126.727	16,885.637	17,685.031	18,534.454	19,437.194	20,378.265	2007
Lesotho	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,024.324	2,137.525	2,244.103	2,354.398	2,480.979	2,625.642	2,781.693	2,947.157	2006
Liberia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	625.735	672.558	716.043	749.736	800.980	840.647	890.901	956.534	2009
Libya	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,903.797	12,066.451	14,474.751	15,960.035	17,429.252	18,965.080	19,973.932	21,029.977	2008
Lithuania	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	20,342.566	21,615.335	22,787.841	24,144.855	25,614.276	27,246.802	29,043.130	30,933.341	2011
Luxembourg	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	79,777.988	79,785.042	79,593.905	80,661.909	82,041.992	83,870.774	85,870.021	87,890.178	2011
FYR Macedonia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,444.031	10,579.026	10,945.612	11,486.599	12,109.142	12,813.117	13,588.332	14,424.579	2011
Madagascar	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	944.470	955.307	972.069	1,003.815	1,039.394	1,083.293	1,135.845	1,191.606	2006
Malawi	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	850.819	857.672	893.837	939.782	992.856	1,051.539	1,113.985	1,178.065	2009
Malaysia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,008.992	16,922.374	17,775.704	18,752.920	19,789.198	20,896.476	22,079.931	23,323.958	2012
Maldives	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,913.038	9,234.852	9,579.234	9,996.432	10,439.711	10,910.269	11,409.385	11,928.034	2006
Mali	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,128.030	1,100.235	1,136.774	1,194.953	1,244.712	1,293.567	1,345.241	1,396.801	2010
Malta	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	26,369.760	27,022.358	27,786.985	28,818.166	29,942.370	31,163.057	32,380.159	33,625.648	2008
Marshall Islands	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	8,603.995	8,683.177	8,793.019	8,970.996	9,084.770	9,275.815	9,478.595	9,681.812	2011
Mauritania	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,006.720	2,121.623	2,230.440	2,349.781	2,921.428	3,091.942	3,275.242	3,380.656	2009
Mauritius	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,908.403	15,591.974	16,350.469	17,308.922	18,383.775	19,545.951	20,783.412	22,093.104	2011
Mexico	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,616.139	15,311.766	15,931.750	16,634.491	17,364.208	18,130.096	18,941.374	19,783.886	2012
