am_sid,rgn_id,rgn_name,rgn_range_km2,iucn_sid,map_iucn_sid,spatial_source,cat_score,sciname
Fis-112793,162,New Zealand,NA,178948,NA,am,0,Bellapiscis medius
Fis-112799,162,New Zealand,NA,178998,NA,am,0,Ruanoho decemdigitatus
Fis-112843,162,New Zealand,NA,178905,NA,am,0,Apopterygion oculus
Fis-112881,162,New Zealand,NA,179095,NA,am,0,Forsterygion malcolmi
Fis-112883,162,New Zealand,NA,179029,NA,am,0,Karalepis stewarti
Fis-112893,210,Japan,NA,46097614,NA,am,0,Kumococius rodericensis
Fis-113165,112,Cuba,NA,183250,NA,am,0,Gobiesox adustus
Fis-113332,162,New Zealand,NA,178896,NA,am,0,Bellapiscis lesleyae
Fis-113429,1e3,Gaviota,12880773.2088,183329,NA,am,0,Apogon atricaudus
Fis-113679,210,Japan,NA,178937,NA,am,0,Enneapterygius niger
Fis-113698,162,New Zealand,NA,179006,NA,am,0,Enneapterygius atrogulare
Fis-113923,1e3,Gaviota,12880773.2088,183475,NA,am,0,Ctenogobius sagittula
Fis-113951,1e3,Gaviota,33442988.7192,183459,NA,am,0,Microgobius cyclolepis
Fis-114007,162,New Zealand,NA,179057,NA,am,0,Enneapterygius gracilis
Fis-114103,162,New Zealand,NA,178934,NA,am,0,Enneapterygius kermadecensis
Fis-114110,162,New Zealand,NA,179019,NA,am,0,Enneapterygius larsonae
Fis-114110,210,Japan,NA,179019,NA,am,0,Enneapterygius larsonae
Fis-114150,210,Japan,NA,179037,NA,am,0,Enneapterygius mirabilis
Fis-114170,162,New Zealand,NA,69917385,NA,am,0,Scorpaena cardinalis
Fis-114174,210,Japan,NA,178957,NA,am,0,Enneapterygius pyramis
Fis-114177,210,Japan,NA,69798571,NA,am,0,Phenacoscorpius megalops
Fis-114179,210,Japan,NA,178889,NA,am,0,Enneapterygius rhabdotus
Fis-114184,162,New Zealand,NA,179014,NA,am,0,Forsterygion varium
Fis-114188,162,New Zealand,NA,189752,NA,am,0,Ruanoho whero
Fis-114189,162,New Zealand,NA,179088,NA,am,0,Gilloblennius tripennis
Fis-114191,162,New Zealand,NA,178970,NA,am,0,Notoclinus fenestratus
Fis-114193,162,New Zealand,NA,179113,NA,am,0,Notoclinus compressus
Fis-114195,162,New Zealand,NA,178988,NA,am,0,Notoclinops yaldwyni
Fis-114196,162,New Zealand,NA,178972,NA,am,0,Cristiceps aurantiacus
Fis-114197,162,New Zealand,NA,179005,NA,am,0,Ericentrus rubrus
Fis-114213,162,New Zealand,NA,154658,NA,am,0,Plectranthias bilaticlavia
Fis-114251,162,New Zealand,NA,178932,NA,am,0,Enneapterygius tutuilae
Fis-114251,210,Japan,NA,178932,NA,am,0,Enneapterygius tutuilae
Fis-114251,1e3,Gaviota,40048505.5336,178932,NA,am,0,Enneapterygius tutuilae
Fis-114257,162,New Zealand,NA,179056,NA,am,0,Enneapterygius ziegleri
Fis-114257,210,Japan,NA,179056,NA,am,0,Enneapterygius ziegleri
Fis-114270,162,New Zealand,NA,178990,NA,am,0,Forsterygion flavonigrum
Fis-114368,112,Cuba,NA,190072,NA,am,0,Bembrops macromma
Fis-114457,162,New Zealand,NA,179022,NA,am,0,Forsterygion gymnota
Fis-114576,210,Japan,NA,179e3,NA,am,0,Helcogramma novaecaledoniae
Fis-114615,112,Cuba,NA,155266,NA,am,0,Ariosoma selenops
Fis-114618,112,Cuba,NA,190096,NA,am,0,Rhynchoconger guppyi
Fis-114639,162,New Zealand,NA,179055,NA,am,0,Lepidoblennius haplodactylus
Fis-114650,162,New Zealand,NA,179043,NA,am,0,Norfolkia thomasi
Fis-114650,210,Japan,NA,179043,NA,am,0,Norfolkia thomasi
Fis-114698,162,New Zealand,NA,179024,NA,am,0,Trinorfolkia clarkei
Fis-114721,162,New Zealand,NA,178892,NA,am,0,Ucla xenogrammus
Fis-114721,210,Japan,NA,178892,NA,am,0,Ucla xenogrammus
Fis-114767,162,New Zealand,NA,155328,NA,am,0,Paratriacanthodes herrei
Fis-114767,210,Japan,NA,155328,NA,am,0,Paratriacanthodes herrei
Fis-114945,112,Cuba,NA,186020,NA,am,0,Lipogramma rosea
Fis-114946,112,Cuba,NA,186026,NA,am,0,Lipogramma trilineata
Fis-115015,112,Cuba,NA,199040,NA,am,0,Rhynchoconger gracilior
Fis-115790,210,Japan,NA,61333,NA,am,0.8,Hucho perryi
Fis-115989,112,Cuba,NA,154726,NA,am,0,Polyipnus clarus
Fis-116143,1e3,Gaviota,12880773.2088,183930,NA,am,0,Grammonus diagrammus
Fis-116262,112,Cuba,NA,190387,NA,am,0,Neobythites gilli
Fis-116558,210,Japan,NA,155241,NA,am,0,Hadropogonichthys lindbergi
Fis-116901,1e3,Gaviota,19739263.0304,155077,NA,am,0,Lycenchelys monstrosa
Fis-116962,210,Japan,NA,155161,NA,am,0,Lycodes concolor
Fis-117035,112,Cuba,NA,47144698,NA,am,0,Starksia culebrae
Fis-117220,112,Cuba,NA,154634,NA,am,0,Johnsonina eriomma
Fis-117350,112,Cuba,NA,16778750,NA,am,0,Neomerinthe beanorum
Fis-117773,112,Cuba,NA,199217,NA,am,0,Ophichthus cylindroideus
Fis-118052,112,Cuba,NA,190354,NA,am,0,Idiastion kyphos
Fis-118058,112,Cuba,NA,16779221,NA,am,0,Scorpaena bergii
Fis-118267,210,Japan,NA,196018,NA,am,0,Eptatretus carlhubbsi
Fis-119716,210,Japan,NA,193093,NA,am,0,Bryaninops yongei
Fis-120470,112,Cuba,NA,154969,NA,am,0,Kuronezumia bubonis
Fis-120470,162,New Zealand,NA,154969,NA,am,0,Kuronezumia bubonis
Fis-120470,1e3,Gaviota,54541413.5056,154969,NA,am,0,Kuronezumia bubonis
Fis-120918,112,Cuba,NA,20665159,NA,am,0,Snyderidia canina
Fis-120918,162,New Zealand,NA,20665159,NA,am,0,Snyderidia canina
Fis-120918,210,Japan,NA,20665159,NA,am,0,Snyderidia canina
Fis-121765,112,Cuba,NA,196065,NA,am,0,Myxine mcmillanae
Fis-121781,162,New Zealand,NA,178894,NA,am,0,Enneapterygius flavoccipitis
Fis-121781,210,Japan,NA,178894,NA,am,0,Enneapterygius flavoccipitis
Fis-121783,162,New Zealand,NA,179085,NA,am,0,Enneapterygius philippinus
Fis-121783,210,Japan,NA,179085,NA,am,0,Enneapterygius philippinus
Fis-122362,112,Cuba,NA,189823,NA,am,0,Cyprinodon variegatus
Fis-122963,210,Japan,NA,178951,NA,am,0,Springerichthys kulbickii
Fis-123102,162,New Zealand,NA,67902046,NA,am,0,Sargocentron ensifer
Fis-123102,210,Japan,NA,67902046,NA,am,0,Sargocentron ensifer
Fis-123179,210,Japan,NA,67902088,NA,am,0,Sargocentron iota
Fis-123655,112,Cuba,NA,185928,NA,am,0,Apogon robbyi
Fis-123727,112,Cuba,NA,155218,NA,am,0,Lipogramma robinsi
Fis-123765,112,Cuba,NA,47143381,NA,am,0,Dactyloscopus boehlkei
Fis-123810,112,Cuba,NA,47143398,NA,am,0,Dactyloscopus foraminosus
Fis-123816,112,Cuba,NA,47143391,NA,am,0,Dactyloscopus comptus
Fis-123828,112,Cuba,NA,47143432,NA,am,0,Gillellus jacksoni
Fis-124379,112,Cuba,NA,60471925,NA,am,0,Lasiognathus saccostoma
Fis-124812,210,Japan,NA,21103888,NA,am,0,Holtbyrnia cyanocephala
Fis-125182,112,Cuba,NA,190373,NA,am,0,Astronesthes atlanticus
Fis-125713,162,New Zealand,NA,179042,NA,am,0,Cristiceps australis
Fis-125714,162,New Zealand,NA,179061,NA,am,0,Cristiceps argyropleura
Fis-125715,162,New Zealand,NA,178897,NA,am,0,Heteroclinus heptaeolus
Fis-125717,162,New Zealand,NA,179007,NA,am,0,Heteroclinus nasutus
Fis-125742,210,Japan,NA,178920,NA,am,0,Enneapterygius atriceps
Fis-125744,162,New Zealand,NA,178950,NA,am,0,Enneapterygius bahasa
Fis-125744,210,Japan,NA,178950,NA,am,0,Enneapterygius bahasa
Fis-125747,210,Japan,NA,178891,NA,am,0,Enneapterygius clea
Fis-125753,210,Japan,NA,178913,NA,am,0,Enneapterygius fuscoventer
Fis-125760,162,New Zealand,NA,179107,NA,am,0,Enneapterygius howensis
Fis-125765,162,New Zealand,NA,179062,NA,am,0,Enneapterygius nigricauda
Fis-125765,210,Japan,NA,179062,NA,am,0,Enneapterygius nigricauda
Fis-125769,162,New Zealand,NA,178985,NA,am,0,Enneapterygius pallidoserialis
Fis-125769,210,Japan,NA,178985,NA,am,0,Enneapterygius pallidoserialis
Fis-125775,162,New Zealand,NA,178895,NA,am,0,Enneapterygius rubicauda
Fis-125775,210,Japan,NA,178895,NA,am,0,Enneapterygius rubicauda
Fis-125780,162,New Zealand,NA,178928,NA,am,0,Enneapterygius signicauda
Fis-125780,210,Japan,NA,178928,NA,am,0,Enneapterygius signicauda
Fis-125782,210,Japan,NA,179093,NA,am,0,Enneapterygius unimaculatus
Fis-125783,210,Japan,NA,179068,NA,am,0,Enneapterygius vexillarius
Fis-125786,210,Japan,NA,189747,NA,am,0.2,Enneapterygius leucopunctatus
Fis-125787,210,Japan,NA,178991,NA,am,0,Enneapterygius williamsi
Fis-125788,162,New Zealand,NA,178949,NA,am,0,Helcogramma fuscipectoris
Fis-125788,210,Japan,NA,178949,NA,am,0,Helcogramma fuscipectoris
Fis-125893,112,Cuba,NA,190313,NA,am,0,Maurolicus weitzmani
Fis-125894,210,Japan,NA,68324528,NA,am,0,Gerres erythrourus
Fis-126086,210,Japan,NA,154948,NA,am,0,Astronesthes indopacificus
Fis-126092,112,Cuba,NA,15148522,NA,am,0,Conocara macropterum
Fis-126093,112,Cuba,NA,15148566,NA,am,0,Conocara salmoneum
Fis-126093,1e3,Gaviota,19739263.0304,15148566,NA,am,0,Conocara salmoneum
Fis-126115,162,New Zealand,NA,193143,NA,am,0,Oxyurichthys lonchotus
Fis-126115,210,Japan,NA,193143,NA,am,0,Oxyurichthys lonchotus
Fis-126117,112,Cuba,NA,186041,NA,am,0,Oxyurichthys stigmalophius
Fis-126642,162,New Zealand,NA,180111,NA,am,0,Coelorinchus thompsoni
Fis-126642,210,Japan,NA,180111,NA,am,0,Coelorinchus thompsoni
Fis-126914,162,New Zealand,NA,82308445,NA,am,0,Tosarhombus longimanus
Fis-126914,210,Japan,NA,82308445,NA,am,0,Tosarhombus longimanus
Fis-126916,162,New Zealand,NA,69779049,NA,am,0,Tosarhombus brevis
Fis-126978,210,Japan,NA,155219,NA,am,0,Paracentropogon vespa
Fis-127123,210,Japan,NA,154830,NA,am,0,Pyramodon lindas
Fis-127128,162,New Zealand,NA,154917,NA,am,0,Favonigobius exquisitus
Fis-127140,112,Cuba,NA,190469,NA,am,0,Echiodon dawsoni
Fis-127150,210,Japan,NA,192996,NA,am,0,Bryaninops loki
Fis-127211,162,New Zealand,NA,178903,NA,am,0,Heteroclinus adelaidae
Fis-127219,162,New Zealand,NA,178945,NA,am,0,Heteroclinus johnstoni
Fis-127221,162,New Zealand,NA,178929,NA,am,0,Ophiclinus ningulus
Fis-127227,162,New Zealand,NA,179036,NA,am,0,Ophiclinus gracilis
Fis-127232,162,New Zealand,NA,178942,NA,am,0,Sticharium dorsale
Fis-127233,162,New Zealand,NA,179032,NA,am,0,Sticharium clarkae
Fis-127564,112,Cuba,NA,16749725,NA,am,0,Pempheris schomburgkii
Fis-127579,112,Cuba,NA,190489,NA,am,0,Polyacanthonotus merretti
Fis-127603,210,Japan,NA,60483092,NA,am,0,Pseudoscopelus scutatus
Fis-128096,112,Cuba,NA,60470674,NA,am,0,Gigantactis herwigi
Fis-128167,112,Cuba,NA,47149895,NA,am,0,Symphysanodon octoactinus
Fis-128241,210,Japan,NA,155049,NA,am,0,Lepidotrigla kishinouyi
Fis-128368,162,New Zealand,NA,193223,NA,am,0,Feia nympha
Fis-128368,210,Japan,NA,193223,NA,am,0,Feia nympha
Fis-128376,112,Cuba,NA,16404805,NA,am,0,Achirus declivis
Fis-129877,112,Cuba,NA,191197,NA,am,0,Hyporhamphus meeki
Fis-130702,112,Cuba,NA,199157,NA,am,0,Gordiichthys leibyi
Fis-130734,162,New Zealand,NA,41010,NA,am,0.4,Hippocampus kelloggi
Fis-130734,210,Japan,NA,41010,NA,am,0.4,Hippocampus kelloggi
Fis-130805,112,Cuba,NA,155199,NA,am,0,Ethadophis akkistikos
Fis-130870,112,Cuba,NA,16506839,NA,am,0,Selene brownii
Fis-130876,162,New Zealand,NA,155329,NA,am,0,Ophichthus altipennis
Fis-130876,210,Japan,NA,155329,NA,am,0,Ophichthus altipennis
Fis-130876,1e3,Gaviota,33442988.7192,155329,NA,am,0,Ophichthus altipennis
Fis-130902,162,New Zealand,NA,155090,NA,am,0,Cociella punctata
Fis-130902,210,Japan,NA,155090,NA,am,0,Cociella punctata
Fis-130917,112,Cuba,NA,199328,NA,am,0,Pseudomyrophis nimius
Fis-131073,162,New Zealand,NA,41005,NA,am,0.4,Hippocampus mohnikei
Fis-131073,210,Japan,NA,41005,NA,am,0.4,Hippocampus mohnikei
Fis-131280,112,Cuba,NA,20885891,NA,am,0,Parexocoetus hillianus
Fis-131546,112,Cuba,NA,190341,NA,am,0,Acanthochaenus luetkenii
Fis-131546,162,New Zealand,NA,190341,NA,am,0,Acanthochaenus luetkenii
Fis-131546,210,Japan,NA,190341,NA,am,0,Acanthochaenus luetkenii
Fis-131582,1e3,Gaviota,52204163.3128,196058,NA,am,0,Myxine hubbsi
Fis-131591,112,Cuba,NA,196064,NA,am,0,Myxine mccoskeri
Fis-131607,112,Cuba,NA,196017,NA,am,0,Eptatretus caribbeaus
Fis-131608,210,Japan,NA,196080,NA,am,0.4,Paramyxine cheni
Fis-131621,1e3,Gaviota,21892799.7448,196022,NA,am,0,Eptatretus fritzi
Fis-131624,112,Cuba,NA,154797,NA,am,0,Eptatretus mendozai
Fis-131626,112,Cuba,NA,196036,NA,am,0,Eptatretus multidens
Fis-131706,210,Japan,NA,196085,NA,am,0,Paramyxine sheni
Fis-132165,112,Cuba,NA,60469264,NA,am,0,Bassozetus levistomatus
Fis-132165,162,New Zealand,NA,60469264,NA,am,0,Bassozetus levistomatus
Fis-132165,210,Japan,NA,60469264,NA,am,0,Bassozetus levistomatus
Fis-132168,112,Cuba,NA,60469273,NA,am,0,Bassozetus normalis
Fis-132198,162,New Zealand,NA,155184,NA,am,0,Neobythites bimaculatus
Fis-132198,210,Japan,NA,155184,NA,am,0,Neobythites bimaculatus
Fis-132242,112,Cuba,NA,18127783,NA,am,0,Chaunax suttkusi
Fis-132269,112,Cuba,NA,155211,NA,am,0,Synaphobranchus oregoni
Fis-132269,162,New Zealand,NA,155211,NA,am,0,Synaphobranchus oregoni
Fis-132328,112,Cuba,NA,47145611,NA,am,0,Opistognathus leprocarus
Fis-132330,112,Cuba,NA,16546072,NA,am,0,Opistognathus nothus
Fis-132335,112,Cuba,NA,190076,NA,am,0,Opistognathus signatus
Fis-132598,112,Cuba,NA,20665034,NA,am,0,Neobythites monocellatus
Fis-132606,112,Cuba,NA,190307,NA,am,0,Neobythites marginatus
Fis-132643,210,Japan,NA,154766,NA,am,0,Xestochilus nebulosus
Fis-132758,162,New Zealand,NA,155142,NA,am,0,Laemonema rhodochir
Fis-132758,210,Japan,NA,155142,NA,am,0,Laemonema rhodochir
Fis-132814,112,Cuba,NA,155227,NA,am,0,Serrivomer lanceolatoides
Fis-133336,112,Cuba,NA,155190,NA,am,0,Simenchelys parasitica
Fis-133336,162,New Zealand,NA,155190,NA,am,0,Simenchelys parasitica
Fis-133336,210,Japan,NA,155190,NA,am,0,Simenchelys parasitica
Fis-133336,1e3,Gaviota,72701894.3168,155190,NA,am,0,Simenchelys parasitica
Fis-133350,112,Cuba,NA,199088,NA,am,0,Haptenchelys texis
Fis-133350,210,Japan,NA,199088,NA,am,0,Haptenchelys texis
Fis-133549,1e3,Gaviota,33442988.7192,69743737,NA,am,0,Engyprosopon arenicola
Fis-133989,112,Cuba,NA,186044,NA,am,0,Priolepis dawsoni
Fis-134146,162,New Zealand,NA,67853294,NA,am,0,Synodus capricornis
Fis-134146,210,Japan,NA,67853294,NA,am,0,Synodus capricornis
Fis-134146,1e3,Gaviota,40048505.5336,67853294,NA,am,0,Synodus capricornis
Fis-13595,112,Cuba,NA,16431725,NA,am,0,Caranx bartholomaei
Fis-136634,162,New Zealand,NA,68324892,NA,am,0,Gerres subfasciatus
Fis-136634,210,Japan,NA,68324892,NA,am,0,Gerres subfasciatus
Fis-136663,162,New Zealand,NA,69539499,NA,am,0,Scolopsis bilineata
Fis-136663,210,Japan,NA,69539499,NA,am,0,Scolopsis bilineata
Fis-136946,112,Cuba,NA,194997,NA,am,0,Arctozenus risso
Fis-136946,162,New Zealand,NA,194997,NA,am,0,Arctozenus risso
Fis-136946,210,Japan,NA,194997,NA,am,0,Arctozenus risso
Fis-136946,1e3,Gaviota,72701894.3168,194997,NA,am,0,Arctozenus risso
Fis-137370,162,New Zealand,NA,68328401,NA,am,0,Bryaninops isis
Fis-137370,210,Japan,NA,68328401,NA,am,0,Bryaninops isis
Fis-137522,210,Japan,NA,193248,NA,am,0,Cryptocentrus maudae
Fis-137607,162,New Zealand,NA,178901,NA,am,0,Heteroclinus wilsoni
Fis-138075,112,Cuba,NA,16505650,NA,am,0,Ophidion josephi
Fis-138180,112,Cuba,NA,20664969,NA,am,0,Lepophidium marmoratum
Fis-138326,112,Cuba,NA,190963,NA,am,0,Lythrypnus crocodilus
Fis-138390,210,Japan,NA,69539564,NA,am,0,Scolopsis lineata
Fis-138391,210,Japan,NA,69539571,NA,am,0,Scolopsis margaritifera
Fis-138393,210,Japan,NA,69539604,NA,am,0,Scolopsis taenioptera
Fis-138394,210,Japan,NA,69539627,NA,am,0,Scolopsis trilineata
Fis-138395,210,Japan,NA,69539506,NA,am,0,Scolopsis ciliata
Fis-138460,112,Cuba,NA,190282,NA,am,0,Bathytroctes macrolepis
Fis-138820,162,New Zealand,NA,69919036,NA,am,0,Scorpaenopsis papuensis
Fis-138820,210,Japan,NA,69919036,NA,am,0,Scorpaenopsis papuensis
Fis-138923,112,Cuba,NA,16425572,NA,am,0,Bregmaceros cantori
Fis-13933,112,Cuba,NA,46107486,NA,am,0,Acentronura dendritica
Fis-139342,210,Japan,NA,69778947,NA,am,0,Taeniopsetta radula
Fis-139478,1e3,Gaviota,19739263.0304,155195,NA,am,0,Ichthyococcus irregularis
Fis-139510,112,Cuba,NA,190329,NA,am,0,Cyprinodon artifrons
Fis-139531,1e3,Gaviota,52204163.3128,42830260,NA,am,0,Dolopichthys allector
Fis-139534,112,Cuba,NA,16505959,NA,am,0,Otophidium omostigma
Fis-139573,112,Cuba,NA,15600731,NA,am,0,Nannobrachium atrum
Fis-139573,162,New Zealand,NA,15600731,NA,am,0,Nannobrachium atrum
Fis-139573,210,Japan,NA,15600731,NA,am,0,Nannobrachium atrum
Fis-139574,112,Cuba,NA,15600738,NA,am,0,Nannobrachium cuprarium
Fis-139575,112,Cuba,NA,190311,NA,am,0,Nannobrachium lineatum
Fis-139575,162,New Zealand,NA,190311,NA,am,0,Nannobrachium lineatum
Fis-139575,210,Japan,NA,190311,NA,am,0,Nannobrachium lineatum
Fis-139713,112,Cuba,NA,60482562,NA,am,0,Phyllorhinichthys micractis
Fis-139713,162,New Zealand,NA,60482562,NA,am,0,Phyllorhinichthys micractis
Fis-139713,210,Japan,NA,60482562,NA,am,0,Phyllorhinichthys micractis
Fis-139714,112,Cuba,NA,190258,NA,am,0,Polymetme thaeocoryla
Fis-139718,112,Cuba,NA,18140358,NA,am,0,Bathylagichthys greyae
Fis-139718,162,New Zealand,NA,18140358,NA,am,0,Bathylagichthys greyae
Fis-139727,112,Cuba,NA,18140736,NA,am,0,Dolicholagus longirostris
Fis-139727,210,Japan,NA,18140736,NA,am,0,Dolicholagus longirostris
Fis-139727,1e3,Gaviota,39334625.432799995,18140736,NA,am,0,Dolicholagus longirostris
Fis-139729,112,Cuba,NA,190485,NA,am,0,Melanolagus bericoides
Fis-139729,162,New Zealand,NA,190485,NA,am,0,Melanolagus bericoides
Fis-139729,210,Japan,NA,190485,NA,am,0,Melanolagus bericoides
Fis-139729,1e3,Gaviota,72701894.3168,190485,NA,am,0,Melanolagus bericoides
Fis-141437,112,Cuba,NA,47150210,NA,am,0,Bryx randalli
Fis-141443,112,Cuba,NA,20672326,NA,am,0,Citharichthys dinoceros
Fis-141466,112,Cuba,NA,47143176,NA,am,0.4,Emblemariopsis pricei
Fis-141479,112,Cuba,NA,190275,NA,am,0,Trinectes microphthalmus
Fis-141483,112,Cuba,NA,186043,NA,am,0,Parrella macropteryx
Fis-141484,112,Cuba,NA,154770,NA,am,0,Pariah scotius
Fis-142089,210,Japan,NA,20256067,NA,am,0,Alepes kleinii
Fis-142342,112,Cuba,NA,154745,NA,am,0,Leptostomias bermudensis
Fis-142912,210,Japan,NA,67854163,NA,am,0,Synodus lobeli
Fis-143317,112,Cuba,NA,190085,NA,am,0,Xenomystax congroides
Fis-143347,112,Cuba,NA,155133,NA,am,0,Bathycongrus vicinalis
Fis-143395,112,Cuba,NA,199223,NA,am,0,Rhynchoconger flavus
Fis-143506,112,Cuba,NA,190438,NA,am,0,Opsanus dichrostomus
Fis-143532,112,Cuba,NA,20663917,NA,am,0,Dibranchus tremendus
Fis-143777,210,Japan,NA,155009,NA,am,0,Pseudobathylagus milleri
Fis-143777,1e3,Gaviota,57686971.8032,155009,NA,am,0,Pseudobathylagus milleri
Fis-143830,210,Japan,NA,155003,NA,am,0,Astronesthes nigroides
Fis-143867,112,Cuba,NA,155055,NA,am,0,Himantolophus cornifer
Fis-143867,162,New Zealand,NA,155055,NA,am,0,Himantolophus cornifer
Fis-143867,210,Japan,NA,155055,NA,am,0,Himantolophus cornifer
Fis-144309,210,Japan,NA,69544768,NA,am,0,Opistognathus solorensis
Fis-144322,112,Cuba,NA,47145548,NA,am,0,Opistognathus megalepis
Fis-144514,162,New Zealand,NA,154794,NA,am,0,Oneirodes schmidti
Fis-144514,210,Japan,NA,154794,NA,am,0,Oneirodes schmidti
Fis-144537,210,Japan,NA,166879,NA,am,0,Gerres limbatus
Fis-144551,210,Japan,NA,181100,NA,am,0,Brachirus pan
Fis-144759,210,Japan,NA,46081926,NA,am,0,Gerres longirostris
Fis-144842,112,Cuba,NA,16425603,NA,am,0,Bregmaceros houdei
Fis-144904,112,Cuba,NA,185945,NA,am,0,Bollmannia eigenmanni
Fis-144965,210,Japan,NA,154683,NA,am,0,Skythrenchelys zabra
Fis-145097,112,Cuba,NA,190231,NA,am,0,Robinsia catherinae
Fis-145214,210,Japan,NA,69919731,NA,am,0,Sebastapistes fowleri
Fis-145222,210,Japan,NA,69919214,NA,am,0,Scorpaenopsis possi
Fis-145235,210,Japan,NA,155010,NA,am,0,Scorpaenopsis ramaraoi
Fis-145236,210,Japan,NA,69919253,NA,am,0,Scorpaenopsis vittapinna
Fis-145272,112,Cuba,NA,154907,NA,am,0,Cetomimus teevani
Fis-145838,162,New Zealand,NA,69538573,NA,am,0,Upeneus australiae
Fis-145838,210,Japan,NA,69538573,NA,am,0,Upeneus australiae
Fis-146027,112,Cuba,NA,185148,NA,am,0,Labrisomus cricota
Fis-146035,210,Japan,NA,194370,NA,am,0,Lutjanus fulviflamma
Fis-146072,112,Cuba,NA,47165104,NA,am,0,Eustomias bibulbosus
Fis-146241,210,Japan,NA,193031,NA,am,0,Palutrus scapulopunctatus
Fis-146474,210,Japan,NA,180866,NA,am,0,Mugilogobius platystomus
Fis-146598,210,Japan,NA,154978,NA,am,0,Apogon indicus
Fis-147667,210,Japan,NA,NA,NA,am,0,Scorpaenodes quadrispinosus
Fis-147919,112,Cuba,NA,185930,NA,am,0,Apogon gouldi
Fis-148339,162,New Zealand,NA,154721,NA,am,0,Sufflamen fraenatum
Fis-148339,210,Japan,NA,154721,NA,am,0,Sufflamen fraenatum
Fis-148361,112,Cuba,NA,190286,NA,am,0,Bathylagoides argyrogaster
Fis-148419,210,Japan,NA,154691,NA,am,0,Synchiropus claudiae
Fis-148452,112,Cuba,NA,16506725,NA,am,0,Foetorepus agassizii
Fis-148460,112,Cuba,NA,16506757,NA,am,0,Synchiropus dagmarae
Fis-148491,210,Japan,NA,20429419,NA,am,0,Carangoides coeruleopinnatus
Fis-148619,162,New Zealand,NA,154943,NA,am,0,Heteroclinus whiteleggii
Fis-148858,112,Cuba,NA,18127809,NA,am,0,Bufoceratias wedli
Fis-148881,112,Cuba,NA,155166,NA,am,0,Chilomycterus schoepfii
Fis-148900,112,Cuba,NA,195881,NA,am,0,Tomicodon reitzae
Fis-148979,112,Cuba,NA,190132,NA,am,0,Haemulon plumierii
Fis-149098,210,Japan,NA,69539322,NA,am,0,Pentapodus aureofasciatus
Fis-149150,112,Cuba,NA,47144430,NA,am,0,Malacoctenus delalandii
Fis-149204,162,New Zealand,NA,69182291,NA,am,0,Parupeneus insularis
Fis-149204,210,Japan,NA,69182291,NA,am,0,Parupeneus insularis
Fis-149229,112,Cuba,NA,186052,NA,am,0,Ptereleotris calliura
Fis-149461,162,New Zealand,NA,155320,NA,am,0,Nannobrachium gibbsi
Fis-149461,210,Japan,NA,155320,NA,am,0,Nannobrachium gibbsi
Fis-149465,162,New Zealand,NA,60481692,NA,am,0,Nannobrachium wisneri
