"site_name","date","time","year","sg_pct_mean","sg_pct_sd","lat","long","day","country"
"Bay of Randobe/ Ifaty, Reef Doctor","1/31/10","12:00:00",2010,10.04,2,-23.933,43.36708,31,"Madagascar"
"Bay of Randobe/ Ifaty, Reef Doctor","10/17/08","10:00:00",2008,11.86,2.6,-23.933,43.36708,291,"Madagascar"
"Bay of Randobe/ Ifaty, Reef Doctor","10/17/07","10:00:00",2007,12.03,3.35,-23.933,43.36708,290,"Madagascar"
"Blackbird Caye, Turneffe","10/2/10","11:50:00",2010,28.46,15.04,17.31483,-87.79883,275,"Belize"
"Blackbird Caye, Turneffe","12/12/06","14:30:00",2006,28.55,15.22,17.31483,-87.79883,346,"Belize"
"Blackbird Caye, Turneffe","7/13/09","10:30:00",2009,29.14,11.88,17.31483,-87.79883,194,"Belize"
"Blackbird Caye, Turneffe","7/10/07","14:30:00",2007,29.24,13.5,17.31483,-87.79883,191,"Belize"
"Blackbird Caye, Turneffe","5/9/11","13:33:00",2011,29.92,11.98,17.31483,-87.79883,129,"Belize"
"Blackbird Caye, Turneffe","11/24/08","14:15:00",2008,31.23,15.06,17.31483,-87.79883,329,"Belize"
"Blackbird Caye, Turneffe","4/8/05","16:00:00",2005,36.94,11.28,17.31483,-87.79883,98,"Belize"
"Blongko, North Sulawesi","7/30/04","0:00:00",2004,14.19,2.58,1.14116,124.3525,212,"Indonesia"
"Blongko, North Sulawesi","1/1/06","15:55:00",2006,14.59,0.73,1.14116,124.3525,1,"Indonesia"
"Bolinao/ Ilog Malino w/coal, Pangasinan","10/14/08","14:00:00",2008,7.28,1.75,16.21905,119.49304,288,"Philippines"
"Bolinao/ Ilog Malino w/coal, Pangasinan","7/11/09","11:00:00",2009,8.51,2.17,16.21905,119.49304,192,"Philippines"
"Bolinao/ Ilog Malino, Pangasinan","7/11/09","15:20:00",2009,13.81,1.3,16.312,120.498,192,"Philippines"
"Bolinao/ Ilog Malino, Pangasinan","10/15/08","10:15:00",2008,15.99,1.58,16.312,120.498,289,"Philippines"
"Bugle Caye, Placencia","10/25/04","0:00:00",2004,19.84,18.63,16.51133,-88.37833,299,"Belize"
"Bugle Caye, Placencia","11/21/03","11:00:00",2003,21.66,19.27,16.51133,-88.37833,325,"Belize"
"Bugle Caye, Placencia","10/17/07","7:30:00",2007,21.94,17.32,16.51133,-88.37833,290,"Belize"
"Bugle Caye, Placencia","11/16/06","10:00:00",2006,22.72,18.9,16.51133,-88.37833,320,"Belize"
"Bugle Caye, Placencia","1/21/05","10:00:00",2005,27.14,15.47,16.51133,-88.37833,21,"Belize"
"Bugle Caye, Placencia","10/14/08","0:00:00",2008,31.76,17.24,16.51133,-88.37833,288,"Belize"
"Bugle Caye, Placencia","7/15/09","0:00:00",2009,31.92,17.28,16.51133,-88.37833,196,"Belize"
"Bugle Caye, Placencia","7/15/10","0:00:00",2010,32.77,16.38,16.51133,-88.37833,196,"Belize"
"Cabo Frio, Rio de Janeiro","7/24/05","11:00:00",2005,10.73,5.62,-22.88251,-42.0028,205,"Brazil"
"Cabo Frio, Rio de Janeiro","10/29/10","9:40:00",2010,14.71,10.69,-22.88251,-42.0028,302,"Brazil"
"Cabo Frio, Rio de Janeiro","1/31/04","16:00:00",2004,16.38,8.21,-22.88251,-42.0028,31,"Brazil"
"Cabo Frio, Rio de Janeiro","4/12/02","11:15:00",2002,19.96,8.14,-22.88251,-42.0028,102,"Brazil"
"Cabo Frio, Rio de Janeiro","7/31/03","10:00:00",2003,22.4,2.26,-22.88251,-42.0028,212,"Brazil"
"Cabo Frio, Rio de Janeiro","10/20/06","10:13:00",2006,23.55,8.98,-22.88251,-42.0028,293,"Brazil"
"Cabo Frio, Rio de Janeiro","1/10/09","9:45:00",2009,23.7,9.22,-22.88251,-42.0028,10,"Brazil"
"Cabo Frio, Rio de Janeiro","1/25/08","13:00:00",2008,24.08,6.3,-22.88251,-42.0028,25,"Brazil"
"Cabo Frio, Rio de Janeiro","10/20/07","14:21:00",2007,25.03,11.87,-22.88251,-42.0028,293,"Brazil"
"Calabash Caye, Turneffe","10/1/10","4:00:00",2010,24.09,7.04,17.28216,-87.80983,274,"Belize"
"Calabash Caye, Turneffe","7/20/11","15:35:00",2011,26.27,4.85,17.28216,-87.80983,201,"Belize"
"Calabash Caye, Turneffe","12/11/06","15:30:00",2006,27.49,8.23,17.28216,-87.80983,345,"Belize"
"Calabash Caye, Turneffe","7/9/07","15:00:00",2007,28.14,7.92,17.28216,-87.80983,190,"Belize"
"Calabash Caye, Turneffe","7/15/09","11:00:00",2009,28.5,3.99,17.28216,-87.80983,196,"Belize"
"Calabash Caye, Turneffe","4/7/05","11:20:00",2005,35.1,1.49,17.28216,-87.80983,97,"Belize"
"Calabash Caye, Turneffe","11/30/08","15:10:00",2008,35.11,7.56,17.28216,-87.80983,335,"Belize"
"California / North Bay, Humboldt Bay","1/20/11","0:00:00",2011,20.44,14.46,40.49221,-124.07312,20,"United States of America"
"California / North Bay, Humboldt Bay","10/28/08","19:01:00",2008,43.76,11.96,40.49221,-124.07312,302,"United States of America"
"California / North Bay, Humboldt Bay","7/11/10","0:00:00",2010,48.63,9.5,40.49221,-124.07312,192,"United States of America"
"California / North Bay, Humboldt Bay","4/27/09","8:15:00",2009,58.5,13.42,40.49221,-124.07312,117,"United States of America"
"California / North Bay, Humboldt Bay","7/2/07","9:40:00",2007,71.48,17.99,40.49221,-124.07312,183,"United States of America"
"California / South Bay, Humboldt Bay","1/19/11","17:00:00",2011,28.73,9.19,40.44389,-124.14097,19,"United States of America"
"California / South Bay, Humboldt Bay","10/29/08","15:53:00",2008,50.51,17.61,40.44389,-124.14097,303,"United States of America"
"California / South Bay, Humboldt Bay","4/28/09","9:16:00",2009,59.4,12.03,40.44389,-124.14097,118,"United States of America"
"California / South Bay, Humboldt Bay","7/13/10","5:45:00",2010,68.01,28.16,40.44389,-124.14097,194,"United States of America"
"California / South Bay, Humboldt Bay","10/26/07","16:59:00",2007,89.4,14.4,40.44389,-124.14097,299,"United States of America"
"Camudmud","4/18/10","13:45:00",2010,5.56,2.2,7.18867,125.69408,108,"Philippines"
"Cartagena / Mangle Is.,San Bernardo NP","10/20/10","9:45:00",2010,10.4,7.45,9.46191,-75.4743,293,"Colombia"
"Cartagena / Mangle Is.,San Bernardo NP","5/5/11","11:40:00",2011,22.94,8.21,9.46191,-75.4743,125,"Colombia"
"Cartagena / Rosario Island, Rosario NP","10/21/10","10:50:00",2010,12.53,3.16,10.9506,-75.7098,294,"Colombia"
"Cartagena / Rosario Island, Rosario NP","10/16/09","12:15:00",2009,43.6,9.5,10.9506,-75.7098,289,"Colombia"
"Cartagena / Rosario Island, Rosario NP","5/7/11","10:30:00",2011,46.65,11.12,10.9506,-75.7098,127,"Colombia"
"Caye Caulker Marine Reserve","1/12/10","14:00:00",2010,31.16,8.98,17.78982,-88.01568,12,"Belize"
"Caye Caulker Village","1/30/10","18:33:00",2010,0,0,17.74438,-88.0222,30,"Belize"
"Corsica / Gulf of Calvi","10/20/06","9:00:00",2006,41.62,27.59,42.58033,8.72683,293,"France"
"Corsica / Gulf of Calvi","2/1/07","9:00:00",2007,61.91,34.17,42.58033,8.72683,32,"France"
"Duck Harbor, Cape Cod Bay, Massachusetts","7/15/10","7:00:00",2010,10.03,10.16,41.5676,-69.5733,196,"United States of America"
"Duck Harbor, Cape Cod Bay, Massachusetts","7/23/09","6:00:00",2009,12.76,18.04,41.5676,-69.5733,204,"United States of America"
"Duck Harbor, Cape Cod Bay, Massachusetts","8/2/08","8:00:00",2008,19.67,16.75,41.5676,-69.5733,215,"United States of America"
"Duck Harbor, Cape Cod Bay, Massachusetts","8/2/07","11:00:00",2007,19.84,14.39,41.5676,-69.5733,214,"United States of America"
"Duck Harbor, Cape Cod Bay, Massachusetts","7/14/06","7:00:00",2006,44.02,31.89,41.5676,-69.5733,195,"United States of America"
"Duck Harbor, Cape Cod Bay, Massachusetts","4/28/05","9:00:00",2005,56.17,20.48,41.5676,-69.5733,118,"United States of America"
"Duck Harbor, Cape Cod Bay, Massachusetts","5/6/04","6:00:00",2004,61.83,18.38,41.5676,-69.5733,127,"United States of America"
"Duck Harbor, Cape Cod Bay, Massachusetts","7/15/03","6:30:00",2003,80.82,5.22,41.5676,-69.5733,196,"United States of America"
"Eilat / Marine Lab","2/6/07","0:00:00",2007,18.84,9.17,29.3,34.5496,37,"Israel"
"Eilat / Marine Lab","8/21/08","0:00:00",2008,22.98,15.89,29.3,34.5496,234,"Israel"
"Faro/Ria Formosa impacted","2/7/11","10:30:00",2011,38.78,30.35,37.101,-7.56783,38,"Portugal"
"Faro/Ria Formosa impacted","11/23/10","9:00:00",2010,45.43,23.11,37.101,-7.56783,327,"Portugal"
"Faro/Ria Formosa impacted","10/19/09","10:00:00",2009,55.62,2.96,37.101,-7.56783,292,"Portugal"
"Faro/Ria Formosa reference","11/24/10","9:30:00",2010,58.16,40.19,37.0241,-7.58134,328,"Portugal"
"Faro/Ria Formosa reference","10/20/09","10:20:00",2009,59.31,33.31,37.0241,-7.58134,293,"Portugal"
"Faro/Ria Formosa reference","2/8/11","10:30:00",2011,62.09,44.26,37.0241,-7.58134,39,"Portugal"
"Fishing Island, New Hampshire","10/14/08","16:25:00",2008,0,0,43.07633,-70.69816,288,"United States of America"
"Fishing Island, New Hampshire","10/11/10","0:00:00",2010,0,0,43.07633,-70.69816,284,"United States of America"
"Fishing Island, New Hampshire","7/16/07","6:45:00",2007,0.01,0.01,43.07633,-70.69816,197,"United States of America"
"Fishing Island, New Hampshire","11/13/09","0:00:00",2009,0.05,0.03,43.07633,-70.69816,317,"United States of America"
"Fishing Island, New Hampshire","10/6/06","0:00:00",2006,0.14,0.17,43.07633,-70.69816,279,"United States of America"
"Fishing Island, New Hampshire","9/14/05","15:10:00",2005,1.01,1.11,43.07633,-70.69816,257,"United States of America"
"Fishing Island, New Hampshire","10/26/04","16:30:00",2004,1.26,0.52,43.07633,-70.69816,300,"United States of America"
"Fishing Island, New Hampshire","10/23/03","16:15:00",2003,8.87,4.99,43.07633,-70.69816,296,"United States of America"
"Fishing Island, New Hampshire","10/10/02","8:45:00",2002,61.88,5.52,43.07633,-70.69816,283,"United States of America"
"Fishing Island, New Hampshire","10/19/01","8:05:00",2001,67.96,9.58,43.07633,-70.69816,292,"United States of America"
"Glovers Reef Atoll","1/1/04","1:02:00",2004,0,0,16.74175,-87.8106,1,"Belize"
"Glovers Reef Atoll","6/15/05","21:15:00",2005,0,0,16.74175,-87.8106,166,"Belize"
"Glovers Reef Atoll","4/21/06","11:52:00",2006,4.27,0,16.74175,-87.8106,111,"Belize"
"Glovers Reef Atoll","4/12/09","11:05:00",2009,17.69,15.89,16.74175,-87.8106,102,"Belize"
"Glovers Reef Atoll","11/11/08","13:30:00",2008,20.42,12.44,16.74175,-87.8106,316,"Belize"
"Green Island, Queensland","10/2/02","0:00:00",2002,7.65,2.39,-16.75833,145.97333,275,"Australia"
"Green Island, Queensland","11/15/01","14:28:00",2001,7.97,0.44,-16.75833,145.97333,319,"Australia"
"Green Island, Queensland","7/16/04","14:45:00",2004,8.27,2.9,-16.75833,145.97333,198,"Australia"
"Green Island, Queensland","8/10/10","0:00:00",2010,8.95,3.18,-16.75833,145.97333,222,"Australia"
"Green Island, Queensland","11/18/08","0:00:00",2008,10.82,2.58,-16.75833,145.97333,323,"Australia"
"Green Island, Queensland","6/13/03","13:35:00",2003,11.54,3.95,-16.75833,145.97333,164,"Australia"
"Green Island, Queensland","7/22/05","0:00:00",2005,12.15,2.95,-16.75833,145.97333,203,"Australia"
"Green Island, Queensland","11/12/09","0:00:00",2009,12.41,3.03,-16.75833,145.97333,316,"Australia"
"Guimaras / East Igang Bay, Iloilo","2/11/10","6:30:00",2010,8.12,3.89,10.3173,122.3084,42,"Philippines"
"Guimaras / East Igang Bay, Iloilo","10/23/09","9:10:00",2009,8.71,1.2,10.3173,122.3084,296,"Philippines"
"Guimaras / East Igang Bay, Iloilo","7/10/08","16:45:00",2008,14.39,3.05,10.3173,122.3084,192,"Philippines"
"Guimaras / West Igang Bay, Iloilo","10/22/09","7:30:00",2009,14.83,5.55,10.6163,122.3084,295,"Philippines"
"Guimaras / West Igang Bay, Iloilo","2/10/10","14:30:00",2010,18.34,9.8,10.6163,122.3084,41,"Philippines"
"Guimaras / West Igang Bay, Iloilo","10/21/08","8:45:00",2008,18.65,8.53,10.6163,122.3084,295,"Philippines"
"Hog Island, Pleasant Bay, Massachusetts","7/13/06","9:00:00",2006,30.32,25.26,41.451,-69.5733,194,"United States of America"
"Hog Island, Pleasant Bay, Massachusetts","8/1/07","11:00:00",2007,44.74,31.89,41.451,-69.5733,213,"United States of America"
"Hog Island, Pleasant Bay, Massachusetts","7/13/10","9:15:00",2010,54.51,30.75,41.451,-69.5733,194,"United States of America"
"Hog Island, Pleasant Bay, Massachusetts","7/22/09","12:00:00",2009,57.41,30.26,41.451,-69.5733,203,"United States of America"
"Hog Island, Pleasant Bay, Massachusetts","8/1/08","13:30:00",2008,64.84,33.89,41.451,-69.5733,214,"United States of America"
"Hog Island, Pleasant Bay, Massachusetts","7/14/03","12:10:00",2003,73.74,9.72,41.451,-69.5733,195,"United States of America"
"Hog Island, Pleasant Bay, Massachusetts","8/20/05","7:45:00",2005,76.09,22.36,41.451,-69.5733,232,"United States of America"
"Hog Island, Pleasant Bay, Massachusetts","5/5/04","8:00:00",2004,83.39,3.59,41.451,-69.5733,126,"United States of America"
"Ipwal, Pohnpei","10/5/09","9:00:00",2009,35.99,2.03,6.7906,158.2914,278,"Micronesia (Federated States of)"
"Ipwal, Pohnpei","7/21/05","0:00:00",2005,36.77,5.96,6.7906,158.2914,202,"Micronesia (Federated States of)"
"Ipwal, Pohnpei","11/13/08","8:00:00",2008,37.43,6.4,6.7906,158.2914,318,"Micronesia (Federated States of)"
"Ipwal, Pohnpei","10/30/04","0:00:00",2004,37.56,6.39,6.7906,158.2914,304,"Micronesia (Federated States of)"
"Ipwal, Pohnpei","10/25/07","8:30:00",2007,37.58,4.52,6.7906,158.2914,298,"Micronesia (Federated States of)"
"Ipwal, Pohnpei","7/27/10","10:00:00",2010,38.03,4.16,6.7906,158.2914,208,"Micronesia (Federated States of)"
"Java/ Kepuh Island, Banten Bay","5/8/10","15:30:00",2010,12.61,0,5.5999,106.924,128,"Indonesia"
"Java/ Kepuh Island, Banten Bay","7/26/09","9:45:00",2009,15.12,1.76,5.5999,106.924,207,"Indonesia"
"Java/ Kepuh Island, Banten Bay","12/13/08","15:30:00",2008,18.22,1.84,5.5999,106.924,348,"Indonesia"
"Java/ Lima Island, Banten Bay","7/26/09","14:30:00",2009,4.94,2.28,5.5786,106.661,207,"Indonesia"
"Java/ Lima Island, Banten Bay","5/8/10","13:00:00",2010,5.34,0,5.5786,106.661,128,"Indonesia"
"Java/ Lima Island, Banten Bay","12/12/08","13:30:00",2008,7.14,2.56,5.5786,106.661,347,"Indonesia"
"Joe Taylor Beach, Punta Gorda","4/9/10","10:11:00",2010,20.53,0,16.10933,-88.798,99,"Belize"
"Joe Taylor Beach, Punta Gorda","12/23/07","13:30:00",2007,31.17,6.86,16.10933,-88.798,357,"Belize"
"Joe Taylor Beach, Punta Gorda","4/15/08","15:15:00",2008,36.58,11.92,16.10933,-88.798,106,"Belize"
"Joe Taylor Beach, Punta Gorda","4/16/05","13:30:00",2005,39.03,8.67,16.10933,-88.798,106,"Belize"
"Joe Taylor Beach, Punta Gorda","10/23/09","9:15:00",2009,41.43,0,16.10933,-88.798,296,"Belize"
"Johnson Launch, Big Lagoon, Perdido Key","2/25/08","12:15:00",2008,29.59,12.11,30.18,-87.24,56,"United States of America"
"Johnson Launch, Big Lagoon, Perdido Key","11/13/07","10:25:00",2007,40.44,18.01,30.18,-87.24,317,"United States of America"
"Kenya / Nyali Beach","9/7/06","0:00:00",2006,44.13,36.87,-4.05383,39.70716,250,"Kenya"
"Koje Bay","10/17/09","10:30:00",2009,41.2,12.97,34.48116,128.35051,290,"Republic of Korea"
"Koje Bay","7/1/08","14:30:00",2008,59.52,18.52,34.48116,128.35051,183,"Republic of Korea"
"Kuari Bay, Pulau Gaya, Sabah","11/2/06","13:30:00",2006,2.01,0.73,6.0083,116.0342,306,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","10/3/05","0:00:00",2005,3.13,0.97,6.0083,116.0342,276,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","4/15/10","0:00:00",2010,9.21,5.55,6.0083,116.0342,105,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","11/6/07","11:30:00",2007,11.2,6.36,6.0083,116.0342,310,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","7/6/04","13:10:00",2004,11.29,2.47,6.0083,116.0342,188,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","1/16/08","12:30:00",2008,11.43,6.23,6.0083,116.0342,16,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","10/13/09","12:30:00",2009,12.86,3.68,6.0083,116.0342,286,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","10/21/02","11:58:00",2002,15.25,3.24,6.0083,116.0342,294,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","1/22/03","12:20:00",2003,21,6.49,6.0083,116.0342,22,"Malaysia"
"Kuari Bay, Pulau Gaya, Sabah","11/12/01","15:50:00",2001,26.53,12.11,6.0083,116.0342,316,"Malaysia"
"Lacs, Okat Harbor, Kosrae","10/9/06","10:15:00",2006,19.53,2.45,5.3414,162.9503,282,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","7/21/04","11:13:00",2004,19.93,2.83,5.3414,162.9503,203,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","10/25/02","9:50:00",2002,20.58,4.85,5.3414,162.9503,298,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","10/1/07","11:00:00",2007,21.63,2.3,5.3414,162.9503,274,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","10/29/03","10:50:00",2003,21.68,4.35,5.3414,162.9503,302,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","10/11/10","0:00:00",2010,21.82,4.19,5.3414,162.9503,284,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","10/6/05","10:00:00",2005,22.15,2.76,5.3414,162.9503,279,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","6/26/01","13:30:00",2001,23.35,4.61,5.3414,162.9503,177,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","10/17/09","7:30:00",2009,25.06,2.73,5.3414,162.9503,290,"Micronesia (Federated States of)"
"Lacs, Okat Harbor, Kosrae","10/2/08","10:20:00",2008,25.27,2.71,5.3414,162.9503,276,"Micronesia (Federated States of)"
"Langley Point, Big Lagoon, Perdido Key","10/26/07","14:30:00",2007,40.33,11.53,30.18,-87.22,299,"United States of America"
"Langley Point, Big Lagoon, Perdido Key","2/7/08","14:05:00",2008,52.87,23.35,30.18,-87.22,38,"United States of America"
"Lelu, Kosrae","10/23/09","11:26:00",2009,23.27,1.12,5.3361,162.9503,296,"Micronesia (Federated States of)"
"Lelu, Kosrae","7/19/04","12:45:00",2004,24.32,0.52,5.3361,162.9503,201,"Micronesia (Federated States of)"
"Lelu, Kosrae","10/12/10","0:00:00",2010,24.37,1.82,5.3361,162.9503,285,"Micronesia (Federated States of)"
"Lelu, Kosrae","10/3/08","10:43:00",2008,26.17,1.35,5.3361,162.9503,277,"Micronesia (Federated States of)"
"Lelu, Kosrae","10/10/06","12:08:00",2006,27,1.46,5.3361,162.9503,283,"Micronesia (Federated States of)"
"Lelu, Kosrae","10/2/07","0:00:00",2007,27.46,0.78,5.3361,162.9503,275,"Micronesia (Federated States of)"
"Lelu, Kosrae","4/28/05","11:57:00",2005,28.28,0.54,5.3361,162.9503,118,"Micronesia (Federated States of)"
"Lighthouse Atoll / Blue Hole","2/1/07","16:00:00",2007,5.54,0.8,17.31783,-87.5345,32,"Belize"
"Lighthouse Atoll / Blue Hole","5/4/06","11:00:00",2006,9.28,1.69,17.31783,-87.5345,124,"Belize"
"Lighthouse Atoll / Blue Hole","11/13/08","9:10:00",2008,11.89,1.69,17.31783,-87.5345,318,"Belize"
"Lighthouse Atoll / Blue Hole","2/19/09","2:35:00",2009,13.55,1.04,17.31783,-87.5345,50,"Belize"
"Lighthouse Atoll / Half Moon Caye","8/3/06","15:06:00",2006,7.39,0,17.206,-87.53583,215,"Belize"
"Lighthouse Atoll / Half Moon Caye","11/17/08","11:30:00",2008,16.67,2.11,17.206,-87.53583,322,"Belize"
"Lighthouse Atoll / Half Moon Caye","2/6/07","0:00:00",2007,17.6,2,17.206,-87.53583,37,"Belize"
"Lighthouse Atoll / Half Moon Caye","2/20/09","9:40:00",2009,22.81,6.52,17.206,-87.53583,51,"Belize"
"Maryland / Tingles Island, Chincoteague Bay","1/20/10","10:30:00",2010,19.85,22.6,38.1124,-75.1094,20,"United States of America"
"Maryland / Tingles Island, Chincoteague Bay","6/24/09","9:20:00",2009,25.04,25.91,38.1124,-75.1094,175,"United States of America"
"Massachusetts / Salam","5/8/09","9:15:00",2009,36.34,0.29,42.3318,-70.49,128,NA
"Massachusetts / Salam","10/18/10","12:00:00",2010,42.23,6.63,42.3318,-70.49,291,NA
"Massachusetts / Salam","7/30/08","12:30:00",2008,53.18,7.7,42.3318,-70.49,212,NA
"New Hampshire / Great Bay","7/22/09","7:00:00",2009,31.11,3.74,43.04272,-70.53049,203,"United States of America"
"New Hampshire / Great Bay","10/8/10","7:30:00",2010,37.91,16.34,43.04272,-70.53049,281,"United States of America"
"New Hampshire / Great Bay","10/16/08","7:30:00",2008,43.83,4.75,43.04272,-70.53049,290,"United States of America"
"New Hampshire / Great Bay","10/29/07","14:00:00",2007,53.11,10.11,43.04272,-70.53049,302,"United States of America"
"Ngchesar, Babelthraup","10/19/07","12:00:00",2007,6.05,1.2,7.4397,134.6097,292,"Palau"
"Ngchesar, Babelthraup","10/14/08","11:30:00",2008,6.31,2.33,7.4397,134.6097,288,"Palau"
"Ngchesar, Babelthraup","10/20/09","11:18:00",2009,9.77,3.87,7.4397,134.6097,293,"Palau"
"Ngchesar, Babelthraup","10/20/06","10:54:00",2006,10.11,3.04,7.4397,134.6097,293,"Palau"
"Ngchesar, Babelthraup","10/12/04","11:50:00",2004,10.37,2.52,7.4397,134.6097,286,"Palau"
"Ngchesar, Babelthraup","2/11/05","13:04:00",2005,10.76,2.76,7.4397,134.6097,42,"Palau"
"Ngchesar, Babelthraup","7/12/10","12:55:00",2010,12.59,3.72,7.4397,134.6097,193,"Palau"
"Ngermiid, Koror","10/18/07","14:50:00",2007,2.53,0.47,7.3554,134.5139,291,"Palau"
"Ngermiid, Koror","10/19/09","2:00:00",2009,2.56,0.48,7.3554,134.5139,292,"Palau"
"Ngermiid, Koror","7/17/08","13:45:00",2008,2.62,0.72,7.3554,134.5139,199,"Palau"
"Ngermiid, Koror","10/23/06","11:15:00",2006,3.55,0.79,7.3554,134.5139,296,"Palau"
"Ngermiid, Koror","7/13/10","2:00:00",2010,3.66,0.85,7.3554,134.5139,194,"Palau"
"Ngermiid, Koror","10/15/04","11:30:00",2004,3.81,0.73,7.3554,134.5139,289,"Palau"
"Ngermiid, Koror","2/10/05","14:00:00",2005,5.29,1.7,7.3554,134.5139,41,"Palau"
"Ngermiid, Koror","7/12/02","15:10:00",2002,9.41,4.65,7.3554,134.5139,193,"Palau"
"Ngermiid, Koror","4/29/03","12:30:00",2003,12.39,5.61,7.3554,134.5139,119,"Palau"
"Ngermiid, Koror","7/4/01","0:00:00",2001,12.42,6.16,7.3554,134.5139,185,"Palau"
"Nukubuco Reef, Suva","11/22/03","10:55:00",2003,17.65,3.8,-18.17616,178.473,326,"Fiji"
"Nukubuco Reef, Suva","10/15/01","10:14:00",2001,36.63,16.31,-18.17616,178.473,288,"Fiji"
"Nukubuco Reef, Suva","4/24/02","10:25:00",2002,39.58,15.68,-18.17616,178.473,114,"Fiji"
"Nusa, Kavieng","7/31/04","10:45:00",2004,11.77,3.51,-2.58688,150.7775,213,"Papua New Guinea"
"Nusa, Kavieng","4/23/02","16:30:00",2002,13.62,3.89,-2.58688,150.7775,113,"Papua New Guinea"
"Nusa, Kavieng","10/12/01","0:00:00",2001,13.68,2.72,-2.58688,150.7775,285,"Papua New Guinea"
"Nusa, Kavieng","1/31/03","3:07:00",2003,14.88,3.63,-2.58688,150.7775,31,"Papua New Guinea"
"Oregon / Valino Island, South Slough","11/11/04","16:50:00",2004,0.03,0.04,43.31383,-124.321,316,"United States of America"
"Oregon / Valino Island, South Slough","7/21/05","6:40:00",2005,15.15,7.85,43.31383,-124.321,202,"United States of America"
"Oregon / Valino Island, South Slough","4/20/11","8:42:00",2011,21.23,5.83,43.31383,-124.321,110,"United States of America"
"Oregon / Valino Island, South Slough","4/18/06","8:15:00",2006,22.06,12.52,43.31383,-124.321,108,"United States of America"
"Oregon / Valino Island, South Slough","11/18/09","19:50:00",2009,30.14,1.55,43.31383,-124.321,322,"United States of America"
"Oregon / Valino Island, South Slough","10/15/08","19:45:00",2008,34.97,17.77,43.31383,-124.321,289,"United States of America"
"Oregon / Valino Island, South Slough","10/7/10","18:00:00",2010,38.59,13.88,43.31383,-124.321,280,"United States of America"
"Oregon / Valino Island, South Slough","10/25/07","17:30:00",2007,48.08,32.21,43.31383,-124.321,298,"United States of America"
"Paniquian, Mindoro","1/24/05","16:40:00",2005,7.92,2.27,13.51825,120.9512,24,"Philippines"
