Direct contribution to employment,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.27933,4.116,3.11697,4.08567,2.79731,3.89215,3.91585,5.30954,5.35009,6.51959,6.23311,8.26096,10.5162,10.821,10.7627,10.213,11.7975,13.6843,14.0954,14.474,15.3679,14.6433,15.3359,14.5651,14.1583,13.4222,13.9584,14.4059,14.7699,15.0568,15.3214,15.5884,15.9299,16.3074,16.7249,17.1127,17.4465,17.8019
Percentage share,0.575929,0.690554,0.525659,0.66766,0.44449,0.602396,0.592718,0.790683,0.780098,0.976018,0.924629,1.2154,1.54032,1.57456,1.56199,1.47809,1.70614,1.93823,1.95498,1.96088,2.03165,1.8879,1.92753,1.78639,1.69401,1.68497,1.67667,1.65897,1.63862,1.61396,1.59759,1.58579,1.58101,1.58054,1.58433,1.5852,1.58114,1.57843
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,24.338,31.4242,27.0522,28.8402,28.699,29.0791,32.0117,33.0793,46.1165,47.8874,40.5272,44.778,67.4473,77.4382,68.4044,86.8548,82.9442,94.7951,95.0342,94.6127,85.1977,108.846,107.523,111.691,121.237,119.214,124.247,126.885,132.054,134.994,139.343,144.066,148.6,153.185,158.741,163.976,169.186,173.914
Percentage share,1.08029,1.30657,1.12057,1.15706,1.11672,1.09623,1.1678,1.16023,1.56593,1.57553,1.29139,1.38149,2.01155,2.23495,1.90934,2.3444,2.16052,2.39461,2.32831,2.24511,1.96121,2.42751,2.32371,2.34279,2.46858,2.36819,2.40976,2.40307,2.44234,2.4382,2.45777,2.48153,2.49963,2.51635,2.54365,2.56387,2.58275,2.59213
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.15501,0.806861,1.51802,1.73574,1.16841,1.65629,2.30522,2.66482,3.72837,5.28829,5.32047,5.62374,8.16263,10.4207,12.0262,12.9113,14.2492,14.7655,22.7518,24.9011,25.8378,22.739,25.2226,27.3379,27.349,30.6523,30.1136,32.1881,34.561,36.3961,38.4625,41.1726,43.5013,45.6553,47.9971,50.5629,53.2409,55.5687
Percentage share,1.32666,0.925509,1.72169,1.9282,1.26168,1.72516,2.31349,2.58286,3.44789,4.73995,4.55434,4.5422,6.20687,7.73659,8.54856,8.79452,9.31064,9.58782,13.0419,14.2242,14.0673,12.1119,12.7786,13.7629,14.1682,14.9679,13.6019,13.8546,14.3677,14.8049,15.2399,15.9938,16.5472,17.1309,17.7849,18.5225,19.2836,19.8999
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.07822,13.3542,6.19791,5.33278,3.22251,6.7329,5.17047,5.33841,11.1441,9.50328,11.6397,14.0813,13.6995,16.5154,16.2789,14.2087,15.6101,13.4313,12.4727,14.5171,14.6555,17.7867,19.5409,20.8822,19.0606,19.0664,17.9033,17.7062,17.8026,17.9878,18.4517,18.7921,19.1297,19.8387,20.6267,21.4297,22.2463,23.1242
Percentage share,0.31544,1.30287,0.58622,0.493075,0.290899,0.589502,0.44401,0.449298,0.910597,0.755085,0.899981,1.05782,0.998228,1.16818,1.11442,0.941083,1.00211,0.832201,0.746838,0.842055,0.822827,0.966673,1.02774,1.06251,0.938023,0.91248,0.831802,0.79865,0.779613,0.764776,0.761654,0.753111,0.744313,0.749413,0.75466,0.760119,0.765724,0.772374
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.33408,1.55223,1.20245,2.20796,1.92986,2.01956,4.46929,4.94177,5.78757,6.6677,4.64073,5.18262,5.0371,3.22856,3.47342,2.97731,3.42307,3.89873,3.94047,3.7511,3.19806,3.13127,3.36509,3.36869,3.53571,3.39269,3.55967,3.63823,3.88113,4.08749,4.25168,4.37428,4.45392,4.54485,4.63933,4.72179,4.77305,4.82043
Percentage share,1.88235,2.13016,1.6409,2.90272,2.44201,2.50801,5.35419,5.71224,6.4528,7.16137,4.83808,5.23306,4.93071,3.06671,3.20301,2.66447,2.97638,3.29169,3.23228,2.99079,2.47869,2.36266,2.46607,2.40453,2.45659,2.28857,2.30388,2.27923,2.35496,2.39058,2.39879,2.38271,2.34405,2.31265,2.28046,2.2437,2.19401,2.16189
Republic of Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.1639,3.53906,3.62678,3.52642,4.21056,4.3788,4.78031,3.94227,3.77241,8.28207,4.85311,6.0592,7.74295,9.68798,10.6299,10.2356,9.92298,8.71888,9.5693,10.6495,11.0501,10.4077,7.83248,11.3105,11.3947,12.7851,12.658,12.7235,12.6349,12.4602,12.4637,12.6381,12.7959,13.0134,13.1859,13.2835,13.308,13.6371
Percentage share,0.784462,0.854681,0.848682,0.798121,0.923894,0.930903,0.981075,0.785656,0.725543,1.53808,0.871102,1.05412,1.30733,1.59532,1.70585,1.60005,1.5101,1.28732,1.36918,1.47378,1.47814,1.34698,0.982665,1.38234,1.35672,1.48301,1.43801,1.41295,1.36875,1.31441,1.28012,1.26401,1.24611,1.23296,1.21635,1.19386,1.16609,1.16497
Ivory Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,21.6001,32.2237,30.41,31.1693,36.643,37.6733,45.0004,48.263,50.2044,60.9351,69.5126,75.8009,88.2673,96.2689,94.576,90.672,86.8584,94.0111,99.11,103.497,98.6378,91.3576,99.355,111.849,106.263,95.1573,93.3371,96.4096,100.866,102.566,104.001,105.844,107.172,108.275,109.613,111.159,112.756,114.638
Percentage share,0.812701,1.17554,1.11708,1.09642,1.23595,1.24147,1.42693,1.47664,1.48236,1.74081,1.93675,2.05763,2.34977,2.5179,2.43606,2.30495,2.17632,2.31899,2.40621,2.46562,2.30194,2.08806,2.21703,2.4396,2.25865,1.96956,1.8918,1.88698,1.90067,1.8794,1.86687,1.86108,1.8457,1.82814,1.81363,1.80013,1.78491,1.77389
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,471.762,500.427,549.338,699.341,863.401,529.312,656.947,708.345,781.123,826.853,726.064,936.672,1004.29,1002,1035.16,1233.9,1506.49,1510,1565.42,1693.31,1694.65,1631.75,1671.49,1304.43,1434.68,1225.85,1322.69,1394.41,1423.84,1449.44,1473.73,1498.92,1523.31,1560.07,1598.01,1633.63,1667.28,1707.89
Percentage share,3.80453,3.94037,4.22568,5.21896,5.99584,3.7808,4.40904,4.69103,5.10538,5.23325,4.48187,5.57543,5.83892,5.69316,5.78303,6.81714,8.05611,7.82384,7.67362,7.80325,7.53176,7.09455,7.02309,5.5984,6.07916,5.10772,5.21459,5.35245,5.3243,5.29159,5.25276,5.21591,5.17656,5.1772,5.18944,5.20304,5.21959,5.25737
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,110.965,133.958,132.866,135.761,125.742,253.388,214.142,224.847,203.383,234.752,270.568,256.616,382.371,439.368,482.055,568.989,595.024,678.552,726.253,752.602,797.753,735.897,919.461,1079.05,952.639,976.929,979.076,939.614,924.772,918.263,917.312,910.913,908.28,916.361,929.394,945.353,962.145,980.033
Percentage share,1.11708,1.30781,1.26419,1.24521,1.11168,2.0415,1.66223,1.68576,1.4779,1.64678,1.82797,1.67154,2.37961,2.61037,2.73194,3.07443,3.06025,3.359,3.48665,3.50177,3.59894,3.21613,3.88487,4.40421,3.74958,3.72029,3.61618,3.37236,3.23184,3.12776,3.04831,2.95322,2.87232,2.8256,2.79684,2.77874,2.76422,2.75201
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2.58008,2.67946,2.25971,3.80316,3.72537,3.68259,4.19662,5.00165,4.44181,5.21523,6.21217,8.02965,6.61224,4.36764,4.45483,6.03248,6.19934,5.27616,5.25316,4.38036,4.54133,5.35329,4.66574,3.91429,3.2661,3.14628,3.33201,3.52426,3.57038,3.68387,3.82002,3.97019,4.10569,4.33982,4.61408,4.96384,5.35655,5.81748
Percentage share,1.41873,1.4348,1.176,1.93321,1.83115,1.7502,1.93707,2.25459,1.93767,2.19601,2.54454,3.17068,2.52084,1.6007,1.58075,2.07477,2.06276,1.71122,1.65487,1.33805,1.34543,1.53897,1.30243,1.06172,0.859878,0.80577,0.833291,0.860647,0.851474,0.857949,0.868805,0.881796,0.893135,0.923574,0.961921,1.0151,1.07594,1.14812
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,16.4256,8.83262,10.0182,12.1912,10.6868,9.83271,24.4644,12.3991,23.817,28.8651,25.6204,25.1754,26.0375,26.3159,28.411,28.723,29.0711,32.8216,39.6415,41.3787,36.0549,33.4397,37.6682,39.8507,40.2629,47.668,28.9061,33.7039,37.7167,41.6067,45.3907,47.4752,48.9433,50.2213,50.7825,51.2745,51.7026,52.3705
Percentage share,5.28477,2.71773,2.96003,3.48754,2.97025,2.66239,6.45411,3.18195,5.94178,6.68743,6.20825,5.86974,5.88372,5.76559,6.02028,5.90215,5.79257,6.3326,7.41471,7.50227,6.33521,5.69246,6.20207,6.36033,6.23289,7.13515,4.18795,4.73143,5.11126,5.44954,5.75247,5.82776,5.82511,5.77284,5.64437,5.51668,5.39023,5.29055
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,19.3037,21.1069,20.116,25.5561,30.0424,46.0444,58.8399,54.48,60.6193,62.9511,48.9978,49.1405,107.357,116.922,112.598,106.333,113.572,140.371,150.881,163.032,154.814,157.022,130.54,122.38,113.951,116.135,122.104,127.811,132.489,136.641,138.886,140.605,142.438,145.893,149.871,153.45,156.311,159.32
Percentage share,0.749021,0.790969,0.724923,0.890025,1.01334,1.50087,1.85713,1.67083,1.80645,1.81983,1.36918,1.32532,2.78522,2.96528,2.7952,2.5841,2.70674,3.29724,3.48832,3.6565,3.36505,3.31618,2.67468,2.44001,2.21041,2.18568,2.23857,2.28646,2.31301,2.33551,2.32407,2.30317,2.2838,2.28967,2.2965,2.29376,2.28067,2.27258
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.62846,1.27999,3.75254,3.11161,3.44738,4.94524,3.07163,5.57358,7.98479,8.29461,9.25504,9.65606,12.8095,24.2584,14.3248,18.1212,20.8158,28.6817,31.6175,40.4756,39.6759,40.282,42.7255,36.2292,36.6678,39.0613,38.5277,39.1177,39.1095,40.6903,41.7187,42.7578,44.0429,45.795,47.4705,49.2571,51.115,53.0385
Percentage share,0.17408,0.124478,0.344817,0.265637,0.270589,0.357145,0.206631,0.356315,0.495333,0.508202,0.554783,0.565856,0.734362,1.35894,0.784882,0.971755,1.08588,1.46255,1.56977,1.94942,1.8561,1.82178,1.87095,1.54086,1.51278,1.55628,1.48418,1.45772,1.40718,1.41523,1.40356,1.39216,1.38859,1.40055,1.41127,1.42463,1.43928,1.45396
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,93.7218,91.3697,125.023,127.206,130.098,177.425,203.829,177.52,150.277,191.609,201.156,217.554,116.58,115.683,121.383,134.851,170.391,185.022,188.775,196.464,179.365,165.541,198.694,219.413,215.826,209.619,206.436,208.811,215.67,222.126,228.716,236.011,242.314,249.364,256.267,263.072,270.108,276.746
Percentage share,2.88672,2.69752,3.52337,3.51904,3.55962,4.82991,5.45507,4.61862,3.80906,4.77075,4.9918,5.41534,2.91573,2.82815,2.90175,3.14986,3.89346,4.13537,4.08856,4.12127,3.64609,3.26034,3.78918,4.04879,3.85148,3.63416,3.47968,3.42454,3.42847,3.42594,3.42555,3.43547,3.43077,3.42395,3.41555,3.40636,3.40059,3.39025
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2.29381,6.47783,8.7643,5.08412,5.16311,3.73203,3.53623,2.94308,2.19129,2.94406,3.967,5.30722,26.4173,24.3425,29.3611,29.5926,28.2174,23.4869,21.026,22.1076,22.6911,35.1688,24.7383,22.0111,21.1359,22.3167,23.4818,23.9981,24.9651,25.3306,25.2964,25.4223,25.4606,25.4352,25.6185,25.829,26.216,26.0405
Percentage share,0.734736,2.01342,2.6351,1.48202,1.45813,1.01783,0.932113,0.750726,0.543241,0.711588,0.936493,1.25101,6.16365,5.60283,6.67312,6.63653,6.24007,5.20063,4.6669,4.90242,5.02468,7.66574,5.29591,4.6243,4.34852,4.51024,4.66293,4.68371,4.80988,4.81842,4.75167,4.71626,4.66567,4.60476,4.58266,4.56587,4.5803,4.49666
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,14.5545,14.9572,16.1411,19.1858,16.7202,16.6687,18.9141,19.9621,21.1705,25.0068,26.2231,28.3954,32.6046,15.6732,24.7286,31.6862,34.158,36.65,17.6866,14.2332,12.622,36.2694,30.3722,30.568,39.6337,36.4132,35.9714,37.0328,36.2421,36.0072,35.9717,35.618,35.8585,36.183,36.8218,37.4728,38.585,39.8721
Percentage share,1.92337,1.90183,1.93267,2.21853,1.85476,1.77727,1.93509,1.95709,1.99039,2.25183,2.2645,2.36025,2.61389,1.21455,1.856,2.3157,2.43288,2.5453,1.20009,0.942113,0.817574,2.30906,1.91004,1.902,2.45586,2.23862,2.19419,2.2414,2.15439,2.10287,2.06458,2.00962,1.98947,1.97483,1.97753,1.98079,2.00795,2.04275
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,35.7126,40.2886,42.8872,39.8353,45.5581,42.9792,57.1767,63.7658,44.782,64.5057,76.6172,82.7383,72.2967,75.016,88.2263,68.9714,141.876,142.683,173.35,180.948,180.217,178.612,203.905,202.237,231.89,233.394,340.115,306.268,291.65,287.345,289.404,293.292,298.959,305.435,312.559,320.736,328.673,336.581
Percentage share,1.58557,1.73286,1.78357,1.59017,1.75165,1.59554,2.05303,2.214,1.5068,2.10462,2.42452,2.53898,2.15,2.16418,2.46748,1.86979,3.71786,3.62119,4.22665,4.24343,4.06451,3.87341,4.2605,4.08882,4.54125,4.46793,6.35809,5.59064,5.19902,5.00222,4.91999,4.86922,4.84699,4.83592,4.83509,4.84766,4.85356,4.85622
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,10.092,15.8507,16.4109,16.7071,14.0511,13.0234,22.3524,17.3482,16.7354,20.0768,20.3665,30.9175,54.8009,61.7445,40.982,37.1899,42.4438,72.6908,73.7235,87.2533,77.0164,92.2792,95.9518,103.549,99.4431,108.714,108.566,106.054,104.158,105.642,107.032,108.452,109.855,110.483,111.66,113.09,113.902,114.942
Percentage share,0.624861,0.90577,0.891016,0.873589,0.723864,0.669593,1.14852,0.880128,0.836548,0.97824,0.961033,1.39573,2.37397,2.57323,1.64622,1.43964,1.58175,2.61541,2.56342,2.96386,2.50771,2.91722,2.94105,3.07332,2.86106,3.01793,2.92582,2.78015,2.65867,2.62309,2.58521,2.54571,2.50352,2.44468,2.38436,2.33336,2.27333,2.22128
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,12.3456,31.4877,28.299,30.6575,34.2477,30.723,33.2154,33.8054,37.8415,41.0983,42.5912,47.2981,54.5203,45.634,48.3097,48.5412,55.3291,68.784,75.4232,70.3718,89.4102,79.4403,88.5214,80.6787,92.7665,75.2479,73.2123,73.974,77.0509,80.0994,83.3131,86.44,89.5366,92.8008,96.254,99.9229,103.555,107.13
Percentage share,1.23895,3.11011,2.72735,2.86813,3.10535,2.68644,2.78712,2.72899,2.93688,3.07395,3.06829,3.28795,3.64139,2.93966,2.99584,2.89295,3.17682,3.65434,3.72177,3.22532,3.82669,3.1769,3.32587,2.94072,3.29282,2.63151,2.47831,2.42393,2.4441,2.45963,2.47659,2.48745,2.49426,2.5026,2.51257,2.52418,2.53168,2.5347
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,36.9093,32.6732,36.7749,36.0869,38.5223,36.8946,41.7296,43.9619,46.3754,47.5238,48.533,50.4807,50.7207,58.5274,56.8152,55.9765,61.6865,66.027,72.5383,79.3185,73.4407,63.9649,68.2449,65.2555,64.3966,59.2679,60.1543,60.487,62.7656,64.9802,66.4728,67.4399,68.2159,68.5781,69.4544,70.7988,72.3409,73.6221
Percentage share,8.53107,7.49106,8.37365,8.15779,8.60628,8.14846,9.11625,9.54656,10.0249,10.1721,10.2175,10.5059,10.46,11.8934,11.5197,11.2177,12.2345,13.0179,14.0769,15.1458,13.525,11.7195,12.2281,12.338,12.021,10.7369,10.8657,10.8961,11.1032,11.3075,11.442,11.4708,11.4402,11.3398,11.2326,11.1364,11.0386,10.9027
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,271.651,269.805,279.652,249.779,315.385,331.358,312.354,291.196,346.437,357.508,369.687,439.085,487.183,588.086,604.553,626.903,671.928,755.789,881.833,924.709,858.14,796.024,818.066,850.504,825.109,778.257,775.432,796.278,821.016,846.828,871.14,888.207,902.213,916.454,928.152,938.258,949.228,965.143
Percentage share,4.30736,4.26676,4.27444,3.79498,4.56564,4.64706,4.46563,4.21051,4.59362,4.5161,4.66448,5.06099,5.50835,6.62222,6.64233,6.60844,7.01657,7.88372,8.85672,9.16558,8.40508,7.74009,7.86062,8.09147,7.83947,7.25049,7.11625,7.08961,7.19412,7.3033,7.39505,7.4221,7.42185,7.42785,7.41218,7.38321,7.36063,7.37487
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,51.1446,54.0586,60.6537,51.4924,76.9867,87.4243,86.9012,86.3992,70.4199,112.968,110.647,104.699,118.151,124.416,140.184,144.655,145.745,206.132,205.101,224.413,238.77,261.112,219.838,241.944,241.019,248.265,262.593,268.179,272.056,280.878,291.738,303.51,315.855,324.037,333.114,341.674,349.03,357.628
Percentage share,1.04574,1.11351,1.23009,1.01901,1.45713,1.5686,1.47978,1.40907,1.10827,1.72589,1.63068,1.49516,1.63953,1.67929,1.84354,1.85399,1.82847,2.6308,2.57056,2.68646,2.66982,2.90669,2.07996,2.16502,2.1552,2.16585,2.2348,2.2232,2.19497,2.21089,2.23818,2.26683,2.29031,2.27833,2.26602,2.25218,2.23366,2.22735
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.40075,3.298,2.50383,2.85111,2.90541,4.13631,5.05121,5.63664,5.7876,5.89274,7.19174,7.93149,8.53088,9.02612,10.7344,12.326,12.7906,13.0785,18.7352,19.4424,17.3104,15.1338,18.8922,20.9853,22.7006,22.6366,23.9639,25.3458,27.8992,30.3293,32.2918,34.155,36.1021,38.0967,40.3661,42.8718,45.6316,48.3307
Percentage share,0.990909,0.920466,0.669661,0.734797,0.744572,1.05408,1.28006,1.4205,1.45051,1.46877,1.74804,1.88113,1.97543,2.14796,2.6272,3.10511,3.3194,3.32402,4.66893,4.71596,4.16342,3.71346,4.38058,4.53405,4.6317,4.47709,4.50817,4.55533,4.84393,5.10657,5.27534,5.41657,5.56065,5.70643,5.88244,6.08061,6.30146,6.49828
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.96186,5.30845,5.36914,5.24827,5.63834,5.61161,8.26469,7.0099,6.03885,6.25,6.04355,6.43003,7.06948,9.01628,8.4736,8.17613,9.92794,10.8515,12.6779,13.0926,12.623,12.4617,15.6952,12.2215,10.598,9.86406,10.081,9.77273,9.82685,10.0176,10.3981,10.9149,11.4672,11.9967,12.5615,13.0717,13.513,13.8986
Percentage share,0.778188,1.00098,0.969572,0.904736,0.930713,0.8874,1.25285,1.01751,0.92481,0.920004,0.879625,0.936908,1.01177,1.28048,1.19409,1.14264,1.37634,1.45181,1.63861,1.63653,1.525,1.45185,1.76481,1.32532,1.1076,1.00117,0.985176,0.919511,0.89028,0.873882,0.873398,0.882777,0.893146,0.899844,0.905343,0.906641,0.903228,0.895291
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,755.578,527.699,565.967,583.121,475.031,464.431,500.458,766.365,859.326,783.335,857.03,458.562,756.711,771.174,850.29,741.758,1063.76,1190.29,559.306,867.266,1038.43,834.042,717.83,752.69,711.001,840.499,883.569,888.493,915.671,942.1,970.875,1003.59,1036.84,1078.61,1120.34,1160.17,1199.29,1240.2
Percentage share,2.18493,1.71598,1.78657,1.78614,1.41174,1.33915,1.40035,2.08195,2.26764,2.00859,2.13604,1.11124,1.78331,1.76875,1.89797,1.58495,2.21647,2.42394,1.10998,1.67543,1.99413,1.64475,1.40135,1.47062,1.30401,1.45344,1.44475,1.4067,1.40702,1.40621,1.40885,1.4169,1.42528,1.43714,1.44826,1.45634,1.46311,1.47046
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,5.48176,5.68866,5.90609,5.38353,5.0047,4.84172,5.69402,5.48092,6.14433,6.48225,6.7811,7.4453,7.97521,7.81466,8.48204,8.47977,7.87636,8.45643,7.48427,6.99526,7.07663,6.67708,6.67038,7.22084,7.49316,7.70712,8.34529,8.83113,9.3271,9.71082,9.95927,10.1921,10.4163,10.609,10.7647,10.9469,11.1348,11.3362
Percentage share,3.56807,3.63413,3.70421,3.32148,3.03827,2.89297,3.34939,3.17969,3.51604,3.65975,3.78324,4.09957,4.32664,3.97229,4.12832,4.18902,3.8852,3.9744,3.27718,2.96348,2.95494,2.82264,2.75446,2.95858,3.03591,3.16117,3.23914,3.28912,3.31881,3.32581,3.34621,3.36761,3.38897,3.41463,3.44523,3.47912,3.5143,3.55324
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
