am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,cat_code,spp_group
NA,4131,4131,NA,Centropyge resplendens,LC,ANGELFISH
ITS-Mam-180449,4159,4159,NA,Cephalorhynchus commersonii,DD,MARINE_MAMMALS
ITS-Mam-180450,4160,4160,NA,Cephalorhynchus eutropia,NT,MARINE_MAMMALS
ITS-Mam-180451,4161,4161,NA,Cephalorhynchus heavisidii,DD,MARINE_MAMMALS
ITS-Mam-180452,4162,4162,NA,Cephalorhynchus hectori,EN,MARINE_MAMMALS
Fis-22747,4292,4292,NA,Cetorhinus maximus,VU,CHONDRICHTHYES
NA,4360,4360,NA,Chaetodon flavocoronatus,LC,BUTTERFLYFISH
NA,4361,4361,NA,Chaetodon litus,LC,BUTTERFLYFISH
Fis-32632,4362,4362,NA,Chaetodon marleyi,LC,BUTTERFLYFISH
NA,4363,4363,NA,Prognathodes obliquus,DD,BUTTERFLYFISH
Fis-33809,4364,4364,NA,Chaetodon robustus,LC,BUTTERFLYFISH
Fis-31463,4592,NA,NA,Cheilinus undulatus,EN,NA
Rep-2941,4615,4615,NA,Chelonia mydas,EN,REPTILES_marine
NA,4805,4805,NA,Chromis sanctaehelenae,LC,DAMSELFISH
NA,4982,NA,NA,Clinus spatulatus,EN,NA
Fis-23448,4987,NA,NA,Clupeonella cultriventris,LC,NA
NA,5269,5269,NA,Conus africanus,LC,CONESNAILS
NA,5270,5270,NA,Conus cepasi,VU,CONESNAILS
NA,5272,5272,NA,Conus nobrei,NT,CONESNAILS
NA,5273,5273,NA,Conus zebroides,NT,CONESNAILS
NA,5325,NA,NA,Emblemariopsis tayrona,LC,NA
Fis-22868,5360,NA,NA,Coregonus albula,LC,NA
NA,5362,NA,NA,Coregonus artedi,LR/lc,NA
Fis-48198,5363,NA,NA,Coregonus autumnalis,LC,NA
NA,5375,NA,NA,Coregonus pidschian,LC,NA
NA,5379,NA,NA,Coregonus huntsmani,VU,NA
NA,5380,NA,NA,Coregonus oxyrinchus,EX,NA
NA,5560,5560,NA,Crocidura canariensis,EN,TERRESTRIAL_MAMMALS_marine
Rep-3445,5659,5659,NA,Crocodylus acutus,VU,REPTILES_marine
NA,5660,5660,NA,Mecistops cataphractus,CR,REPTILES_marine
NA,5667,5667,NA,Crocodylus palustris,VU,REPTILES_marine
Rep-3460,5668,NA,NA,Crocodylus porosus,LR/lc,NA
Fis-31807,5675,NA,NA,Croilia mossambica,LC,NA
NA,5796,5796,NA,Ctenomys australis,EN,TERRESTRIAL_MAMMALS_marine
NA,5819,5819,NA,Ctenomys pearsoni,NT,TERRESTRIAL_MAMMALS_marine
NA,5828,5828,NA,Ctenomys talarum,LC,TERRESTRIAL_MAMMALS_marine
NA,6026,NA,NA,Cyclura carinata,CR,NA
NA,6031,NA,NA,Cyclura pinguis,CR,NA
NA,6035,NA,NA,Cyclura cychlura,VU,NA
NA,6040,NA,NA,Cyclura cychlura ssp. figginsi,CR,NA
NA,6041,NA,NA,Cyclura cychlura ssp. inornata,EN,NA
NA,6042,NA,NA,Cyclura cornuta,VU,NA
NA,6043,NA,NA,Cyclura nubila ssp. caymanensis,CR,NA
NA,6045,NA,NA,Cyclura nubila ssp. nubila,VU,NA
NA,6069,NA,NA,Cymatium parthenopaeum,LR/lc,NA
ITS-Mam-180657,6204,6204,NA,Cystophora cristata,VU,MARINE_MAMMALS
Fis-23101,6229,6229,NA,Dalatias licha,NT,CHONDRICHTHYES
ITS-Mam-180483,6335,6335,NA,Delphinapterus leucas,NT,MARINE_MAMMALS
ITS-Mam-180438,6336,6336,NA,Delphinus delphis,LC,MARINE_MAMMALS
ITS-Mam-555654,6337,6337,NA,Delphinus capensis,DD,MARINE_MAMMALS
Rep-4381,6494,NA,NA,Dermochelys coriacea,VU,NA
NA,6685,NA,NA,Dipodomys compactus,LC,NA
Fis-53099,6814,NA,NA,Dunckerocampus dactyliophorus,DD,NA
ITS-Mam-180679,6909,6909,NA,Dugong dugon,VU,MARINE_MAMMALS
NA,6930,NA,NA,Dussartius baeticus,VU,NA
W-Ech-124287,7011,NA,NA,Echinus esculentus,LR/nt,NA
NA,7121,7121,NA,Elaphurus davidianus,EW,TERRESTRIAL_MAMMALS_marine
NA,7134,NA,NA,Eleotris sandwicensis,DD,NA
Fis-33751,7135,NA,NA,Eleotris melanosoma,LC,NA
ITS-Mam-180547,7750,7750,NA,Enhydra lutris,EN,TERRESTRIAL_MAMMALS_marine
NA,7778,7778,NA,Entomacrodus cadenati,LC,COMBTOOTHBLENNIES
NA,7821,7821,NA,Chilabothrus inornatus,LC,REPTILES_marine
Fis-29953,7854,7854,NA,Epinephelus drummondhayi,CR,GROUPERS
NA,7855,7855,NA,Hyporthodus exsul,DD,GROUPERS
Fis-26139,7858,7858,NA,Epinephelus lanceolatus,VU,GROUPERS
Fis-26140,7859,7859,NA,Epinephelus marginatus,EN,GROUPERS
Fis-163779,7860,7860,NA,Hyporthodus nigritus,CR,GROUPERS
Fis-163781,7861,7861,NA,Hyporthodus niveatus,VU,GROUPERS
Fis-22722,7862,7862,NA,Epinephelus striatus,EN,GROUPERS
Rep-5181,8005,8005,NA,Eretmochelys imbricata,CR,REPTILES_marine
ITS-Mam-180655,8010,8010,NA,Erignathus barbatus,LC,MARINE_MAMMALS
NA,8012,NA,NA,Erignathus barbatus ssp. barbatus,LC,NA
NA,8013,NA,NA,Erignathus barbatus ssp. nauticus,LC,NA
ITS-Mam-180521,8097,8097,NA,Eschrichtius robustus,LC,MARINE_MAMMALS
NA,8099,8097,Western,Eschrichtius robustus,CR,MARINE_MAMMALS
ITS-Mam-552771,8153,8153,NA,Eubalaena australis,LC,MARINE_MAMMALS
NA,8165,NA,NA,Eucyclogobius newberryi,NT,NA
ITS-Mam-180625,8239,8239,NA,Eumetopias jubatus,NT,MARINE_MAMMALS
Fis-25213,8407,NA,NA,Eurypegasus draconis,DD,NA
Fis-25214,8408,NA,NA,Eurypegasus papilio,LC,NA
ITS-Mam-180461,8551,8551,NA,Feresa attenuata,DD,MARINE_MAMMALS
NA,8641,NA,NA,Fontigens turritella,NT,NA
Fis-29394,8784,NA,NA,Gadus morhua,VU,NA
NA,8817,NA,NA,Galaxias argenteus,VU,NA
Fis-30039,8951,NA,NA,Gasterosteus aculeatus,LC,NA
NA,8970,8970,NA,Gazella gazella,VU,TERRESTRIAL_MAMMALS_marine
NA,9104,9104,NA,Gerbillus amoenus,LC,TERRESTRIAL_MAMMALS_marine
NA,9105,9105,NA,Gerbillus andersoni,LC,TERRESTRIAL_MAMMALS_marine
NA,9123,NA,NA,Gerbillus gerbillus,LC,NA
NA,9128,9128,NA,Gerbillus hesperinus,EN,TERRESTRIAL_MAMMALS_marine
NA,9129,9129,NA,Gerbillus hoogstraali,VU,TERRESTRIAL_MAMMALS_marine
NA,9138,9138,NA,Gerbillus occiduus,DD,TERRESTRIAL_MAMMALS_marine
NA,9140,9140,NA,Gerbillus perpallidus,LC,TERRESTRIAL_MAMMALS_marine
NA,9153,9153,NA,Gerbillus tarabuli,LC,TERRESTRIAL_MAMMALS_marine
ITS-Mam-180466,9249,9249,NA,Globicephala macrorhynchus,DD,MARINE_MAMMALS
ITS-Mam-552461,9250,9250,NA,Globicephala melas,DD,MARINE_MAMMALS
Fis-152317,9266,NA,NA,Psammogobius biocellatus,LC,NA
Fis-23138,9281,9281,NA,Glyphis gangeticus,CR,CHONDRICHTHYES
ITS-Mam-180457,9461,9461,NA,Grampus griseus,LC,MARINE_MAMMALS
ITS-Mam-180653,9660,9660,NA,Halichoerus grypus,LC,MARINE_MAMMALS
NA,9843,NA,NA,Tyrrhenaria ceratina,CR,NA
NA,9844,NA,NA,Helix godetiana,EN,NA
NA,9845,NA,NA,Moreletina obruta,VU,NA
Fis-23157,10030,10030,NA,Hexanchus griseus,NT,CHONDRICHTHYES
NA,10056,NA,NA,Hippocampus capensis,EN,NA
Fis-112788,10057,NA,NA,Hippocampus abdominalis,DD,NA
Fis-130617,10060,NA,NA,Hippocampus bargibanti,DD,NA
Fis-59130,10063,NA,NA,Hippocampus breviceps,DD,NA
Fis-32615,10064,NA,NA,Hippocampus camelopardalis,DD,NA
Fis-53157,10065,NA,NA,Hippocampus coronatus,DD,NA
Fis-30112,10066,NA,NA,Hippocampus erectus,VU,NA
Fis-23547,10069,NA,NA,Hippocampus hippocampus,DD,NA
Fis-31607,10070,NA,NA,Hippocampus histrix,VU,NA
Fis-30113,10072,NA,NA,Hippocampus ingens,VU,NA
Fis-130731,10074,NA,NA,Hippocampus jayakari,DD,NA
Fis-31608,10075,NA,NA,Hippocampus kuda,VU,NA
Fis-131072,10077,NA,NA,Hippocampus minotaur,DD,NA
Fis-30115,10082,NA,NA,Hippocampus reidi,DD,NA
Fis-53152,10083,NA,NA,Hippocampus sindonis,LC,NA
Fis-59177,10084,NA,NA,Hippocampus spinosissimus,VU,NA
Fis-52583,10087,NA,NA,Hippocampus trimaculatus,VU,NA
Fis-52589,10088,NA,NA,Hippocampus whitei,DD,NA
Fis-30116,10089,NA,NA,Hippocampus zosterae,DD,NA
Fis-23548,10097,NA,NA,Hippoglossus hippoglossus,EN,NA
W-Msc-216411,10105,NA,NA,Hippopus hippopus,LR/cd,NA
NA,10106,NA,NA,Hippopus porcellanus,LR/cd,NA
NA,10268,NA,NA,Huso dauricus,CR,NA
Fis-24054,10269,NA,NA,Huso huso,CR,NA
NA,10276,10276,NA,Parahyaena brunnea,NT,TERRESTRIAL_MAMMALS_marine
ITS-Mam-180681,10303,NA,NA,Hydrodamalis gigas,EX,NA
NA,10310,NA,NA,Hydromys chrysogaster,LC,NA
NA,10329,10329,NA,Hydropotes inermis,VU,TERRESTRIAL_MAMMALS_marine
ITS-Mam-180667,10340,10340,NA,Hydrurga leptonyx,LC,MARINE_MAMMALS
ITS-Mam-180504,10707,10707,NA,Hyperoodon ampullatus,DD,MARINE_MAMMALS
ITS-Mam-180505,10708,10708,NA,Hyperoodon planifrons,LC,MARINE_MAMMALS
NA,10722,NA,NA,Hypomesus transpacificus,CR,NA
NA,10724,10724,NA,Hypoplectrus providencianus,LC,MARINEFISH_PART_3
NA,10831,10831,NA,Inia geoffrensis,DD,MARINE_MAMMALS
NA,10913,NA,NA,Jaculus orientalis,LC,NA
NA,10939,NA,NA,Jenkinsia parvula,DD,NA
NA,10960,NA,NA,Katechonemertes nightingaleensis,VU,NA
NA,11028,NA,NA,Knipowitschia goerneri,DD,NA
Fis-35869,11030,NA,NA,Knipowitschia caucasica,LC,NA
NA,11032,NA,NA,Knipowitschia panizzae,LC,NA
ITS-Mam-180491,11047,11047,NA,Kogia breviceps,DD,MARINE_MAMMALS
ITS-Mam-180492,11048,11048,NA,Kogia sima,DD,MARINE_MAMMALS
NA,11060,NA,NA,Kuhlia marginata,LC,NA
Fis-23577,11130,11130,NA,Lachnolaimus maximus,VU,WRASSE
ITS-Mam-180440,11140,11140,NA,Lagenodelphis hosei,LC,MARINE_MAMMALS
ITS-Mam-180443,11141,11141,NA,Lagenorhynchus acutus,LC,MARINE_MAMMALS
ITS-Mam-180442,11142,11142,NA,Lagenorhynchus albirostris,LC,MARINE_MAMMALS
ITS-Mam-180446,11143,11143,NA,Lagenorhynchus australis,DD,MARINE_MAMMALS
ITS-Mam-180447,11144,11144,NA,Lagenorhynchus cruciger,LC,MARINE_MAMMALS
ITS-Mam-180444,11145,11145,NA,Lagenorhynchus obliquidens,LC,MARINE_MAMMALS
ITS-Mam-180445,11146,11146,NA,Lagenorhynchus obscurus,DD,MARINE_MAMMALS
Fis-34000,11150,11150,NA,Lagocephalus gloveri,DD,PUFFERFISH
Fis-22768,11200,11200,NA,Lamna nasus,VU,CHONDRICHTHYES
Fis-25147,11206,NA,NA,Lampetra fluviatilis,LC,NA
Fis-30189,11375,NA,NA,Latimeria chalumnae,CR,NA
Rep-6935,11533,NA,NA,Lepidochelys kempii,CR,NA
Rep-6936,11534,11534,NA,Lepidochelys olivacea,VU,REPTILES_marine
ITS-Mam-180669,11696,11696,NA,Leptonychotes weddellii,LC,MARINE_MAMMALS
NA,11790,11790,NA,Lepus flavigularis,EN,TERRESTRIAL_MAMMALS_marine
NA,11794,11794,NA,Lepus insularis,NT,TERRESTRIAL_MAMMALS_marine
W-Mer-150514,11987,NA,NA,Limulus polyphemus,VU,NA
NA,12006,NA,NA,Liolaemus lutzae,VU,NA
Fis-25001,12103,NA,NA,Liosaccus pachygaster,VU,NA
NA,12119,12119,NA,Lipotes vexillifer,CR,MARINE_MAMMALS
ITS-Mam-180454,12125,12125,NA,Lissodelphis borealis,LC,MARINE_MAMMALS
ITS-Mam-180455,12126,12126,NA,Lissodelphis peronii,DD,MARINE_MAMMALS
Fis-23176,12137,12137,NA,Lithognathus lithognathus,EN,SEABREAMS_PORGIES
NA,12143,NA,NA,Litoria aurea,VU,NA
NA,12152,NA,NA,Litoria raniformis,EN,NA
ITS-Mam-622023,12246,12246,NA,Lobodon carcinophaga,LC,MARINE_MAMMALS
NA,12302,12302,NA,Lontra canadensis,LC,TERRESTRIAL_MAMMALS_marine
NA,12303,12303,NA,Lontra felina,EN,TERRESTRIAL_MAMMALS_marine
NA,12304,12304,NA,Lontra longicaudis,NT,TERRESTRIAL_MAMMALS_marine
NA,12305,12305,NA,Lontra provocax,EN,TERRESTRIAL_MAMMALS_marine
Fis-33946,12398,NA,NA,Lucifuga spelaeotes,VU,NA
Fis-23611,12416,NA,NA,Lutjanus analis,NT,NA
Fis-23625,12417,NA,NA,Lutjanus cyanopterus,VU,NA
ITS-Mam-621916,12419,12419,NA,Lutra lutra,NT,TERRESTRIAL_MAMMALS_marine
NA,12420,12420,NA,Hydrictis maculicollis,NT,TERRESTRIAL_MAMMALS_marine
NA,12421,12421,NA,Lutra sumatrana,EN,TERRESTRIAL_MAMMALS_marine
NA,12427,12427,NA,Lutrogale perspicillata,VU,TERRESTRIAL_MAMMALS_marine
ITS-Mam-180530,13006,13006,NA,Megaptera novaeangliae,LC,MARINE_MAMMALS
Fis-23633,13045,NA,NA,Melanogrammus aeglefinus,VU,NA
NA,13145,NA,NA,Menidia conchorum,EN,NA
NA,13232,NA,NA,Mesogobius batrachocephalus,LC,NA
ITS-Mam-180515,13241,13241,NA,Mesoplodon bidens,DD,MARINE_MAMMALS
ITS-Mam-180513,13242,13242,NA,Mesoplodon bowdoini,DD,MARINE_MAMMALS
ITS-Mam-180512,13243,13243,NA,Mesoplodon carlhubbsi,DD,MARINE_MAMMALS
ITS-Mam-180517,13244,13244,NA,Mesoplodon densirostris,DD,MARINE_MAMMALS
ITS-Mam-180509,13245,13245,NA,Mesoplodon europaeus,DD,MARINE_MAMMALS
ITS-Mam-180510,13246,13246,NA,Mesoplodon ginkgodens,DD,MARINE_MAMMALS
ITS-Mam-180511,13247,13247,NA,Mesoplodon grayi,DD,MARINE_MAMMALS
ITS-Mam-180507,13248,13248,NA,Mesoplodon hectori,DD,MARINE_MAMMALS
ITS-Mam-180516,13249,13249,NA,Mesoplodon layardii,DD,MARINE_MAMMALS
ITS-Mam-180508,13250,13250,NA,Mesoplodon mirus,DD,MARINE_MAMMALS
ITS-Mam-552772,13251,13251,NA,Mesoplodon peruvianus,DD,MARINE_MAMMALS
ITS-Mam-180514,13252,13252,NA,Mesoplodon stejnegeri,DD,MARINE_MAMMALS
NA,13417,13417,NA,Microtus breweri,VU,TERRESTRIAL_MAMMALS_marine
NA,13520,NA,NA,Mictocaris halope,CR,NA
ITS-Mam-180672,13581,13581,NA,Mirounga angustirostris,LC,MARINE_MAMMALS
ITS-Mam-180671,13583,13583,NA,Mirounga leonina,LC,MARINE_MAMMALS
ITS-Mam-180659,13653,13653,NA,Monachus monachus,EN,MARINE_MAMMALS
ITS-Mam-180661,13654,13654,NA,Neomonachus schauinslandi,EN,MARINE_MAMMALS
NA,13655,NA,NA,Neomonachus tropicalis,EX,NA
ITS-Mam-180485,13704,13704,NA,Monodon monoceros,NT,MARINE_MAMMALS
NA,13891,NA,NA,Mortonagrion hirosei,NT,NA
NA,13966,NA,NA,Mus macedonicus,LC,NA
NA,13972,NA,NA,Mus musculus,LC,NA
NA,14048,14048,NA,Mycteroperca cidi,DD,GROUPERS
Fis-24803,14049,14049,NA,Mycteroperca jordani,EN,GROUPERS
Fis-23649,14050,14050,NA,Mycteroperca microlepis,LC,GROUPERS
Fis-26901,14051,14051,NA,Mycteroperca olfax,VU,GROUPERS
Fis-33369,14052,14052,NA,Mycteroperca prionura,NT,GROUPERS
Fis-27393,14053,14053,NA,Mycteroperca rosacea,VU,GROUPERS
Fis-23650,14054,14054,NA,Mycteroperca rubra,LC,GROUPERS
NA,14128,14128,NA,Myotis daubentonii,LC,TERRESTRIAL_MAMMALS_marine
Fis-24809,14214,NA,NA,Triglopsis quadricornis,LC,NA
Fis-26058,14264,NA,NA,Myxus capensis,LC,NA
NA,14331,NA,NA,Nanocopia minuta,CR,NA
Rep-8732,14363,NA,NA,Natator depressus,DD,NA
NA,14521,NA,NA,Neogobius fluviatilis,LC,NA
Fis-28308,14524,NA,NA,Neogobius melanostomus,LC,NA
ITS-Mam-180623,14549,14549,NA,Neophoca cinerea,EN,MARINE_MAMMALS
NA,14576,NA,NA,Neotoma anthonyi,EX,NA
NA,14580,NA,NA,Neotoma martinensis,EX,NA
NA,14584,14584,NA,Neotoma bryanti,EN,TERRESTRIAL_MAMMALS_marine
NA,14629,NA,NA,Neritina tiassalensis,CR,NA
ITS-Mam-180639,15106,15106,NA,Odobenus rosmarus,VU,MARINE_MAMMALS
NA,15108,NA,NA,Odobenus rosmarus ssp. rosmarus,NT,NA
NA,15184,NA,NA,Ogilbia galapagosensis,VU,NA
Fis-59241,15239,NA,NA,Oligolepis keiensis,LC,NA
ITS-Mam-180665,15269,15269,NA,Ommatophoca rossii,LC,MARINE_MAMMALS
Fis-22918,15319,NA,NA,Oncorhynchus ishikawai,EN,NA
ITS-Mam-180471,15419,15419,NA,Orcaella brevirostris,VU,MARINE_MAMMALS
ITS-Mam-180469,15421,15421,NA,Orcinus orca,DD,MARINE_MAMMALS
NA,15549,NA,NA,Orthogeomys hispidus,LC,NA
Fis-23705,15631,NA,NA,Osmerus eperlanus,LC,NA
Fis-23707,15873,15873,NA,Pagrus pagrus,LC,SEABREAMS_PORGIES
Fis-31394,15939,NA,NA,Pandaka pygmaea,CR,NA
NA,15968,NA,NA,Prosadenoporus agricola,CR,NA
Fis-50720,16011,NA,NA,Favonigobius melanobranchus,LR/nt,NA
Fis-17253,16012,NA,NA,Favonigobius reichei,LR/nt,NA
NA,16067,NA,NA,Paracyclopia naessi,CR,NA
NA,16238,NA,NA,Paretroplus polyactis,LC,NA
Fis-31036,16474,NA,NA,Pegasus lancifer,LC,NA
Fis-31034,16475,NA,NA,Pegasus laternarius,VU,NA
Fis-31035,16476,NA,NA,Pegasus volitans,DD,NA
ITS-Mam-180459,16564,16564,NA,Peponocephala electra,LC,MARINE_MAMMALS
NA,16580,NA,NA,Perca fluviatilis,LC,NA
NA,16687,16687,NA,Peromyscus pseudocrinitus,CR,TERRESTRIAL_MAMMALS_marine
Fis-30477,16781,NA,NA,Petromyzon marinus,LC,NA
ITS-Mam-180649,17013,17013,NA,Phoca vitulina,LC,MARINE_MAMMALS
NA,17014,NA,NA,Phoca vitulina ssp. stejnegeri,DD,NA
NA,17020,NA,NA,Phoca vitulina ssp. vitulina,LC,NA
NA,17021,NA,NA,Phoca vitulina ssp. concolor,LC,NA
NA,17022,NA,NA,Phoca vitulina ssp. richardii,LC,NA
SLB-49732,17023,17023,NA,Phoca largha,LC,MARINE_MAMMALS
ITS-Mam-180617,17026,17026,NA,Phocarctos hookeri,EN,MARINE_MAMMALS
ITS-Mam-180473,17027,17027,NA,Phocoena phocoena,LC,MARINE_MAMMALS
ITS-Mam-180474,17028,17028,NA,Phocoena sinus,CR,MARINE_MAMMALS
ITS-Mam-180476,17029,17029,NA,Phocoena spinipinnis,DD,MARINE_MAMMALS
NA,17030,NA,NA,Phocoena phocoena ssp. relicta,EN,NA
NA,17031,17027,Baltic Sea,Phocoena phocoena,CR,MARINE_MAMMALS
ITS-Mam-180480,17032,17032,NA,Phocoenoides dalli,LC,MARINE_MAMMALS
Fis-48290,17096,NA,NA,Phycodurus eques,NT,NA
Fis-29097,17177,NA,NA,Phyllopteryx taeniolatus,NT,NA
NA,17245,NA,NA,Physiculus helenaensis,DD,NA
Fis-16989,17710,NA,NA,Pleuronectes ferrugineus,VU,NA
NA,17977,NA,NA,Pontinus nigropunctatus,LC,NA
ITS-Mam-180411,17978,17978,NA,Pontoporia blainvillei,VU,MARINE_MAMMALS
NA,18145,NA,NA,Priolepis robinsi,LC,NA
Fis-47467,18175,NA,NA,Pristis pectinata,CR,NA
NA,18374,NA,NA,Protemblemaria punctata,LC,NA
Fis-28309,18376,NA,NA,Proterorhinus marmoratus,LC,NA
NA,18383,NA,NA,Prototroctes maraena,NT,NA
NA,18428,NA,NA,Psephurus gladius,CR,NA
NA,18458,NA,NA,Pseudemys alabamensis,EN,NA
Fis-35299,18510,NA,NA,Pseudochromis pesi,VU,NA
ITS-Mam-180463,18596,18596,NA,Pseudorca crassidens,DD,MARINE_MAMMALS
NA,18711,18711,NA,Pteronura brasiliensis,EN,TERRESTRIAL_MAMMALS_marine
Fis-24923,18878,NA,NA,Pungitius pungitius,LC,NA
W-Msc-141115,19301,NA,NA,Ranella olearia,LR/nt,NA
NA,19330,NA,NA,Rattus exulans,LC,NA
NA,19387,NA,NA,Redigobius dewaali,LC,NA
Fis-28216,19388,NA,NA,Redigobius bikolanus,LC,NA
