am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,spp_group,spatial_source,cat_code,cat_score,pop_trend,trend_score
NA,2066,NA,NA,Arctocephalus pusillus ssp. pusillus,NA,NA,LC,0,NA,NA
NA,2067,NA,NA,Arctocephalus pusillus ssp. doriferus,NA,NA,LC,0,NA,NA
NA,2113,NA,NA,Arius madagascariensis,NA,NA,LC,0,NA,NA
Fis-29684,2352,NA,NA,Atherina boyeri,NA,am,LC,0,unknown,NA
ITS-Mam-180533,2467,2467,NA,Balaena mysticetus,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
NA,2468,2467,Bering-Chukchi-Beaufort Sea,Balaena mysticetus,MARINE_MAMMALS,iucn,VU,0.4,NA,NA
NA,2469,2467,Okhotsk Sea,Balaena mysticetus,MARINE_MAMMALS,iucn,EN,0.6,unknown,NA
NA,2472,2467,Svalbard-Barents Sea (Spitsbergen),Balaena mysticetus,MARINE_MAMMALS,iucn,CR,0.8,unknown,NA
ITS-Mam-180524,2474,2474,NA,Balaenoptera acutorostrata,MARINE_MAMMALS,iucn,LC,0,stable,0
ITS-Mam-180526,2475,2475,NA,Balaenoptera borealis,MARINE_MAMMALS,iucn,EN,0.6,unknown,NA
ITS-Mam-180525,2476,2476,NA,Balaenoptera edeni,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180528,2477,2477,NA,Balaenoptera musculus,MARINE_MAMMALS,iucn,EN,0.6,increasing,0.5
ITS-Mam-180527,2478,2478,NA,Balaenoptera physalus,MARINE_MAMMALS,iucn,EN,0.6,unknown,NA
NA,2479,NA,NA,Balaenoptera musculus ssp. brevicauda,NA,NA,DD,NA,NA,NA
ITS-Mam-612592,2480,2480,NA,Balaenoptera bonaerensis,MARINE_MAMMALS,iucn,DD,NA,NA,NA
NA,2482,NA,NA,Balaenoptera musculus ssp. musculus,NA,NA,VU,0.4,NA,NA
Fis-29302,2539,NA,NA,Balistes vetula,NA,am,NT,0.2,decreasing,-0.5
NA,2621,NA,NA,Bathygobius burtoni,NA,NA,EN,0.6,NA,NA
Fis-55409,2636,2636,NA,Bathyraja abyssicola,CHONDRICHTHYES,iucn,DD,NA,NA,NA
NA,2644,NA,NA,Batrachoides manglae,NA,NA,LC,0,NA,NA
NA,2761,NA,NA,Benthophiloides brauneri,NA,NA,DD,NA,NA,NA
ITS-Mam-180495,2762,2762,NA,Berardius arnuxii,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180496,2763,2763,NA,Berardius bairdii,MARINE_MAMMALS,iucn,DD,NA,NA,NA
Chn-ae156111-0d32-4a94-8720-9d7733c99831,2811,NA,NA,Birgus latro,NA,am,DD,NA,NA,NA
NA,2895,NA,NA,Bostrychus zonatus,NA,NA,DD,NA,NA,NA
Fis-56243,2958,NA,NA,Brachionichthys hirsutus,NA,am,CR,0.8,NA,NA
NA,3012,3012,NA,Bradypodion setaroi,REPTILES_marine,iucn,LC,0,unknown,NA
Fis-26816,3381,NA,NA,Butis butis,NA,am,LC,0,stable,0
Fis-16793,3565,NA,NA,Callionymus sanctaehelenae,NA,am,CR,0.8,NA,NA
ITS-Mam-180627,3590,3590,NA,Callorhinus ursinus,MARINE_MAMMALS,iucn,VU,0.4,decreasing,-0.5
NA,3755,3755,NA,Canis mesomelas,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,stable,0
NA,3764,3764,NA,Canthigaster rapaensis,PUFFERFISH,iucn,EN,0.6,unknown,NA
ITS-Mam-180535,3778,3778,NA,Caperea marginata,MARINE_MAMMALS,iucn,DD,NA,NA,NA
Fis-23060,3851,3851,NA,Carcharhinus limbatus,CHONDRICHTHYES,iucn,NT,0.2,unknown,NA
Fis-23064,3852,3852,NA,Carcharhinus obscurus,CHONDRICHTHYES,iucn,VU,0.4,decreasing,-0.5
Fis-23066,3853,3853,NA,Carcharhinus plumbeus,CHONDRICHTHYES,iucn,VU,0.4,decreasing,-0.5
Fis-29388,3854,3854,NA,Carcharias taurus,CHONDRICHTHYES,iucn,VU,0.4,unknown,NA
Fis-23071,3855,3855,NA,Carcharodon carcharias,CHONDRICHTHYES,iucn,VU,0.4,unknown,NA
Rep-2666,3897,3897,NA,Caretta caretta,REPTILES_marine,iucn,VU,0.4,decreasing,-0.5
NA,4131,4131,NA,Centropyge resplendens,ANGELFISH,iucn,LC,0,stable,0
ITS-Mam-180449,4159,4159,NA,Cephalorhynchus commersonii,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180450,4160,4160,NA,Cephalorhynchus eutropia,MARINE_MAMMALS,iucn,NT,0.2,decreasing,-0.5
ITS-Mam-180451,4161,4161,NA,Cephalorhynchus heavisidii,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180452,4162,4162,NA,Cephalorhynchus hectori,MARINE_MAMMALS,iucn,EN,0.6,decreasing,-0.5
Fis-22747,4292,4292,NA,Cetorhinus maximus,CHONDRICHTHYES,iucn,VU,0.4,decreasing,-0.5
NA,4360,4360,NA,Chaetodon flavocoronatus,BUTTERFLYFISH,iucn,LC,0,stable,0
NA,4361,4361,NA,Chaetodon litus,BUTTERFLYFISH,iucn,LC,0,stable,0
Fis-32632,4362,4362,NA,Chaetodon marleyi,BUTTERFLYFISH,iucn,LC,0,stable,0
NA,4363,4363,NA,Prognathodes obliquus,BUTTERFLYFISH,iucn,DD,NA,NA,NA
Fis-33809,4364,4364,NA,Chaetodon robustus,BUTTERFLYFISH,iucn,LC,0,stable,0
Fis-31463,4592,NA,NA,Cheilinus undulatus,NA,am,EN,0.6,decreasing,-0.5
Rep-2941,4615,4615,NA,Chelonia mydas,REPTILES_marine,iucn,EN,0.6,decreasing,-0.5
NA,4805,4805,NA,Chromis sanctaehelenae,DAMSELFISH,iucn,LC,0,unknown,NA
NA,4982,NA,NA,Clinus spatulatus,NA,NA,EN,0.6,NA,NA
Fis-23448,4987,NA,NA,Clupeonella cultriventris,NA,am,LC,0,unknown,NA
NA,5269,5269,NA,Conus africanus,CONESNAILS,iucn,LC,0,unknown,NA
NA,5270,5270,NA,Conus cepasi,CONESNAILS,iucn,VU,0.4,NA,NA
NA,5272,5272,NA,Conus nobrei,CONESNAILS,iucn,NT,0.2,unknown,NA
NA,5273,5273,NA,Conus zebroides,CONESNAILS,iucn,NT,0.2,unknown,NA
NA,5325,NA,NA,Emblemariopsis tayrona,NA,NA,LC,0,NA,NA
Fis-22868,5360,NA,NA,Coregonus albula,NA,am,LC,0,unknown,NA
NA,5362,NA,NA,Coregonus artedi,NA,NA,LC,0,NA,NA
Fis-48198,5363,NA,NA,Coregonus autumnalis,NA,am,LC,0,unknown,NA
NA,5375,NA,NA,Coregonus pidschian,NA,NA,LC,0,NA,NA
NA,5379,NA,NA,Coregonus huntsmani,NA,NA,VU,0.4,NA,NA
NA,5380,NA,NA,Coregonus oxyrinchus,NA,NA,EX,1,NA,NA
NA,5560,5560,NA,Crocidura canariensis,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
Rep-3445,5659,5659,NA,Crocodylus acutus,REPTILES_marine,iucn,VU,0.4,increasing,0.5
NA,5660,5660,NA,Mecistops cataphractus,REPTILES_marine,iucn,CR,0.8,decreasing,-0.5
NA,5667,5667,NA,Crocodylus palustris,REPTILES_marine,iucn,VU,0.4,stable,0
Rep-3460,5668,NA,NA,Crocodylus porosus,NA,am,LC,0,NA,NA
Fis-31807,5675,NA,NA,Croilia mossambica,NA,am,LC,0,unknown,NA
NA,5796,5796,NA,Ctenomys australis,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
NA,5819,5819,NA,Ctenomys pearsoni,TERRESTRIAL_MAMMALS_marine,iucn,NT,0.2,decreasing,-0.5
NA,5828,5828,NA,Ctenomys talarum,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,unknown,NA
NA,6026,NA,NA,Cyclura carinata,NA,NA,CR,0.8,NA,NA
NA,6031,NA,NA,Cyclura pinguis,NA,NA,CR,0.8,NA,NA
NA,6035,NA,NA,Cyclura cychlura,NA,NA,VU,0.4,NA,NA
NA,6040,NA,NA,Cyclura cychlura ssp. figginsi,NA,NA,CR,0.8,NA,NA
NA,6041,NA,NA,Cyclura cychlura ssp. inornata,NA,NA,EN,0.6,NA,NA
NA,6042,NA,NA,Cyclura cornuta,NA,NA,VU,0.4,NA,NA
NA,6043,NA,NA,Cyclura nubila ssp. caymanensis,NA,NA,CR,0.8,NA,NA
NA,6045,NA,NA,Cyclura nubila ssp. nubila,NA,NA,VU,0.4,NA,NA
NA,6069,NA,NA,Cymatium parthenopaeum,NA,NA,LC,0,NA,NA
ITS-Mam-180657,6204,6204,NA,Cystophora cristata,MARINE_MAMMALS,iucn,VU,0.4,unknown,NA
Fis-23101,6229,6229,NA,Dalatias licha,CHONDRICHTHYES,iucn,NT,0.2,unknown,NA
ITS-Mam-180483,6335,6335,NA,Delphinapterus leucas,MARINE_MAMMALS,iucn,NT,0.2,unknown,NA
ITS-Mam-180438,6336,6336,NA,Delphinus delphis,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-555654,6337,6337,NA,Delphinus capensis,MARINE_MAMMALS,iucn,DD,NA,NA,NA
Rep-4381,6494,NA,NA,Dermochelys coriacea,NA,am,VU,0.4,decreasing,-0.5
NA,6685,NA,NA,Dipodomys compactus,NA,NA,LC,0,NA,NA
Fis-53099,6814,NA,NA,Dunckerocampus dactyliophorus,NA,am,DD,NA,NA,NA
ITS-Mam-180679,6909,6909,NA,Dugong dugon,MARINE_MAMMALS,iucn,VU,0.4,decreasing,-0.5
NA,6930,NA,NA,Dussartius baeticus,NA,NA,VU,0.4,NA,NA
W-Ech-124287,7011,NA,NA,Echinus esculentus,NA,am,NT,0.2,NA,NA
NA,7121,7121,NA,Elaphurus davidianus,TERRESTRIAL_MAMMALS_marine,iucn,EX,1,NA,NA
NA,7134,NA,NA,Eleotris sandwicensis,NA,NA,DD,NA,NA,NA
Fis-33751,7135,NA,NA,Eleotris melanosoma,NA,am,LC,0,stable,0
ITS-Mam-180547,7750,7750,NA,Enhydra lutris,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
NA,7778,7778,NA,Entomacrodus cadenati,COMBTOOTHBLENNIES,iucn,LC,0,stable,0
NA,7821,7821,NA,Chilabothrus inornatus,REPTILES_marine,iucn,LC,0,unknown,NA
Fis-29953,7854,7854,NA,Epinephelus drummondhayi,GROUPERS,iucn,CR,0.8,unknown,NA
NA,7855,7855,NA,Hyporthodus exsul,GROUPERS,iucn,DD,NA,NA,NA
Fis-26139,7858,7858,NA,Epinephelus lanceolatus,GROUPERS,iucn,VU,0.4,decreasing,-0.5
Fis-26140,7859,7859,NA,Epinephelus marginatus,GROUPERS,iucn,EN,0.6,decreasing,-0.5
Fis-163779,7860,7860,NA,Hyporthodus nigritus,GROUPERS,iucn,CR,0.8,unknown,NA
Fis-163781,7861,7861,NA,Hyporthodus niveatus,GROUPERS,iucn,VU,0.4,decreasing,-0.5
Fis-22722,7862,7862,NA,Epinephelus striatus,GROUPERS,iucn,EN,0.6,decreasing,-0.5
Rep-5181,8005,8005,NA,Eretmochelys imbricata,REPTILES_marine,iucn,CR,0.8,decreasing,-0.5
ITS-Mam-180655,8010,8010,NA,Erignathus barbatus,MARINE_MAMMALS,iucn,LC,0,unknown,NA
NA,8012,NA,NA,Erignathus barbatus ssp. barbatus,NA,NA,LC,0,NA,NA
NA,8013,NA,NA,Erignathus barbatus ssp. nauticus,NA,NA,LC,0,NA,NA
ITS-Mam-180521,8097,8097,NA,Eschrichtius robustus,MARINE_MAMMALS,iucn,LC,0,stable,0
NA,8099,8097,Western,Eschrichtius robustus,MARINE_MAMMALS,iucn,CR,0.8,increasing,0.5
ITS-Mam-552771,8153,8153,NA,Eubalaena australis,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
NA,8165,NA,NA,Eucyclogobius newberryi,NA,NA,NT,0.2,NA,NA
ITS-Mam-180625,8239,8239,NA,Eumetopias jubatus,MARINE_MAMMALS,iucn,NT,0.2,increasing,0.5
Fis-25213,8407,NA,NA,Eurypegasus draconis,NA,am,DD,NA,NA,NA
Fis-25214,8408,NA,NA,Eurypegasus papilio,NA,am,LC,0,unknown,NA
ITS-Mam-180461,8551,8551,NA,Feresa attenuata,MARINE_MAMMALS,iucn,DD,NA,NA,NA
NA,8641,NA,NA,Fontigens turritella,NA,NA,NT,0.2,NA,NA
Fis-29394,8784,NA,NA,Gadus morhua,NA,am,VU,0.4,NA,NA
NA,8817,NA,NA,Galaxias argenteus,NA,NA,VU,0.4,NA,NA
Fis-30039,8951,NA,NA,Gasterosteus aculeatus,NA,am,LC,0,stable,0
NA,8970,8970,NA,Gazella gazella,TERRESTRIAL_MAMMALS_marine,iucn,VU,0.4,decreasing,-0.5
NA,9104,9104,NA,Gerbillus amoenus,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,unknown,NA
NA,9105,9105,NA,Gerbillus andersoni,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,unknown,NA
NA,9123,NA,NA,Gerbillus gerbillus,NA,NA,LC,0,NA,NA
NA,9128,9128,NA,Gerbillus hesperinus,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
NA,9129,9129,NA,Gerbillus hoogstraali,TERRESTRIAL_MAMMALS_marine,iucn,VU,0.4,unknown,NA
NA,9138,9138,NA,Gerbillus occiduus,TERRESTRIAL_MAMMALS_marine,iucn,DD,NA,NA,NA
NA,9140,9140,NA,Gerbillus perpallidus,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,stable,0
NA,9153,9153,NA,Gerbillus tarabuli,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,stable,0
ITS-Mam-180466,9249,9249,NA,Globicephala macrorhynchus,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-552461,9250,9250,NA,Globicephala melas,MARINE_MAMMALS,iucn,DD,NA,NA,NA
Fis-152317,9266,NA,NA,Psammogobius biocellatus,NA,am,LC,0,stable,0
Fis-23138,9281,9281,NA,Glyphis gangeticus,CHONDRICHTHYES,iucn,CR,0.8,decreasing,-0.5
ITS-Mam-180457,9461,9461,NA,Grampus griseus,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180653,9660,9660,NA,Halichoerus grypus,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
NA,9843,NA,NA,Tyrrhenaria ceratina,NA,NA,CR,0.8,NA,NA
NA,9844,NA,NA,Helix godetiana,NA,NA,EN,0.6,NA,NA
NA,9845,NA,NA,Moreletina obruta,NA,NA,VU,0.4,NA,NA
Fis-23157,10030,10030,NA,Hexanchus griseus,CHONDRICHTHYES,iucn,NT,0.2,unknown,NA
NA,10056,NA,NA,Hippocampus capensis,NA,NA,EN,0.6,NA,NA
Fis-112788,10057,NA,NA,Hippocampus abdominalis,NA,am,DD,NA,NA,NA
Fis-130617,10060,NA,NA,Hippocampus bargibanti,NA,am,DD,NA,NA,NA
Fis-59130,10063,NA,NA,Hippocampus breviceps,NA,am,DD,NA,NA,NA
Fis-32615,10064,NA,NA,Hippocampus camelopardalis,NA,am,DD,NA,NA,NA
Fis-53157,10065,NA,NA,Hippocampus coronatus,NA,am,DD,NA,NA,NA
Fis-30112,10066,NA,NA,Hippocampus erectus,NA,am,VU,0.4,decreasing,-0.5
Fis-23547,10069,NA,NA,Hippocampus hippocampus,NA,am,DD,NA,NA,NA
Fis-31607,10070,NA,NA,Hippocampus histrix,NA,am,VU,0.4,decreasing,-0.5
Fis-30113,10072,NA,NA,Hippocampus ingens,NA,am,VU,0.4,decreasing,-0.5
Fis-130731,10074,NA,NA,Hippocampus jayakari,NA,am,DD,NA,NA,NA
Fis-31608,10075,NA,NA,Hippocampus kuda,NA,am,VU,0.4,decreasing,-0.5
Fis-131072,10077,NA,NA,Hippocampus minotaur,NA,am,DD,NA,NA,NA
Fis-30115,10082,NA,NA,Hippocampus reidi,NA,am,DD,NA,NA,NA
Fis-53152,10083,NA,NA,Hippocampus sindonis,NA,am,LC,0,unknown,NA
Fis-59177,10084,NA,NA,Hippocampus spinosissimus,NA,am,VU,0.4,decreasing,-0.5
Fis-52583,10087,NA,NA,Hippocampus trimaculatus,NA,am,VU,0.4,decreasing,-0.5
Fis-52589,10088,NA,NA,Hippocampus whitei,NA,am,DD,NA,NA,NA
Fis-30116,10089,NA,NA,Hippocampus zosterae,NA,am,DD,NA,NA,NA
Fis-23548,10097,NA,NA,Hippoglossus hippoglossus,NA,am,EN,0.6,NA,NA
W-Msc-216411,10105,NA,NA,Hippopus hippopus,NA,am,VU,0.4,NA,NA
NA,10106,NA,NA,Hippopus porcellanus,NA,NA,VU,0.4,NA,NA
NA,10268,NA,NA,Huso dauricus,NA,NA,CR,0.8,NA,NA
Fis-24054,10269,NA,NA,Huso huso,NA,am,CR,0.8,decreasing,-0.5
NA,10276,10276,NA,Parahyaena brunnea,TERRESTRIAL_MAMMALS_marine,iucn,NT,0.2,stable,0
ITS-Mam-180681,10303,NA,NA,Hydrodamalis gigas,NA,am,EX,1,NA,NA
NA,10310,NA,NA,Hydromys chrysogaster,NA,NA,LC,0,NA,NA
NA,10329,10329,NA,Hydropotes inermis,TERRESTRIAL_MAMMALS_marine,iucn,VU,0.4,decreasing,-0.5
ITS-Mam-180667,10340,10340,NA,Hydrurga leptonyx,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180504,10707,10707,NA,Hyperoodon ampullatus,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180505,10708,10708,NA,Hyperoodon planifrons,MARINE_MAMMALS,iucn,LC,0,unknown,NA
NA,10722,NA,NA,Hypomesus transpacificus,NA,NA,CR,0.8,NA,NA
NA,10724,10724,NA,Hypoplectrus providencianus,MARINEFISH_PART_3,iucn,LC,0,unknown,NA
NA,10831,10831,NA,Inia geoffrensis,MARINE_MAMMALS,iucn,DD,NA,NA,NA
NA,10913,NA,NA,Jaculus orientalis,NA,NA,LC,0,NA,NA
NA,10939,NA,NA,Jenkinsia parvula,NA,NA,DD,NA,NA,NA
NA,10960,NA,NA,Katechonemertes nightingaleensis,NA,NA,VU,0.4,NA,NA
NA,11028,NA,NA,Knipowitschia goerneri,NA,NA,DD,NA,NA,NA
Fis-35869,11030,NA,NA,Knipowitschia caucasica,NA,am,LC,0,unknown,NA
NA,11032,NA,NA,Knipowitschia panizzae,NA,NA,LC,0,NA,NA
ITS-Mam-180491,11047,11047,NA,Kogia breviceps,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180492,11048,11048,NA,Kogia sima,MARINE_MAMMALS,iucn,DD,NA,NA,NA
NA,11060,NA,NA,Kuhlia marginata,NA,NA,LC,0,NA,NA
Fis-23577,11130,11130,NA,Lachnolaimus maximus,WRASSE,iucn,VU,0.4,decreasing,-0.5
ITS-Mam-180440,11140,11140,NA,Lagenodelphis hosei,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180443,11141,11141,NA,Lagenorhynchus acutus,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180442,11142,11142,NA,Lagenorhynchus albirostris,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180446,11143,11143,NA,Lagenorhynchus australis,MARINE_MAMMALS,iucn,DD,NA,NA,NA
ITS-Mam-180447,11144,11144,NA,Lagenorhynchus cruciger,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180444,11145,11145,NA,Lagenorhynchus obliquidens,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180445,11146,11146,NA,Lagenorhynchus obscurus,MARINE_MAMMALS,iucn,DD,NA,NA,NA
Fis-34000,11150,11150,NA,Lagocephalus gloveri,PUFFERFISH,iucn,DD,NA,NA,NA
Fis-22768,11200,11200,NA,Lamna nasus,CHONDRICHTHYES,iucn,VU,0.4,decreasing,-0.5
Fis-25147,11206,NA,NA,Lampetra fluviatilis,NA,am,LC,0,unknown,NA
Fis-30189,11375,NA,NA,Latimeria chalumnae,NA,am,CR,0.8,unknown,NA
Rep-6935,11533,NA,NA,Lepidochelys kempii,NA,am,CR,0.8,NA,NA
Rep-6936,11534,11534,NA,Lepidochelys olivacea,REPTILES_marine,iucn,VU,0.4,decreasing,-0.5
ITS-Mam-180669,11696,11696,NA,Leptonychotes weddellii,MARINE_MAMMALS,iucn,LC,0,unknown,NA
NA,11790,11790,NA,Lepus flavigularis,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
NA,11794,11794,NA,Lepus insularis,TERRESTRIAL_MAMMALS_marine,iucn,NT,0.2,unknown,NA
W-Mer-150514,11987,NA,NA,Limulus polyphemus,NA,am,VU,0.4,decreasing,-0.5
NA,12006,NA,NA,Liolaemus lutzae,NA,NA,VU,0.4,NA,NA
Fis-25001,12103,NA,NA,Liosaccus pachygaster,NA,am,VU,0.4,NA,NA
NA,12119,12119,NA,Lipotes vexillifer,MARINE_MAMMALS,iucn,CR,0.8,unknown,NA
ITS-Mam-180454,12125,12125,NA,Lissodelphis borealis,MARINE_MAMMALS,iucn,LC,0,unknown,NA
ITS-Mam-180455,12126,12126,NA,Lissodelphis peronii,MARINE_MAMMALS,iucn,DD,NA,NA,NA
Fis-23176,12137,12137,NA,Lithognathus lithognathus,SEABREAMS_PORGIES,iucn,EN,0.6,decreasing,-0.5
NA,12143,NA,NA,Litoria aurea,NA,NA,VU,0.4,NA,NA
NA,12152,NA,NA,Litoria raniformis,NA,NA,EN,0.6,NA,NA
ITS-Mam-622023,12246,12246,NA,Lobodon carcinophaga,MARINE_MAMMALS,iucn,LC,0,unknown,NA
NA,12302,12302,NA,Lontra canadensis,TERRESTRIAL_MAMMALS_marine,iucn,LC,0,stable,0
NA,12303,12303,NA,Lontra felina,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
NA,12304,12304,NA,Lontra longicaudis,TERRESTRIAL_MAMMALS_marine,iucn,NT,0.2,decreasing,-0.5
NA,12305,12305,NA,Lontra provocax,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
Fis-33946,12398,NA,NA,Lucifuga spelaeotes,NA,am,VU,0.4,unknown,NA
Fis-23611,12416,NA,NA,Lutjanus analis,NA,am,NT,0.2,decreasing,-0.5
Fis-23625,12417,NA,NA,Lutjanus cyanopterus,NA,am,VU,0.4,decreasing,-0.5
ITS-Mam-621916,12419,12419,NA,Lutra lutra,TERRESTRIAL_MAMMALS_marine,iucn,NT,0.2,decreasing,-0.5
NA,12420,12420,NA,Hydrictis maculicollis,TERRESTRIAL_MAMMALS_marine,iucn,NT,0.2,decreasing,-0.5
NA,12421,12421,NA,Lutra sumatrana,TERRESTRIAL_MAMMALS_marine,iucn,EN,0.6,decreasing,-0.5
NA,12427,12427,NA,Lutrogale perspicillata,TERRESTRIAL_MAMMALS_marine,iucn,VU,0.4,decreasing,-0.5
ITS-Mam-180530,13006,13006,NA,Megaptera novaeangliae,MARINE_MAMMALS,iucn,LC,0,increasing,0.5
Fis-23633,13045,NA,NA,Melanogrammus aeglefinus,NA,am,VU,0.4,NA,NA
NA,13145,NA,NA,Menidia conchorum,NA,NA,EN,0.6,NA,NA
NA,13232,NA,NA,Mesogobius batrachocephalus,NA,NA,LC,0,NA,NA
ITS-Mam-180515,13241,13241,NA,Mesoplodon bidens,MARINE_MAMMALS,iucn,DD,NA,NA,NA
