iucn_sid,pop_trend,am_sid,sciname,trend_score
10269,decreasing,Fis-24054,Huso huso,-0.5
10276,stable,NA,Parahyaena brunnea,0
10303,NA,ITS-Mam-180681,Hydrodamalis gigas,NA
10329,decreasing,NA,Hydropotes inermis,-0.5
10340,unknown,ITS-Mam-180667,Hydrurga leptonyx,NA
10708,unknown,ITS-Mam-180505,Hyperoodon planifrons,NA
10724,unknown,NA,Hypoplectrus providencianus,NA
11030,unknown,Fis-35869,Knipowitschia caucasica,NA
11130,decreasing,Fis-23577,Lachnolaimus maximus,-0.5
11140,unknown,ITS-Mam-180440,Lagenodelphis hosei,NA
11141,unknown,ITS-Mam-180443,Lagenorhynchus acutus,NA
11142,unknown,ITS-Mam-180442,Lagenorhynchus albirostris,NA
11144,unknown,ITS-Mam-180447,Lagenorhynchus cruciger,NA
11145,unknown,ITS-Mam-180444,Lagenorhynchus obliquidens,NA
11200,decreasing,Fis-22768,Lamna nasus,-0.5
11206,unknown,Fis-25147,Lampetra fluviatilis,NA
11375,unknown,Fis-30189,Latimeria chalumnae,NA
11533,NA,Rep-6935,Lepidochelys kempii,NA
11534,decreasing,Rep-6936,Lepidochelys olivacea,-0.5
11696,unknown,ITS-Mam-180669,Leptonychotes weddellii,NA
11790,decreasing,NA,Lepus flavigularis,-0.5
11794,unknown,NA,Lepus insularis,NA
11987,decreasing,W-Mer-150514,Limulus polyphemus,-0.5
12103,NA,Fis-25001,Liosaccus pachygaster,NA
12119,unknown,NA,Lipotes vexillifer,NA
12125,unknown,ITS-Mam-180454,Lissodelphis borealis,NA
12137,decreasing,Fis-23176,Lithognathus lithognathus,-0.5
12246,unknown,ITS-Mam-622023,Lobodon carcinophaga,NA
12302,stable,NA,Lontra canadensis,0
12303,decreasing,NA,Lontra felina,-0.5
12304,decreasing,NA,Lontra longicaudis,-0.5
12305,decreasing,NA,Lontra provocax,-0.5
12398,unknown,Fis-33946,Lucifuga spelaeotes,NA
12416,decreasing,Fis-23611,Lutjanus analis,-0.5
12417,decreasing,Fis-23625,Lutjanus cyanopterus,-0.5
12419,decreasing,ITS-Mam-621916,Lutra lutra,-0.5
12420,decreasing,NA,Hydrictis maculicollis,-0.5
12421,decreasing,NA,Lutra sumatrana,-0.5
12427,decreasing,NA,Lutrogale perspicillata,-0.5
13006,increasing,ITS-Mam-180530,Megaptera novaeangliae,0.5
13045,NA,Fis-23633,Melanogrammus aeglefinus,NA
13417,stable,NA,Microtus breweri,0
13581,increasing,ITS-Mam-180672,Mirounga angustirostris,0.5
13583,stable,ITS-Mam-180671,Mirounga leonina,0
13653,increasing,ITS-Mam-180659,Monachus monachus,0.5
13654,decreasing,ITS-Mam-180661,Neomonachus schauinslandi,-0.5
13704,unknown,ITS-Mam-180485,Monodon monoceros,NA
14049,decreasing,Fis-24803,Mycteroperca jordani,-0.5
14050,decreasing,Fis-23649,Mycteroperca microlepis,-0.5
14051,unknown,Fis-26901,Mycteroperca olfax,NA
14052,decreasing,Fis-33369,Mycteroperca prionura,-0.5
14053,decreasing,Fis-27393,Mycteroperca rosacea,-0.5
14054,unknown,Fis-23650,Mycteroperca rubra,NA
14128,increasing,NA,Myotis daubentonii,0.5
14214,stable,Fis-24809,Triglopsis quadricornis,0
14264,decreasing,Fis-26058,Myxus capensis,-0.5
14524,unknown,Fis-28308,Neogobius melanostomus,NA
14549,decreasing,ITS-Mam-180623,Neophoca cinerea,-0.5
14584,decreasing,NA,Neotoma bryanti,-0.5
15106,unknown,ITS-Mam-180639,Odobenus rosmarus,NA
15239,unknown,Fis-59241,Oligolepis keiensis,NA
15269,unknown,ITS-Mam-180665,Ommatophoca rossii,NA
15319,NA,Fis-22918,Oncorhynchus ishikawai,NA
15419,decreasing,ITS-Mam-180471,Orcaella brevirostris,-0.5
15631,unknown,Fis-23705,Osmerus eperlanus,NA
15873,unknown,Fis-23707,Pagrus pagrus,NA
15939,NA,Fis-31394,Pandaka pygmaea,NA
16011,NA,Fis-50720,Favonigobius melanobranchus,NA
16012,NA,Fis-17253,Favonigobius reichei,NA
16474,unknown,Fis-31036,Pegasus lancifer,NA
16475,unknown,Fis-31034,Pegasus laternarius,NA
16564,unknown,ITS-Mam-180459,Peponocephala electra,NA
16687,decreasing,NA,Peromyscus pseudocrinitus,-0.5
16781,stable,Fis-30477,Petromyzon marinus,0
17013,unknown,ITS-Mam-180649,Phoca vitulina,NA
17023,unknown,SLB-49732,Phoca largha,NA
17026,decreasing,ITS-Mam-180617,Phocarctos hookeri,-0.5
17027,unknown,ITS-Mam-180473,Phocoena phocoena,NA
17028,decreasing,ITS-Mam-180474,Phocoena sinus,-0.5
17031,decreasing,NA,Phocoena phocoena,-0.5
17032,unknown,ITS-Mam-180480,Phocoenoides dalli,NA
17096,unknown,Fis-48290,Phycodurus eques,NA
17177,unknown,Fis-29097,Phyllopteryx taeniolatus,NA
17710,NA,Fis-16989,Pleuronectes ferrugineus,NA
17978,decreasing,ITS-Mam-180411,Pontoporia blainvillei,-0.5
18175,decreasing,Fis-47467,Pristis pectinata,-0.5
18376,unknown,Fis-28309,Proterorhinus marmoratus,NA
18510,NA,Fis-35299,Pseudochromis pesi,NA
18711,decreasing,NA,Pteronura brasiliensis,-0.5
18878,stable,Fis-24923,Pungitius pungitius,0
19301,NA,W-Msc-141115,Ranella olearia,NA
19388,stable,Fis-28216,Redigobius bikolanus,0
19401,decreasing,NA,Reithrodontomys raviventris,-0.5
19488,decreasing,Fis-30583,Rhincodon typus,-0.5
19855,NA,Fis-29501,Salmo salar,NA
19861,unknown,Fis-21630,Salmo trutta,NA
19877,unknown,Fis-153593,Salvelinus alpinus,NA
19899,unknown,Fis-34961,Sanopus splendidus,NA
19950,decreasing,Fis-30607,Scarus guacamaia,-0.5
20047,decreasing,Fis-22821,Scomberomorus concolor,-0.5
20084,NA,Fis-30636,Sebastes fasciatus,NA
20085,NA,Fis-30643,Sebastes paucispinus,NA
20391,unknown,NA,Sorex pribilofensis,NA
20424,decreasing,ITS-Mam-180419,Sousa chinensis,-0.5
20425,decreasing,ITS-Mam-180420,Sousa teuszii,-0.5
20427,unknown,NA,Spalacopus cyanus,NA
20724,unknown,NA,Stegastes sanctaehelenae,NA
20729,unknown,ITS-Mam-180430,Stenella attenuata,NA
20731,unknown,ITS-Mam-180434,Stenella coeruleoalba,NA
20738,unknown,ITS-Mam-180417,Steno bredanensis,NA
20795,unknown,Fis-30676,Stereolepis gigas,NA
21257,unknown,Fis-30687,Syngnathus abaster,NA
21341,decreasing,Fis-28765,Takifugu niphobles,-0.5
21342,unknown,Fis-55125,Takifugu poecilonotus,NA
21343,decreasing,Fis-28762,Takifugu xanthopterus,-0.5
21856,decreasing,Fis-22832,Thunnus alalunga,-0.5
21857,decreasing,Fis-22833,Thunnus albacares,-0.5
21858,decreasing,Fis-22835,Thunnus maccoyii,-0.5
21859,decreasing,Fis-22836,Thunnus obesus,-0.5
21860,decreasing,Fis-49220,Thunnus thynnus,-0.5
21994,unknown,Fis-27843,Torquigener brevipinnis,NA
22003,decreasing,Fis-26051,Totoaba macdonaldi,-0.5
22102,decreasing,NA,Trichechus inunguis,-0.5
22103,decreasing,ITS-Mam-180684,Trichechus manatus,-0.5
22104,unknown,NA,Trichechus senegalensis,NA
22135,NA,W-Msc-207673,Tridacna crocea,NA
22136,NA,W-Msc-382205,Tridacna derasa,NA
22137,NA,W-Msc-207670,Tridacna gigas,NA
22138,NA,W-Msc-207675,Tridacna maxima,NA
22140,NA,W-Msc-207674,Tridacna squamosa,NA
22563,unknown,ITS-Mam-180426,Tursiops truncatus,NA
22781,increasing,NA,Urocyon littoralis,0.5
22823,unknown,NA,Ursus maritimus,NA
22949,unknown,NA,Vespertilio sinensis,NA
23095,stable,NA,Xantusia riversiana,0
23141,decreasing,NA,Xeromys myoides,-0.5
23148,decreasing,Fis-29576,Xiphias gladius,-0.5
23211,unknown,ITS-Mam-180498,Ziphius cavirostris,NA
23259,stable,Fis-28733,Zosterisessor ophiocephalus,0
29609,NA,Fis-30888,Sebastolobus alascanus,NA
29656,stable,NA,Crocidura suaveolens,0
31382,decreasing,NA,Rhizophora apiculata,-0.5
33705,decreasing,NA,Dolichandrone spathacea,-0.5
39302,NA,Fis-144619,Anthias regalis,NA
39303,decreasing,Fis-24556,Dermatolepis inermis,-0.5
39304,NA,Fis-6933,Serranus dewegeri,NA
39327,stable,Fis-23223,Pristiophorus cirratus,0
39328,decreasing,Fis-29541,Squatina californica,-0.5
39329,decreasing,Fis-23281,Squatina argentina,-0.5
39330,decreasing,Fis-131150,Squatina guggenheim,-0.5
39332,decreasing,Fis-23282,Squatina squatina,-0.5
39334,stable,Fis-23153,Heterodontus portusjacksoni,0
39335,decreasing,Fis-6547,Brachaelurus colcloughi,-0.5
39337,unknown,Fis-25899,Pseudocarcharias kamoharai,NA
39338,unknown,Fis-31577,Megachasma pelagios,NA
39339,decreasing,Fis-23899,Alopias vulpinus,-0.5
39341,decreasing,Fis-58485,Isurus oxyrinchus,-0.5
39342,stable,Fis-29426,Lamna ditropis,0
39345,unknown,Fis-23146,Haploblepharus edwardsii,NA
39346,unknown,Fis-29411,Haploblepharus fuscus,NA
39348,unknown,Fis-23220,Poroderma africanum,NA
39349,unknown,Fis-23252,Scyliorhinus capensis,NA
39350,unknown,Fis-24089,Leptocharias smithii,NA
39351,increasing,Fis-25900,Furgaleus macki,0.5
39352,decreasing,Fis-25233,Galeorhinus galeus,-0.5
39353,unknown,Fis-31588,Hemitriakis leucoperiptera,NA
39354,stable,Fis-25902,Hypogaleus hyugaensis,0
39355,stable,Fis-31602,Mustelus antarcticus,0
39356,increasing,Fis-31592,Mustelus lenticulatus,0.5
39357,unknown,Fis-31597,Mustelus asterias,NA
39358,decreasing,Fis-25412,Mustelus mustelus,-0.5
39359,unknown,Fis-24132,Mustelus canis,NA
39360,unknown,NA,Scylliogaleus quecketti,NA
39361,decreasing,NA,Triakis acutipinna,-0.5
39362,unknown,Fis-25905,Triakis megalopterus,NA
39363,unknown,Fis-30741,Triakis semifasciata,NA
39365,unknown,Fis-23047,Carcharhinus amblyrhynchos,NA
39367,unknown,Fis-23049,Carcharhinus borneensis,NA
39368,unknown,Fis-23051,Carcharhinus brevipinna,NA
39369,unknown,Fis-23057,Carcharhinus hemiodon,NA
39370,decreasing,Fis-23054,Carcharhinus falciformis,-0.5
39371,unknown,NA,Carcharhinus leiodon,NA
39372,unknown,Fis-23059,Carcharhinus leucas,NA
39374,decreasing,Fis-23061,Carcharhinus longimanus,-0.5
39375,decreasing,Fis-23063,Carcharhinus melanopterus,-0.5
39378,unknown,Fis-23129,Galeocerdo cuvier,NA
39379,decreasing,NA,Glyphis glyphis,-0.5
39380,unknown,Fis-23194,Negaprion brevirostris,NA
39381,unknown,Fis-23222,Prionace glauca,NA
39382,unknown,Fis-23244,Rhizoprionodon terraenovae,NA
39383,unknown,Fis-29505,Scoliodon laticaudus,NA
39384,unknown,Fis-23311,Triaenodon obesus,NA
39385,unknown,Fis-23273,Sphyrna lewini,NA
39386,decreasing,Fis-23274,Sphyrna mokarran,-0.5
39387,stable,Fis-23275,Sphyrna tiburo,0
39388,decreasing,Fis-23277,Sphyrna zygaena,-0.5
39389,decreasing,Fis-26906,Anoxypristis cuspidata,-0.5
39390,decreasing,NA,Pristis clavata,-0.5
39393,decreasing,Fis-32599,Pristis zijsron,-0.5
39394,decreasing,Fis-25664,Rhynchobatus djiddensis,-0.5
39396,unknown,Fis-30722,Tetronarce californica,NA
39397,decreasing,Fis-131824,Dipturus batis,-0.5
39399,decreasing,Fis-30563,Raja clavata,-0.5
39400,decreasing,Fis-31406,Raja microocellata,-0.5
39402,unknown,NA,Potamotrygon henlei,NA
39406,decreasing,NA,Fontitrygon garouaensis,-0.5
39407,decreasing,NA,Hemitrygon laosensis,-0.5
39411,unknown,NA,Fluvitrygon signifer,NA
39412,unknown,Fis-25603,Taeniura lymma,NA
39413,decreasing,Fis-6035,Urogymnus asperrimus,-0.5
39414,unknown,NA,Fontitrygon ukpam,NA
39415,decreasing,Fis-23322,Aetobatus narinari,-0.5
39416,unknown,Fis-30330,Myliobatis californicus,NA
39418,decreasing,Fis-26611,Mobula mobular,-0.5
39428,unknown,NA,Orcaella brevirostris,NA
39771,stable,Fis-131835,Dipturus laevis,0
39773,unknown,Fis-26117,Cephalopholis boenak,NA
39774,decreasing,Fis-26129,Cromileptes altivelis,-0.5
40711,stable,NA,Stegastes sanctipauli,0
40797,unknown,Fis-23046,Carcharhinus amblyrhynchoides,NA
40802,decreasing,Fis-130613,Hippocampus barbouri,-0.5
41007,unknown,Fis-130608,Hippocampus algiricus,NA
41008,decreasing,Fis-130620,Hippocampus comes,-0.5
41010,decreasing,Fis-130734,Hippocampus kelloggi,-0.5
41064,decreasing,Fis-140168,Pseudobatos horkelii,-0.5
41303,unknown,NA,Sylvilagus palustris,NA
41485,unknown,NA,Talpa stankovici,NA
41588,stable,NA,Vulpes zerda,0
41590,decreasing,NA,Atilax paludinosus,-0.5
41658,decreasing,NA,Mustela putorius,-0.5
41664,increasing,ITS-Mam-180631,Arctocephalus forsteri,0.5
41665,stable,ITS-Mam-180619,Otaria byronia,0
41666,increasing,ITS-Mam-180621,Zalophus californianus,0.5
41668,decreasing,ITS-Mam-622014,Zalophus wollebaeki,-0.5
41669,unknown,NA,Pusa caspica,NA
41670,unknown,ITS-Mam-622021,Histriophoca fasciata,NA
41671,increasing,ITS-Mam-622022,Pagophilus groenlandicus,0.5
41672,unknown,ITS-Mam-622018,Pusa hispida,NA
41676,stable,NA,Pusa sibirica,0
41711,unknown,ITS-Mam-612591,Eubalaena japonica,NA
41712,unknown,ITS-Mam-180537,Eubalaena glacialis,NA
41718,unknown,Fis-142344,Apristurus albisoma,NA
41719,unknown,Fis-145092,Apristurus exsanguis,NA
41720,stable,Fis-23028,Asymbolus analis,0
41722,unknown,Fis-140641,Asymbolus occiduus,NA
41723,unknown,Fis-140642,Asymbolus pallidus,NA
41724,unknown,Fis-140639,Asymbolus parvus,NA
41725,unknown,Fis-140692,Asymbolus rubiginosus,NA
41726,unknown,Fis-140634,Asymbolus submaculatus,NA
41727,unknown,Fis-23029,Asymbolus vincenti,NA
41728,unknown,Fis-131407,Atelomycterus fasciatus,NA
41729,unknown,Fis-29298,Atelomycterus macleayi,NA
41730,unknown,Fis-24448,Atelomycterus marmoratus,NA
41731,unknown,NA,Aulohalaelurus labiosus,NA
41732,unknown,Fis-25886,Brachaelurus waddi,NA
41734,decreasing,Fis-23053,Carcharhinus dussumieri,-0.5
41735,stable,Fis-23055,Carcharhinus fitzroyensis,0
41736,unknown,Fis-23056,Carcharhinus galapagensis,NA
41737,unknown,Fis-23062,Carcharhinus macloti,NA
41738,unknown,Fis-23068,Carcharhinus sealei,NA
41739,stable,Fis-47835,Carcharhinus tilstoni,0
41740,decreasing,Fis-29319,Centrophorus harrissoni,-0.5
41741,unknown,Fis-23050,Carcharhinus brachyurus,NA
41743,stable,Fis-31073,Callorhinchus milii,0
41747,unknown,Fis-29328,Centroscymnus coelolepis,NA
41749,unknown,Fis-61506,Centroscymnus owstonii,NA
41752,stable,Fis-23081,Cephaloscyllium isabellum,0
41753,stable,Fis-23082,Cephaloscyllium laticeps,0
41754,decreasing,NA,Neophocaena asiaeorientalis,-0.5
41755,unknown,ITS-Mam-180488,Physeter macrocephalus,NA
41758,unknown,NA,Platanista gangetica,NA
41761,decreasing,NA,Pontoporia blainvillei,-0.5
41762,decreasing,NA,Delphinus delphis,-0.5
41791,unknown,Fis-25892,Chiloscyllium indicum,NA
41792,unknown,Fis-30780,Chiloscyllium griseum,NA
41794,unknown,Fis-29338,Chlamydoselachus anguineus,NA
41796,stable,Fis-26085,Bathytoshia brevicaudata,0
41797,decreasing,Fis-35263,Hemitrygon fluviorum,-0.5
41798,unknown,Fis-23103,Deania calcea,NA
41799,stable,Fis-131849,Dipturus innominatus,0
41800,stable,Fis-161073,Zearaja nasutus,0
41802,unknown,Fis-29367,Echinorhinus cookei,NA
41803,unknown,Fis-131447,Etmopterus baxteri,NA
41804,unknown,Fis-146570,Etmopterus caudistigmus,NA
41805,unknown,Fis-146571,Etmopterus dianthus,NA
41806,unknown,Fis-146572,Etmopterus dislineatus,NA
41807,unknown,Fis-146573,Etmopterus evansi,NA
41808,unknown,Fis-146574,Etmopterus fusus,NA
41809,unknown,Fis-146575,Etmopterus pseudosqualiolus,NA
41810,decreasing,Fis-23128,Eusphyra blochii,-0.5
41811,unknown,Fis-6652,Figaro boardmani,NA
41814,unknown,Fis-25898,Gollum attenuatus,NA
41816,decreasing,Fis-31570,Hemigaleus microstoma,-0.5
41818,stable,Fis-25894,Hemiscyllium ocellatum,0
41819,unknown,NA,Hemiscyllium strahani,NA
41820,unknown,Fis-31576,Hemiscyllium trispeculare,NA
41822,unknown,NA,Hemitriakis falcata,NA
41823,unknown,Fis-23149,Heptranchias perlo,NA
41824,unknown,Fis-23151,Heterodontus galeatus,NA
41825,unknown,Fis-23156,Heterodontus zebra,NA
41826,stable,Fis-146557,Hydrolagus bemisi,0
41827,stable,Fis-28784,Hydrolagus novaezealandiae,0
41828,unknown,Fis-139820,Hypnos monopterygius,NA
41829,unknown,Fis-31589,Iago garricki,NA
41830,unknown,Fis-23161,Isistius brasiliensis,NA
41831,unknown,Fis-29436,Loxodon macrorhinus,NA
41832,unknown,Fis-58386,Mobula eregoodootenkee,NA
41833,unknown,Fis-21798,Mobula japanica,NA
41835,decreasing,Fis-25888,Nebrius ferrugineus,-0.5
41836,decreasing,Fis-23193,Negaprion acutidens,-0.5
41837,unknown,Fis-23201,Orectolobus maculatus,NA
41838,unknown,Fis-23202,Orectolobus ornatus,NA
41839,unknown,Fis-29459,Orectolobus wardi,NA
41841,unknown,Fis-31582,Parascyllium collare,NA
41842,unknown,Fis-31583,Parascyllium ferrugineum,NA
41844,unknown,Fis-25895,Parascyllium variolatum,NA
41846,stable,Fis-29485,Pristiophorus nudipinnis,0
41848,decreasing,Fis-32975,Rhina ancylostoma,-0.5
41849,decreasing,Fis-159584,Glaucostegus typus,-0.5
41850,unknown,Fis-23239,Rhizoprionodon acutus,NA
41851,unknown,Fis-29500,Rhizoprionodon oligolinx,NA
41852,unknown,Fis-23243,Rhizoprionodon taylori,NA
41853,decreasing,Fis-47341,Rhynchobatus australiae,-0.5
41854,decreasing,NA,Rhynchobatus laevis,-0.5
41858,unknown,Fis-61691,Squaliolus aliae,NA
41860,unknown,NA,Squalus melanurus,NA
41861,unknown,NA,Squalus rancureli,NA
41862,stable,Fis-29540,Squatina australis,0
41863,stable,Fis-29547,Squatina tergocellata,0
41864,unknown,Fis-23292,Sutorectus tentaculatus,NA
41866,unknown,Fis-32976,Trygonorrhina fasciata,NA
41870,unknown,NA,Aulohalaelurus kanakorum,NA
41871,decreasing,Fis-23076,Centrophorus squamosus,-0.5
41872,decreasing,Fis-31573,Chiloscyllium punctatum,-0.5
41873,unknown,Fis-23126,Eucrossorhinus dasypogon,NA
41874,decreasing,Fis-48194,Hemipristis elongata,-0.5
41875,unknown,NA,Hemiscyllium hallstromi,NA
41876,decreasing,Fis-23198,Odontaspis ferox,-0.5
41878,decreasing,Fis-8339,Stegostoma fasciatum,-0.5
41880,decreasing,W-Msc-405012,Haliotis cracherodii,-0.5
42564,stable,NA,Ictidomys tridecemlineatus,0
42700,unknown,Fis-156530,Apristurus melanoasper,NA
42701,unknown,Fis-161424,Apristurus ampliceps,NA
42704,unknown,Fis-161400,Apristurus australis,NA
42706,unknown,Fis-161440,Cephaloscyllium albipinnum,NA
42707,decreasing,Fis-161443,Cephaloscyllium variegatum,-0.5
42712,decreasing,Fis-161453,Glyphis garricki,-0.5
42713,unknown,Fis-160267,Halaelurus sellus,NA
42716,unknown,Fis-161402,Mustelus stevensi,NA
42717,unknown,Fis-159132,Orectolobus hutchinsi,NA
42720,unknown,Fis-161420,Pristiophorus delicatus,NA
42721,unknown,Fis-159136,Rhinobatos sainsburyi,NA
42727,unknown,Fis-160440,Squalus grahami,NA
42728,unknown,Fis-160862,Squatina pseudocellata,NA
42729,decreasing,Fis-160860,Squatina albipunctata,-0.5
42730,unknown,Fis-160954,Urolophus kapalensis,NA
43974,decreasing,Fis-25493,Epinephelus akaara,-0.5
44166,decreasing,NA,Aonyx cinereus,-0.5
44181,decreasing,NA,Ctenosaura bakeri,-0.5
44183,stable,Fis-30562,Beringraja binoculata,0
44185,unknown,NA,Fluvitrygon oxyrhyncha,NA
44186,unknown,Fis-54720,Aptychotrema vincentiana,NA
44187,decreasing,NA,Orcaella brevirostris,-0.5
44189,decreasing,NA,Ctenosaura melanosterna,-0.5
44191,decreasing,NA,Ctenosaura oedirhina,-0.5
