iucn_sid,year,code,category,sciname
2468,1996,LR/cd,Lower Risk/conservation dependent,Balaena mysticetus
2469,2012,EN,Endangered,Balaena mysticetus
2469,1996,EN,Endangered,Balaena mysticetus
2472,2012,CR,Critically Endangered,Balaena mysticetus
2472,2008,CR,Critically Endangered,Balaena mysticetus
2472,2000,CR,Critically Endangered,Balaena mysticetus
2472,1996,EN,Endangered,Balaena mysticetus
41712,2012,EN,Endangered,Eubalaena glacialis
41712,2008,EN,Endangered,Eubalaena glacialis
22823,2015,VU,Vulnerable,Ursus maritimus
22823,2008,VU,Vulnerable,Ursus maritimus
22823,2006,VU,Vulnerable,Ursus maritimus
22823,1996,LR/cd,Lower Risk/conservation dependent,Ursus maritimus
22823,1994,V,Vulnerable,Ursus maritimus
22823,1990,V,Vulnerable,Ursus maritimus
22823,1988,V,Vulnerable,Ursus maritimus
22823,1986,V,Vulnerable,Ursus maritimus
22823,1982,V,Vulnerable,Ursus maritimus
22823,1965,NA,"""Less rare but believed to be threatened-requires watching""",Ursus maritimus
8097,2008,LC,Least Concern,Eschrichtius robustus
8097,1996,LR/cd,Lower Risk/conservation dependent,Eschrichtius robustus
8099,2008,CR,Critically Endangered,Eschrichtius robustus
8099,2000,CR,Critically Endangered,Eschrichtius robustus
8099,1996,EN,Endangered,Eschrichtius robustus
41711,2008,EN,Endangered,Eubalaena japonica
41711,1996,EN,Endangered,Eubalaena japonica
133706,2008,CR,Critically Endangered,Eubalaena japonica
39365,2009,NT,Near Threatened,Carcharhinus amblyrhynchos
39365,2000,LR/nt,Lower Risk/near threatened,Carcharhinus amblyrhynchos
3897,2015,VU,Vulnerable,Caretta caretta
3897,1996,EN,Endangered,Caretta caretta
3897,1994,V,Vulnerable,Caretta caretta
3897,1990,V,Vulnerable,Caretta caretta
3897,1988,V,Vulnerable,Caretta caretta
3897,1986,V,Vulnerable,Caretta caretta
3897,1982,V,Vulnerable,Caretta caretta
83644804,2015,LC,Least Concern,Caretta caretta
83652278,2015,LC,Least Concern,Caretta caretta
83776383,2015,EN,Endangered,Caretta caretta
84126444,2015,CR,Critically Endangered,Caretta caretta
84127873,2015,CR,Critically Endangered,Caretta caretta
84131194,2015,LC,Least Concern,Caretta caretta
84156809,2015,CR,Critically Endangered,Caretta caretta
84189617,2015,NT,Near Threatened,Caretta caretta
84191235,2015,LC,Least Concern,Caretta caretta
84199475,2015,NT,Near Threatened,Caretta caretta
6494,2013,VU,Vulnerable,Dermochelys coriacea
6494,2000,CR,Critically Endangered,Dermochelys coriacea
6494,1996,EN,Endangered,Dermochelys coriacea
6494,1994,E,Endangered,Dermochelys coriacea
6494,1990,E,Endangered,Dermochelys coriacea
6494,1988,E,Endangered,Dermochelys coriacea
6494,1986,E,Endangered,Dermochelys coriacea
6494,1982,E,Endangered,Dermochelys coriacea
46967807,2013,CR,Critically Endangered,Dermochelys coriacea
46967817,2013,CR,Critically Endangered,Dermochelys coriacea
46967827,2013,LC,Least Concern,Dermochelys coriacea
46967838,2013,CR,Critically Endangered,Dermochelys coriacea
46967848,2013,DD,Data Deficient,Dermochelys coriacea
46967863,2013,CR,Critically Endangered,Dermochelys coriacea
46967873,2013,DD,Data Deficient,Dermochelys coriacea
8005,2008,CR,Critically Endangered,Eretmochelys imbricata
8005,1996,CR,Critically Endangered,Eretmochelys imbricata
8005,1994,E,Endangered,Eretmochelys imbricata
8005,1990,E,Endangered,Eretmochelys imbricata
8005,1988,E,Endangered,Eretmochelys imbricata
8005,1986,E,Endangered,Eretmochelys imbricata
8005,1982,E,Endangered,Eretmochelys imbricata
39338,2015,LC,Least Concern,Megachasma pelagios
39338,2005,DD,Data Deficient,Megachasma pelagios
39338,2000,DD,Data Deficient,Megachasma pelagios
39384,2005,NT,Near Threatened,Triaenodon obesus
39384,2000,LR/nt,Lower Risk/near threatened,Triaenodon obesus
39375,2009,NT,Near Threatened,Carcharhinus melanopterus
39375,2000,LR/nt,Lower Risk/near threatened,Carcharhinus melanopterus
60225,2006,VU,Vulnerable,Isurus paucus
9281,2007,CR,Critically Endangered,Glyphis gangeticus
9281,1996,CR,Critically Endangered,Glyphis gangeticus
12427,2015,VU,Vulnerable,Lutrogale perspicillata
12427,2008,VU,Vulnerable,Lutrogale perspicillata
12427,2004,VU,Vulnerable,Lutrogale perspicillata
12427,2000,VU,Vulnerable,Lutrogale perspicillata
12427,1996,VU,Vulnerable,Lutrogale perspicillata
12427,1994,K,Insufficiently Known,Lutrogale perspicillata
12427,1990,K,Insufficiently Known,Lutrogale perspicillata
12427,1988,K,Insufficiently Known,Lutrogale perspicillata
13653,2015,EN,Endangered,Monachus monachus
13653,2013,CR,Critically Endangered,Monachus monachus
13653,2008,CR,Critically Endangered,Monachus monachus
13653,1996,CR,Critically Endangered,Monachus monachus
13653,1994,E,Endangered,Monachus monachus
13653,1990,E,Endangered,Monachus monachus
13653,1988,E,Endangered,Monachus monachus
13653,1986,E,Endangered,Monachus monachus
13653,1965,NA,"""Very rare and believed to be decreasing in numbers""",Monachus monachus
17978,2012,VU,Vulnerable,Pontoporia blainvillei
17978,2008,VU,Vulnerable,Pontoporia blainvillei
17978,1996,DD,Data Deficient,Pontoporia blainvillei
17978,1994,K,Insufficiently Known,Pontoporia blainvillei
17978,1990,K,Insufficiently Known,Pontoporia blainvillei
17978,1988,K,Insufficiently Known,Pontoporia blainvillei
41761,2012,VU,Vulnerable,Pontoporia blainvillei
41761,2003,VU,Vulnerable,Pontoporia blainvillei
60217,2006,NT,Near Threatened,Carcharhinus perezi
11533,1996,CR,Critically Endangered,Lepidochelys kempii
11533,1994,E,Endangered,Lepidochelys kempii
11533,1990,E,Endangered,Lepidochelys kempii
11533,1988,E,Endangered,Lepidochelys kempii
11533,1986,E,Endangered,Lepidochelys kempii
11533,1982,E,Endangered,Lepidochelys kempii
4162,2013,EN,Endangered,Cephalorhynchus hectori
4162,2008,EN,Endangered,Cephalorhynchus hectori
4162,2000,EN,Endangered,Cephalorhynchus hectori
4162,1996,VU,Vulnerable,Cephalorhynchus hectori
4162,1994,I,Indeterminate,Cephalorhynchus hectori
4162,1990,V,Vulnerable,Cephalorhynchus hectori
4162,1988,K,Insufficiently Known,Cephalorhynchus hectori
39427,2013,CR,Critically Endangered,Cephalorhynchus hectori ssp. maui
39427,2000,CR,Critically Endangered,Cephalorhynchus hectori ssp. maui
183775,2010,LC,Least Concern,Engraulis ringens
17028,2008,CR,Critically Endangered,Phocoena sinus
17028,2007,CR,Critically Endangered,Phocoena sinus
17028,1996,CR,Critically Endangered,Phocoena sinus
17028,1994,E,Endangered,Phocoena sinus
17028,1990,E,Endangered,Phocoena sinus
17028,1988,V,Vulnerable,Phocoena sinus
17028,1986,V,Vulnerable,Phocoena sinus
20738,2012,LC,Least Concern,Steno bredanensis
20738,2008,LC,Least Concern,Steno bredanensis
20738,1996,DD,Data Deficient,Steno bredanensis
20738,1994,K,Insufficiently Known,Steno bredanensis
22563,2012,LC,Least Concern,Tursiops truncatus
22563,2008,LC,Least Concern,Tursiops truncatus
22563,1996,DD,Data Deficient,Tursiops truncatus
22563,1994,K,Insufficiently Known,Tursiops truncatus
194300,2011,CR,Critically Endangered,Tursiops truncatus
16369383,2012,VU,Vulnerable,Tursiops truncatus
2480,2008,DD,Data Deficient,Balaenoptera bonaerensis
2480,1996,LR/cd,Lower Risk/conservation dependent,Balaenoptera bonaerensis
2476,2008,DD,Data Deficient,Balaenoptera edeni
2476,1996,DD,Data Deficient,Balaenoptera edeni
2476,1994,K,Insufficiently Known,Balaenoptera edeni
2762,2008,DD,Data Deficient,Berardius arnuxii
2762,1996,LR/cd,Lower Risk/conservation dependent,Berardius arnuxii
2762,1994,K,Insufficiently Known,Berardius arnuxii
3778,2008,DD,Data Deficient,Caperea marginata
3778,1996,LR/lc,Lower Risk/least concern,Caperea marginata
3778,1994,K,Insufficiently Known,Caperea marginata
6336,2008,LC,Least Concern,Delphinus delphis
6336,1996,LR/lc,Lower Risk/least concern,Delphinus delphis
6336,1994,K,Insufficiently Known,Delphinus delphis
41762,2003,EN,Endangered,Delphinus delphis
8153,2013,LC,Least Concern,Eubalaena australis
8153,2008,LC,Least Concern,Eubalaena australis
8153,1996,LR/cd,Lower Risk/conservation dependent,Eubalaena australis
8153,1994,V,Vulnerable,Eubalaena australis
8153,1990,V,Vulnerable,Eubalaena australis
8153,1988,V,Vulnerable,Eubalaena australis
8153,1965,NA,"""Very rare but believed to be stable or increasing""",Eubalaena australis
133704,2013,CR,Critically Endangered,Eubalaena australis
133704,2008,CR,Critically Endangered,Eubalaena australis
8551,2008,DD,Data Deficient,Feresa attenuata
8551,1996,DD,Data Deficient,Feresa attenuata
8551,1994,K,Insufficiently Known,Feresa attenuata
9249,2011,DD,Data Deficient,Globicephala macrorhynchus
9249,2008,DD,Data Deficient,Globicephala macrorhynchus
9249,1996,LR/cd,Lower Risk/conservation dependent,Globicephala macrorhynchus
9249,1994,K,Insufficiently Known,Globicephala macrorhynchus
9250,2008,DD,Data Deficient,Globicephala melas
9250,1996,LR/lc,Lower Risk/least concern,Globicephala melas
9250,1994,K,Insufficiently Known,Globicephala melas
16376479,2012,DD,Data Deficient,Globicephala melas
9461,2012,LC,Least Concern,Grampus griseus
9461,2008,LC,Least Concern,Grampus griseus
9461,1996,DD,Data Deficient,Grampus griseus
9461,1994,K,Insufficiently Known,Grampus griseus
16378423,2012,DD,Data Deficient,Grampus griseus
10708,2008,LC,Least Concern,Hyperoodon planifrons
10708,1996,LR/cd,Lower Risk/conservation dependent,Hyperoodon planifrons
10708,1994,K,Insufficiently Known,Hyperoodon planifrons
40635,2008,DD,Data Deficient,Indopacetus pacificus
40635,1996,DD,Data Deficient,Indopacetus pacificus
40635,1994,K,Insufficiently Known,Indopacetus pacificus
11047,2012,DD,Data Deficient,Kogia breviceps
11047,2008,DD,Data Deficient,Kogia breviceps
11047,1996,LR/lc,Lower Risk/least concern,Kogia breviceps
11047,1994,K,Insufficiently Known,Kogia breviceps
11048,2012,DD,Data Deficient,Kogia sima
11048,2008,DD,Data Deficient,Kogia sima
11048,1996,LR/lc,Lower Risk/least concern,Kogia sima
11048,1994,K,Insufficiently Known,Kogia sima
11140,2012,LC,Least Concern,Lagenodelphis hosei
11140,2008,LC,Least Concern,Lagenodelphis hosei
11140,1996,DD,Data Deficient,Lagenodelphis hosei
11140,1994,K,Insufficiently Known,Lagenodelphis hosei
11144,2008,LC,Least Concern,Lagenorhynchus cruciger
11144,1996,LR/lc,Lower Risk/least concern,Lagenorhynchus cruciger
11144,1994,K,Insufficiently Known,Lagenorhynchus cruciger
11146,2008,DD,Data Deficient,Lagenorhynchus obscurus
11146,1996,DD,Data Deficient,Lagenorhynchus obscurus
11146,1994,K,Insufficiently Known,Lagenorhynchus obscurus
12126,2012,DD,Data Deficient,Lissodelphis peronii
12126,2008,DD,Data Deficient,Lissodelphis peronii
12126,1996,DD,Data Deficient,Lissodelphis peronii
12126,1994,K,Insufficiently Known,Lissodelphis peronii
13242,2008,DD,Data Deficient,Mesoplodon bowdoini
13242,1996,DD,Data Deficient,Mesoplodon bowdoini
13242,1994,K,Insufficiently Known,Mesoplodon bowdoini
13244,2008,DD,Data Deficient,Mesoplodon densirostris
13244,1996,DD,Data Deficient,Mesoplodon densirostris
13244,1994,K,Insufficiently Known,Mesoplodon densirostris
13246,2008,DD,Data Deficient,Mesoplodon ginkgodens
13246,1996,DD,Data Deficient,Mesoplodon ginkgodens
13246,1994,K,Insufficiently Known,Mesoplodon ginkgodens
13247,2008,DD,Data Deficient,Mesoplodon grayi
13247,1996,DD,Data Deficient,Mesoplodon grayi
13247,1994,K,Insufficiently Known,Mesoplodon grayi
13248,2008,DD,Data Deficient,Mesoplodon hectori
13248,1996,DD,Data Deficient,Mesoplodon hectori
13248,1994,K,Insufficiently Known,Mesoplodon hectori
13249,2008,DD,Data Deficient,Mesoplodon layardii
13249,1996,DD,Data Deficient,Mesoplodon layardii
13249,1994,K,Insufficiently Known,Mesoplodon layardii
13250,2008,DD,Data Deficient,Mesoplodon mirus
13250,1996,DD,Data Deficient,Mesoplodon mirus
13250,1994,K,Insufficiently Known,Mesoplodon mirus
14363,1996,DD,Data Deficient,Natator depressus
14363,1996,VU,Vulnerable,Natator depressus
14363,1994,V,Vulnerable,Natator depressus
136315,2008,NT,Near Threatened,Orcaella heinsohni
15421,2013,DD,Data Deficient,Orcinus orca
15421,2008,DD,Data Deficient,Orcinus orca
15421,1996,LR/cd,Lower Risk/conservation dependent,Orcinus orca
15421,1994,K,Insufficiently Known,Orcinus orca
16564,2008,LC,Least Concern,Peponocephala electra
16564,1996,LR/lc,Lower Risk/least concern,Peponocephala electra
16564,1994,K,Insufficiently Known,Peponocephala electra
41715,2008,DD,Data Deficient,Phocoena dioptrica
41715,1996,DD,Data Deficient,Phocoena dioptrica
41715,1994,K,Insufficiently Known,Phocoena dioptrica
41755,2008,VU,Vulnerable,Physeter macrocephalus
41755,1996,VU,Vulnerable,Physeter macrocephalus
41755,1994,K,Insufficiently Known,Physeter macrocephalus
16370739,2012,EN,Endangered,Physeter macrocephalus
18596,2008,DD,Data Deficient,Pseudorca crassidens
18596,1996,LR/lc,Lower Risk/least concern,Pseudorca crassidens
18596,1994,K,Insufficiently Known,Pseudorca crassidens
20424,2008,NT,Near Threatened,Sousa chinensis
20424,1996,DD,Data Deficient,Sousa chinensis
20424,1994,K,Insufficiently Known,Sousa chinensis
133710,2008,CR,Critically Endangered,Sousa chinensis
20729,2012,LC,Least Concern,Stenella attenuata
20729,2008,LC,Least Concern,Stenella attenuata
20729,1996,LR/cd,Lower Risk/conservation dependent,Stenella attenuata
20729,1994,K,Insufficiently Known,Stenella attenuata
20731,2008,LC,Least Concern,Stenella coeruleoalba
20731,1996,LR/cd,Lower Risk/conservation dependent,Stenella coeruleoalba
20731,1994,K,Insufficiently Known,Stenella coeruleoalba
16674437,2012,VU,Vulnerable,Stenella coeruleoalba
20733,2012,DD,Data Deficient,Stenella longirostris
20733,2008,DD,Data Deficient,Stenella longirostris
20733,1996,LR/cd,Lower Risk/conservation dependent,Stenella longirostris
21500,2008,DD,Data Deficient,Tasmacetus shepherdi
21500,1996,DD,Data Deficient,Tasmacetus shepherdi
21500,1994,K,Insufficiently Known,Tasmacetus shepherdi
41714,2012,DD,Data Deficient,Tursiops aduncus
41714,2008,DD,Data Deficient,Tursiops aduncus
41714,1996,DD,Data Deficient,Tursiops aduncus
22563,2012,LC,Least Concern,Tursiops truncatus
22563,2008,LC,Least Concern,Tursiops truncatus
22563,1996,DD,Data Deficient,Tursiops truncatus
22563,1994,K,Insufficiently Known,Tursiops truncatus
194300,2011,CR,Critically Endangered,Tursiops truncatus
16369383,2012,VU,Vulnerable,Tursiops truncatus
23211,2008,LC,Least Concern,Ziphius cavirostris
23211,1996,DD,Data Deficient,Ziphius cavirostris
23211,1994,K,Insufficiently Known,Ziphius cavirostris
16381144,2012,DD,Data Deficient,Ziphius cavirostris
8784,1996,VU,Vulnerable,Gadus morhua
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
8784,1996,VU,Vulnerable,Gadus morhua
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
8784,1996,VU,Vulnerable,Gadus morhua
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
8784,1996,VU,Vulnerable,Gadus morhua
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
8784,1996,VU,Vulnerable,Gadus morhua
