Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,
Gabon,GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,36,36,36,36,36,36,35,35,34,33,33,33,33,33,33,,
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,60,61,61,61,62,62,63,63,64,65,65,66,67,67,68,68,68,,
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,96,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,95,95,95,,
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,8,9,9,9,9,10,10,10,11,12,12,12,12,12,13,14,14,,
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,,
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,
Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,63,64,65,66,67,67,69,70,70,71,72,73,74,75,75,76,78,78,78,78,,
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,11,11,11,12,13,13,13,14,14,15,15,16,16,16,17,17,18,18,18,,
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,14,14,15,16,16,17,18,18,19,19,20,,
Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,78,78,78,78,79,79,80,80,81,81,81,82,82,83,83,84,,
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,27,27,26,25,24,23,23,22,22,21,21,20,19,19,18,18,17,17,17,,
Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,51,53,54,56,57,59,60,62,63,64,66,68,68,70,72,73,74,76,77,77,,
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
India,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,19,20,20,21,22,23,24,25,25,26,27,28,29,30,31,31,32,33,34,,
Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,33,34,36,37,38,40,41,42,44,44,45,46,47,49,50,50,51,52,54,54,,
"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,79,79,79,81,82,84,85,86,88,90,91,92,94,96,97,98,99,100,100,100,,
Iraq,IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67,67,67,67,67,68,68,68,69,69,70,70,71,71,72,72,73,73,73,,
Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,,
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98,98,,
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,96,96,96,96,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97,,
Kenya,KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,26,26,27,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,,
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,27,27,27,28,28,30,30,31,32,33,33,34,34,34,34,34,,,,,,
"Korea, Dem. Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,53,53,53,55,57,59,61,63,65,67,68,70,72,74,76,78,80,,
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Kosovo,KSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,,
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,17,18,18,22,26,30,33,37,41,45,48,52,56,60,63,,
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,79,78,78,78,78,78,78,78,78,78,78,78,,,
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,,,,,,,
Lesotho,LSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,24,24,25,25,25,25,26,26,26,26,26,26,26,26,,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,10,11,11,11,12,12,12,13,14,15,15,16,16,17,18,,
Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,86,86,86,86,86,86,86,86,86,86,86,86,,,
Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,88,88,88,88,88,88,88,88,88,88,,
Madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,10,10,10,11,11,11,11,11,12,12,12,13,13,14,14,14,14,15,15,,
Malawi,MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,40,41,42,42,43,44,44,45,46,46,46,47,47,48,49,49,50,51,51,,
Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,85,86,87,88,88,89,90,91,91,92,93,94,94,95,96,96,96,96,96,96,,
Maldives,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,68,68,68,68,70,72,74,76,78,79,82,83,86,87,89,91,93,94,96,97,,
Mali,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,16,16,17,17,17,17,18,18,18,18,19,19,20,20,20,21,21,21,22,,
Malta,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,65,66,66,67,67,68,68,69,69,70,71,71,72,72,73,73,74,74,74,75,,
Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,17,18,19,19,20,20,21,21,22,23,23,24,24,25,26,26,26,,
Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,65,66,67,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,29,28,29,28,28,27,27,26,26,25,25,25,25,25,25,,,,,,
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76,76,76,76,77,78,78,79,79,80,81,81,82,82,83,84,85,85,,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,49,49,49,49,49,50,50,50,50,50,50,51,51,,
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,,
Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,55,55,57,58,59,60,61,62,63,64,64,66,67,68,68,69,69,70,70,70,,
Mozambique,MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,12,12,12,13,13,14,14,14,14,15,15,16,16,17,17,17,17,18,,
Myanmar,MMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,55,55,55,55,56,57,59,61,62,63,65,67,68,70,71,72,74,76,76,,
Namibia,NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,25,25,26,26,27,27,27,28,28,29,29,29,30,30,31,31,31,32,32,,
Nepal,NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,31,,
Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,44,45,45,46,46,47,47,47,48,49,49,50,50,50,51,51,52,52,52,,
Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,6,7,7,7,7,7,8,8,9,9,9,9,9,9,,
Nigeria,NGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,36,36,36,36,35,35,35,34,34,34,34,33,33,32,32,32,32,31,31,,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,85,86,87,88,89,89,90,91,92,92,93,94,94,94,94,94,,,,,,
Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,83,84,84,85,86,87,87,88,89,90,91,92,92,94,95,96,96,98,99,99,,
Pakistan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,28,29,30,31,32,33,34,36,36,37,39,39,40,42,43,43,45,45,46,48,,
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65,66,66,68,71,73,76,79,82,84,87,90,93,95,98,99,100,100,100,100,,
Panama,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,59,60,60,61,62,62,63,64,64,65,66,66,67,67,68,68,68,69,69,,,
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,46,45,45,45,45,,
Paraguay,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,42,44,46,48,50,52,54,56,58,60,62,64,65,68,70,70,70,70,71,,
Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,55,56,57,58,59,59,61,61,62,63,64,64,66,66,67,68,68,69,70,71,,
Philippines,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,58,60,60,61,62,63,64,65,65,66,67,68,69,70,70,72,72,73,74,,
Poland,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,,,,
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,92,93,94,95,95,96,97,97,98,98,99,100,100,100,100,100,100,100,100,100,,
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Romania,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,73,73,73,73,,,,
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,73,73,73,73,73,73,73,72,72,72,72,71,71,71,71,71,71,71,71,70,,
Rwanda,RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,37,38,39,40,41,42,43,45,46,47,48,49,50,50,51,53,53,54,55,55,,
Samoa,WSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,,
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,21,21,21,21,22,23,23,24,24,24,25,26,26,26,,
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,39,39,40,41,41,42,43,43,44,45,46,46,47,48,49,49,50,50,51,52,,
Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,92,92,92,92,92,92,92,92,92,92,,
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,,
Singapore,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,100,100,100,100,100,99,99,99,100,100,100,100,101,100,,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
