code,iso,country,country,ACSAT.2012,WASTECXN.2012,WASTE.2014
132,CPV,Cape Verde,Cape Verde,18.7,19.4,100
136,CYM,Cayman Islands,Cayman Islands,65.11,NA,NA
140,CAF,Central African Republic,Central African Republic,5.76,0,0
148,TCD,Chad,Chad,0,0,0
152,CHL,Chile,Chile,81.52,68.85,74.02333333
156,CHN,China,China,19.78,18.18,38.8222653
170,COL,Colombia,Colombia,29.91,4.6,5
174,COM,Comoros,Comoros,6.3,3.96,NA
178,COG,Congo,Congo,0.97,0.18,2
184,COK,Cook Islands,Cook Islands,58.41,NA,NA
188,CRI,Costa Rica,Costa Rica,55.5,0.9,3.75
384,CIV,Cote d'Ivoire,Cote d'Ivoire,2.69,0.6,5
191,HRV,Croatia,Croatia,76.96,13.23,28.07301587
192,CUB,Cuba,Cuba,50.99,9.19,23.5
196,CYP,Cyprus,Cyprus,100,9.44,32.71428571
203,CZE,Czech Republic,Czech Republic,99.87,75.68,94.48485
180,COD,Dem. Rep. Congo,Dem. Rep. Congo,4.76,0,0
208,DNK,Denmark,Denmark,100,93.45,100
262,DJI,Djibouti,Djibouti,17.56,0,0
212,DMA,Dominica,Dominica,33.04,2.99,13
214,DOM,Dominican Republic,Dominican Republic,34.44,5.9,26.83739837
218,ECU,Ecuador,Ecuador,53.28,6.4,10
818,EGY,Egypt,Egypt,59.69,49.5,61.8726737
222,SLV,El Salvador,El Salvador,23.07,0.62,1
226,GNQ,Equatorial Guinea,Equatorial Guinea,44.18,1.25,5
232,ERI,Eritrea,Eritrea,0,0,0
233,EST,Estonia,Estonia,74.74,75.27,99.63636364
231,ETH,Ethiopia,Ethiopia,1.78,0,0
234,FRO,Faeroe Islands,Faeroe Islands, ,NA,NA
238,FLK,Falkland Islands,Falkland Islands, ,NA,NA
242,FJI,Fiji,Fiji,41.08,3.9,10
246,FIN,Finland,Finland,100,84.25,100
250,FRA,France,France,100,83.8,97.82
254,GUF,French Guiana,French Guiana,47.12,17.25,35.9
258,PYF,French Polynesia,French Polynesia,69.65,NA,NA
266,GAB,Gabon,Gabon,5.46,0,0
270,GMB,Gambia,Gambia,21.47,0.4,5
268,GEO,Georgia,Georgia,54.67,0,0
276,DEU,Germany,Germany,100,95.18,98.735
288,GHA,Ghana,Ghana,0,10.25,37.95698925
292,GIB,Gibraltar,Gibraltar, ,NA,NA
300,GRC,Greece,Greece,80.71,87.33,100
304,GRL,Greenland,Greenland,100,NA,NA
308,GRD,Grenada,Grenada,49.81,11.37,NA
312,GLP,Guadeloupe,Guadeloupe,68.43,15.76,39.5
316,GUM,Guam,Guam,71.27,NA,NA
320,GTM,Guatemala,Guatemala,32.06,5.37,9
324,GIN,Guinea,Guinea,1.16,0.75,8.666666667
624,GNB,Guinea-Bissau,Guinea-Bissau,1.32,0,0
328,GUY,Guyana,Guyana,36.37,0,0
332,HTI,Haiti,Haiti,3.33,0,0
336,VAT,Holy See,Holy See, ,NA,NA
340,HND,Honduras,Honduras,32.46,15.54,26
344,HKG,Hong Kong,Hong Kong, ,87.79,93.44
348,HUN,Hungary,Hungary,99.99,58.62,96.625
352,ISL,Iceland,Iceland,100,51.94,57.71428571
356,IND,India,India,6.2,10.49,31.78061602
360,IDN,Indonesia,Indonesia,16.12,0.02,1
364,IRN,Iran,Iran,92.23,2.77,9.247251198
368,IRQ,Iraq,Iraq,36.4,8.29,28.17557105
372,IRL,Ireland,Ireland,84.22,87.47,90.87333333
833,IMN,Isle of Man,Isle of Man, ,NA,NA
376,ISR,Israel,Israel,100,88.4,95.59166667
380,ITA,Italy,Italy,27.03,91.44,99.38869078
388,JAM,Jamaica,Jamaica,32.02,10,40
392,JPN,Japan,Japan,100,71.26,100
400,JOR,Jordan,Jordan,75.94,42.3,52.32485876
398,KAZ,Kazakhstan,Kazakhstan,70.62,30.5,50
404,KEN,Kenya,Kenya,4.33,0.52,6.390909091
296,KIR,Kiribati,Kiribati,7.65,27.06,NA
414,KWT,Kuwait,Kuwait,100,43,43
417,KGZ,Kyrgyzstan,Kyrgyzstan,54.32,4.2,10
418,LAO,Laos,Laos,17.67,0,0
428,LVA,Latvia,Latvia,30.33,49.62,66.16666667
422,LBN,Lebanon,Lebanon,77.38,15.08,26.36986301
426,LSO,Lesotho,Lesotho,3.39,0.3,5
430,LBR,Liberia,Liberia,1.08,0,0
434,LBY,Libya,Libya,66.59,18.08,23.95209581
438,LIE,Liechtenstein,Liechtenstein, ,NA,NA
440,LTU,Lithuania,Lithuania,40.39,45.82,66.28571429
442,LUX,Luxembourg,Luxembourg,100,95,100
446,MAC,Macao,Macao, ,NA,NA
807,MKD,Macedonia,Macedonia,49.19,3.74,6.277777778
450,MDG,Madagascar,Madagascar,0,0.53,10.625
454,MWI,Malawi,Malawi,13.24,0,0
458,MYS,Malaysia,Malaysia,62.49,8.64,16
462,MDV,Maldives,Maldives,75.23,4.65,5
466,MLI,Mali,Mali,2.03,0,0
470,MLT,Malta,Malta,100,37.01,37.7
584,MHL,Marshall Islands,Marshall Islands,27.64,0,0
474,MTQ,Martinique,Martinique,50.02,21.44,46.25
478,MRT,Mauritania,Mauritania,3.48,0,0
480,MUS,Mauritius,Mauritius,47.63,5.44,22.25
175,MYT,Mayotte,Mayotte, ,NA,NA
484,MEX,Mexico,Mexico,37.49,37.45,51.53325509
583,FSM,Micronesia,Micronesia,14.34,NA,NA
498,MDA,Moldova,Moldova,39.43,34.15,57.4
492,MCO,Monaco,Monaco,100,100,100
496,MNG,Mongolia,Mongolia,13.3,19.8,60
499,MNE,Montenegro,Montenegro,46.34,5.1,10
500,MSR,Montserrat,Montserrat,35.13,NA,NA
504,MAR,Morocco,Morocco,22.92,39.39,46.5
508,MOZ,Mozambique,Mozambique,1.32,2.5,50
104,MMR,Myanmar,Myanmar,29.11,0,0
516,NAM,Namibia,Namibia,5.28,13,52
520,NRU,Nauru,Nauru,20.12,NA,NA
524,NPL,Nepal,Nepal,6.31,0,0
528,NLD,Netherlands,Netherlands,100,98.82,100
530,ANT,Netherlands Antilles,Netherlands Antilles, ,NA,NA
540,NCL,New Caledonia,New Caledonia,100,NA,NA
554,NZL,New Zealand,New Zealand,42.55,77.9,82
558,NIC,Nicaragua,Nicaragua,12.86,8.4,21
562,NER,Niger,Niger,0,0,0
566,NGA,Nigeria,Nigeria,4.72,1.08,11
570,NIU,Niue,Niue,100,NA,NA
574,NFK,Norfolk Island,Norfolk Island, ,NA,NA
408,PRK,North Korea,North Korea,33.85,0,0
580,MNP,Northern Mariana Islands,Northern Mariana Islands,74.85,NA,82
578,NOR,Norway,Norway,100,77.05,94.86731656
512,OMN,Oman,Oman,66.98,13.4,20
586,PAK,Pakistan,Pakistan,10.85,3.52,6.514348912
585,PLW,Palau,Palau,100,40,100
591,PAN,Panama,Panama,24,20.15,39.125
598,PNG,Papua New Guinea,Papua New Guinea,1.22,0,0
600,PRY,Paraguay,Paraguay,23.69,0.16,1
604,PER,Peru,Peru,24.24,20.98,28
608,PHL,Philippines,Philippines,26.31,0.53,8.5
612,PCN,Pitcairn,Pitcairn, ,NA,NA
616,POL,Poland,Poland,44.95,60.73,100
620,PRT,Portugal,Portugal,100,70.33,90.33285714
630,PRI,Puerto Rico,Puerto Rico,87.86,57,100
634,QAT,Qatar,Qatar,100,67.32,87.51281759
638,REU,Reunion,Reunion,77.09,12.43,34.05
642,ROU,Romania,Romania,24.66,13.05,28
643,RUS,Russia,Russia,23.4,21.5,25
646,RWA,Rwanda,Rwanda,17.54,0,0
654,SHN,Saint Helena,Saint Helena, ,NA,NA
659,KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,41.33,NA,NA
662,LCA,Saint Lucia,Saint Lucia,19.88,NA,NA
666,SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon, ,NA,NA
670,VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,28.03,NA,NA
882,WSM,Samoa,Samoa,49.84,NA,NA
674,SMR,San Marino,San Marino, ,NA,NA
678,STP,Sao Tome and Principe,Sao Tome and Principe,5.92,NA,NA
682,SAU,Saudi Arabia,Saudi Arabia,100,28.54,55.96933187
686,SEN,Senegal,Senegal,12.55,2.06,12.5
688,SRB,Serbia,Serbia,70.24,8.79,15.75
690,SYC,Seychelles,Seychelles,69.52,3.96,NA
694,SLE,Sierra Leone,Sierra Leone,0,0,0
702,SGP,Singapore,Singapore,100,99.65,99.65
703,SVK,Slovakia,Slovakia,94.86,57.64,97.68666667
705,SVN,Slovenia,Slovenia,100,53.99,84.84440833
90,SLB,Solomon Islands,Solomon Islands,4.08,0,0
706,SOM,Somalia,Somalia,2.58,3.96,NA
710,ZAF,South Africa,South Africa,26.15,27.86,48.875
410,KOR,South Korea,South Korea,100,83.68,100
724,ESP,Spain,Spain,99.76,92.83,93.2
144,LKA,Sri Lanka,Sri Lanka,48.72,0,0
275,PSE,State of Palestine,State of Palestine,57.36,NA,NA
736,SDN,Sudan,Sudan,2.57,0,0
740,SUR,Suriname,Suriname,35.23,0.01,1
744,SJM,Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen Islands, ,NA,NA
748,SWZ,Swaziland,Swaziland,15.23,55.5,75
752,SWE,Sweden,Sweden,100,87.86,100
756,CHE,Switzerland,Switzerland,100,96.95,100
760,SYR,Syria,Syria,60.45,82.17,85.59463987
999,TWN,Taiwan,Taiwan,100,4.59,17
762,TJK,Tajikistan,Tajikistan,58.79,2.25,5
834,TZA,Tanzania,Tanzania,0,0.42,5
764,THA,Thailand,Thailand,54.7,16,100
626,TLS,Timor-Leste,Timor-Leste,7.46,0.3,5
768,TGO,Togo,Togo,0,0,0
772,TKL,Tokelau,Tokelau,53.27,NA,NA
776,TON,Tonga,Tonga,49.6,27.06,NA
780,TTO,Trinidad and Tobago,Trinidad and Tobago,51.06,5.25,22.91428571
788,TUN,Tunisia,Tunisia,45.86,27.77,51.08166667
792,TUR,Turkey,Turkey,48.42,48.93,69.24272727
795,TKM,Turkmenistan,Turkmenistan,85.14,9.8,20
796,TCA,Turks and Caicos Islands,Turks and Caicos Islands,33.36,NA,NA
798,TUV,Tuvalu,Tuvalu,35.6,NA,NA
800,UGA,Uganda,Uganda,6.17,0.56,7
804,UKR,Ukraine,Ukraine,57.32,14.7,21
784,ARE,United Arab Emirates,United Arab Emirates,72.13,67.06,78.3
826,GBR,United Kingdom,United Kingdom,100,97.93,99.57
840,USA,United States of America,United States of America,92.27,63.66,74.9
850,VIR,United States Virgin Islands,United States Virgin Islands,65.82,NA,NA
858,URY,Uruguay,Uruguay,83.18,6.67,15
860,UZB,Uzbekistan,Uzbekistan,100,0,0
548,VUT,Vanuatu,Vanuatu,15.67,27.06,NA
862,VEN,Venezuela,Venezuela,48.15,14.94,21.2
704,VNM,Viet Nam,Viet Nam,26.83,0.14,5
876,WLF,Wallis and Futuna Islands,Wallis and Futuna Islands, ,NA,NA
732,ESH,Western Sahara,Western Sahara, ,NA,NA
887,YEM,Yemen,Yemen,13.3,0.49,1.65
894,ZMB,Zambia,Zambia,8.71,4.2,15
716,ZWE,Zimbabwe,Zimbabwe,8.02,14.03,26.98453608
