Taxonkey,TaxonName,Common name
400012,Sphyrnidae,Hammerhead  and bonnethead  and scoophead shark
400013,Squalidae,Dogfish sharks
400015,Squatinidae,Angel sharks
400016,Pristidae,Sawfishes
400017,Rhinobatidae,Guitarfishes
400019,Rajidae,Skates
400020,Dasyatidae,Stingrays
400022,Myliobatidae,Eagle and manta rays
400043,Clupeidae,Herrings and shads and sardines and menhadens
400056,Muraenidae,Moray eels
400062,Congridae,Conger and garden eels
400066,Ophichthidae,Snake eels
400076,Salmonidae,Salmonids
400080,Osmeridae,Smelts
400084,Bathylagidae,Deep-sea smelts
400145,Ariidae,Sea catfishes
400160,Synodontidae,Lizardfishes
400163,Chlorophthalmidae,Greeneyes
400167,Myctophidae,Lanternfishes
400180,Moridae,Codlings
400183,Gadidae,Cods and haddocks
400185,Macrouridae,Grenadiers or rattails
400186,Ophidiidae,Cusk-eels
400189,Batrachoididae,Toadfishes
400190,Lophiidae,Goosefishes
400206,Exocoetidae,Flyingfishes
400207,Belonidae,Needlefishes
400208,Scomberesocidae,Sauries
400218,Atherinidae,Silversides
400236,Trachichthyidae,Slimeheads
400240,Berycidae,Alfonsinos
400243,Holocentridae,Squirrelfishes and soldierfishes
400249,Zeidae,Dories
400250,Oreosomatidae,Oreos
400252,Caproidae,Boarfishes
400264,Scorpaenidae,Scorpionfishes or rockfishes
400266,Triglidae,Searobins
400273,Platycephalidae,Flatheads
400277,Cottidae,Sculpins
400287,Centropomidae,Snooks
400289,Serranidae,Sea basses or groupers and fairy basslets
400303,Priacanthidae,Bigeyes or catalufas
400304,Apogonidae,Cardinalfishes
400307,Sillaginidae,Smelt-whitings
400308,Malacanthidae,Tilefishes
400313,Echeneidae,Remoras
400314,Carangidae,Jacks and pompanos
400318,Leiognathidae,Slimys  slipmouths  or ponyfishes
400319,Bramidae,Pomfrets
400323,Lutjanidae,Snappers
400324,Nemipteridae,Threadfin breams and Whiptail breams
400326,Gerreidae,Mojarras
400327,Haemulidae,Grunts
400328,Lethrinidae,Emperors or scavengers
400330,Sparidae,Porgies
400331,Sciaenidae,Drums or croakers
400332,Mullidae,Goatfishes
400334,Pempheridae,Sweepers
400340,Ephippidae,Spadefishes and batfishes and scats
400343,Chaetodontidae,Butterflyfishes
400350,Pomacentridae,Damselfishes
400356,Latridae,Trumpeters
400359,Mugilidae,Mullets
400361,Polynemidae,Threadfins
400362,Labridae,Wrasses
400364,Scaridae,Parrotfishes
400377,Trachinidae,Weeverfishes
400382,Nototheniidae,Cod icefishes
400383,Bathydraconidae,Antarctic dragonfishes
400384,Channichthyidae,Crocodile icefishes
400402,Ammodytidae,Sand lances
400405,Gobiidae,Gobies
400412,Acanthuridae,Surgeonfishes and tangs and unicornfishes
400413,Siganidae,Rabbitfishes
400414,Gempylidae,Snake mackerels
400415,Trichiuridae,Cutlassfishes
400416,Scombridae,Mackerels  tunas and bonitos
400419,Istiophoridae,Billfishes
400421,Centrolophidae,Medusafishes
400425,Stromateidae,Butterfishes
400439,Bothidae,Lefteye flounders
400440,Pleuronectidae,Righteye flounders
400441,Soleidae,Soles
400442,Cynoglossidae,Tonguefishes
400445,Balistidae,Triggerfishes
400446,Ostraciidae,Boxfishes (cowfish and trunkfish)
400448,Tetraodontidae,Puffers
400454,Engraulidae,Anchovies
400459,Caesionidae,Fusiliers
400460,Pomacanthidae,Angelfishes
400475,Hemiramphidae,Halfbeaks
400479,Inermiidae,Bonnetmouths
400488,Triakidae,Houndsharks
400509,Ambassidae,Asiatic glassfishes
400515,Scophthalmidae,Turbots
400517,Monacanthidae,Filefishes
400581,Peristediidae,Armored searobins or armored gurnards
400591,Artedidraconidae,Barbled plunderfishes
400595,Centriscidae,Snipefishes and shrimpfishes
490004,Ommastrephidae,Arrow squids
490011,Sepiidae,Cuttlefishes
490012,Octopodidae,Octopuses
490030,Palaemonidae,Palaemonid shrimps
490031,Portunidae,Swimming crabs
490036,Lithodidae,King crabs
490039,Palinuridae,Spiny lobsters
490040,Scyllaridae,Slipper lobsters
490041,Sergestidae,Sergestid shrimp
490042,Aristeidae,Aristeid shrimps
490043,Penaeidae,Penaeid shrimps
490044,Crangonidae,Crongonid shrimp
490046,Pandalidae,Norther shrimps
490052,Squillidae,Mantis shrimps
490054,Mytilidae,Sea mussels
490055,Pectinidae,Scallops
490058,Cardiidae,Cockles
490060,Veneridae,Venus clams
490061,Solenidae,Razor clams and knife clams
490063,Mactridae,Mactra surf clams
490097,Brachyura,Marine crabs
490124,Galatheidae,Squat lobsters
500048,Paralichthys,Flounders
500107,Squalus,Dogfishes
500108,Raja,Skates and Rays
500112,Lophius,Frogfishes
500116,Coryphaena,Dolphinfishes
500122,Trachinus,Weevers
500124,Ammodytes,Sand eels
500134,Scorpaena,Scorpionfishes
500136,Salmo,Salmon and trouts
500142,Scomber,Mackerels
500143,Mullus,Goatfishes
500144,Trigla,Gurnards
500147,Argentina,Argentines
500152,Mugil,Grey mullets
500154,Diodon,Porcupinefishes
500211,Trachipterus,Ribbonfishes
500240,Siganus,Spinefoot
500242,Scarus,Parrotfishes
500327,Macrourus,Grenadiers
500348,Mustelus,Smoothhounds
500351,Rhinobatos,Guitarfishes
500352,Alosa,Shads
500357,Lutjanus,Snappers
500366,Epinephelus,Groupers
500372,Sphyraena,Barracudas
500384,Gymnothorax,Morays
500467,Caranx,Jacks
500468,Scomberoides,Queenfishes
500475,Caesio,Fusiliers
500477,Kyphosus,Sea chubs
500480,Naso,Unicornfishes
500487,Scomberomorus,Mackerels
500495,Prionotus,Searobins
500504,Centropomus,Snooks
500508,Cheilinus,Wrasses
500515,Leiognathus,Ponyfishes
500551,Plotosus,Eel catfishes
500598,Trachinotus,Pompanos
500618,Solea,Soles
500638,Isurus,Mako sharks
500639,Alopias,Thresher sharks
500640,Galeus,Catsharks
500642,Etmopterus,Lanternsharks
500646,Dasyatis,Stingrays
500654,Merluccius,Hakes
500657,Hippocampus,Seahorses
500661,Trachurus,Jack and horse mackerels
500679,Spicara,Picarels
500686,Gaidropsarus,Rocklings
500693,Sphyrna,Hammerhead sharks
500705,Diplodus,Seabreams and porgies
500716,Epigonus,Cardinalfishes
500717,Myoxocephalus,Sculpins
500808,Scolopsis,Monocle breams
500809,Dentex,Seabreams
500814,Scyliorhinus,Catsharks
500856,Chirocentrus,Wolf herrings
500871,Belone,Needlefishes
500901,Serranus,Groupers
500903,Pagrus,Seabreams
500912,Priacanthus,Bigeyes
500913,Terapon,Terapons
500928,Seriola,Amberjacks
500934,Platax,Batfishes
501055,Gerres,Silver biddies
501096,Molva,Lings
501129,Beryx,Alfonsinos
501130,Myripristis,Soldierfishes
501132,Upeneus,Goatfishes
501135,Sebastes,Redfishes
501145,Pagellus,Pandoras
501163,Auxis,Tunas
501164,Peprilus,Harvestfishes
501242,Scatophagus,Scats
501327,Micropogonias,Croakers
501345,Tylosurus,Needlefishes
501410,Salvelinus,Chars
501418,Microchirus,Soles
501464,Pristiophorus,Sawsharks
501486,Lycodes,Eelpouts
501523,Nemadactylus,Porae
501548,Chrysoblephus,Seabreams
501550,Lithognathus,Steenbrases
501551,Calamus,Porgies
501552,Nemipterus,Threadfin breams
501677,Cantherhines,Filefishes
501826,Muraenesox,Congers
501905,Thunnus,Tunas
501940,Sardinella,Sardinellas
501941,Harengula,Herrings
502004,Seriolella,Warehou
502102,Decapterus,Scads
502403,Eucinostomus,Mojarras
502417,Genypterus,Cusk eels
502666,Macolor,Snappers
502682,Dicentrarchus,Seabasses
502724,Oncorhynchus,Salmon
502790,Menticirrhus,Kingcroakers
502794,Cynoscion,Weakfishes
502996,Acanthocybium,Acanthocybium
503028,Mycteroperca,Groupers
503078,Hydrolagus,Chimaeras
503124,Lepidorhombus,Megrims
503128,Rhombosolea,Flounders
503152,Pseudotolithus,Croakers
503328,Notoscopelus,Lampfish
503580,Gymnocranius,Large-eye breams
503990,Bathylagus,Blacksmelts
504054,Muraenolepis,Moray cods
504140,Benthodesmus,Frostfishes
504872,Dissostichus,Toothfishes
504943,Pterygotrigla,Gurnards
505469,Rastrelliger,Mackerels
505586,Anchoviella,Anchovies
505799,Austroglossus,Soles
505897,Anarhichas,Wolffishes
506253,Coregonus,Whitefishes
507720,Stolephorus,Anchovies
508611,Bathyraja,Skates
509125,Sphoeroides,Puffers
509206,Abudefduf,Sergeants
509207,Acanthurus,Surgeonfishes
509232,Thryssa,Thryssas
509289,Hemiramphus,Halfbeaks
509303,Phycis,Gunnels and forkbeards
509366,Trematomus,Rockcods
520007,Pampus,Silver pomfrets
590010,Loligo,Common squids
590013,Octopus,Octopuses
590014,Crassostrea,Cupped oysters
590024,Eledone,Horned and musky octopuses
590046,Haliotis,Abalones
590049,Littorina,Periwinkles
590050,Murex,Murex shells
590051,Strombus,Stromboid conchs
590053,Turbo,Turbans
590062,Callinectes,Swimming crabs
590065,Chionoecetes,Tanner and snow crabs
590067,Geryon,Deepsea crabs
590070,Lithodes,King crabs
590073,Paralithodes,King crabs
590074,Paralomis,Paralomis
590075,Portunus,Swims crabs
590079,Metanephrops,Lobsters
590082,Palinurus,Spiny lobsters
590083,Panulirus,Spiny lobsters
590088,Crangon,Snapping shrimps
590089,Haliporoides,Knife shrimps
590091,Metapenaeus,Metapenaeus shrimps
590093,Pandalus,Pandalus shrimps
590094,Parapenaeopsis,Shrimps
590096,Penaeus,Penaeus shrimps
590103,Euphausia,Krills
590107,Lepas,Barnacles
590110,Busycon,Whelks
590111,Rapana,Sea snails
590112,Ostrea,Flat oysters
590116,Modiolus,Horse mussels
590117,Mytilus,Mussels
590124,Anadara,Arks
590125,Arca,Ark clams
590128,Donax,Donax clams
590134,Meretrix,Hard clams
590137,Mulinia,Taquilla clams
590139,Paphia,Venus clams
590145,Solen,Razor clams
590146,Spisula,Surf clams
590147,Tapes,Tapes clams
590158,Strongylocentrotus,Sea urchins
590242,Patella,Limpets
590244,Scyllarides,Slipper lobsters
590248,Callianassa,Ghost shimps
590252,Cymbium,Volutes
590260,Sclerocrangon,Sculptured shrimps
590262,Tellina,Tellins
590269,Tresus,Gaper clams
590272,Charybdis,Swimming crabs
600004,Engraulis ringens,Anchoveta
600005,Orthopristis chrysoptera,Pigfish
600006,Coryphaena hippurus,Common dolphinfish
600015,Epinephelus guttatus,Red hind
600017,Epinephelus morio,Red grouper
600018,Epinephelus striatus,Nassau grouper
600020,Argentina sphyraena,Argentine
600024,Clupea harengus,Atlantic herring
600026,Glyptocephalus cynoglossus,Witch flounder
600027,Lepidorhombus boscii,Four-spot megrim
600028,Lepidorhombus whiffiagonis,Megrim
600029,Merlangius merlangus,Whiting
600030,Merluccius merluccius,European hake
600031,Micromesistius poutassou,Blue whiting
600032,Microchirus variegatus,Thickback sole
600033,Molva molva,Ling
600034,Pollachius pollachius,Pollack
600041,Arnoglossus laterna,Mediterranean scaldfish
600044,Chelidonichthys cuculus,Red gurnard
600045,Atherina presbyter,Sand smelt
600047,Belone belone,Garfish
600051,Brosme brosme,Tusk
600054,Capros aper,Boarfish
600056,Cepola macrophthalma,Red bandfish
600059,Symphodus melops,Corkwing wrasse
600061,Ctenolabrus rupestris,Goldsinny-wrasse
600062,Cyclopterus lumpus,Lumpfish
600063,Dicentrarchus labrax,European seabass
600066,Engraulis encrasicolus,European anchovy
600068,Eutrigla gurnardus,Grey gurnard
600069,Gadus morhua,Atlantic cod
600071,Caranx hippos,Crevalle jack
600072,Gobius niger,Black goby
600076,Helicolenus dactylopterus,Blackbelly rosefish
600077,Istiophorus platypterus,Indo-Pacific sailfish
600078,Istiophorus albicans,Atlantic sailfish
600081,Aphareus furca,Small toothed jobfish
600083,Aphareus rutilans,Rusty jobfish
600084,Aprion virescens,Green jobfish
600087,Etelis carbunculus,Deep-water red snapper
600088,Lamna nasus,Porbeagle
600089,Acanthocybium solandri,Wahoo
600090,Cetorhinus maximus,Basking shark
600093,Auxis rochei rochei,Bullet tuna
600094,Auxis thazard thazard,Frigate tuna
600096,Euthynnus affinis,Kawakawa
600097,Euthynnus alletteratus,Little tunny
600098,Euthynnus lineatus,Black skipjack
600101,Alosa alosa,Allis shad
600104,Grammatorcynus bilineatus,Double-lined mackerel
600105,Alosa immaculata,Pontic shad
600106,Gymnosarda unicolor,Dogtooth tuna
600107,Katsuwonus pelamis,Skipjack tuna
600108,Orcynopsis unicolor,Plain bonito
600109,Rastrelliger brachysoma,Short mackerel
600111,Rastrelliger kanagurta,Indian mackerel
600113,Sarda chiliensis chiliensis,Eastern Pacific bonito
600114,Sarda orientalis,Striped bonito
600115,Sarda sarda,Atlantic bonito
600116,Scomber australasicus,Blue mackerel
600117,Scomber japonicus,Chub mackerel
600118,Scomber scombrus,Atlantic mackerel
600119,Scomberomorus brasiliensis,Serra Spanish mackerel
600120,Scomberomorus cavalla,King mackerel
600121,Scomberomorus commerson,Narrow-barred Spanish mackerel
600123,Scomberomorus guttatus,Indo-Pacific king mackerel
600125,Scomberomorus lineolatus,Streaked seerfish
600126,Scomberomorus maculatus,Atlantic Spanish mackerel
600131,Scomberomorus niphonius,Japanese Spanish mackerel
600134,Scomberomorus regalis,Cero
600136,Scomberomorus sierra,Pacific sierra
600138,Somniosus microcephalus,Greenland shark
600139,Squalus acanthias,Piked dogfish
600140,Rhinobatos percellens,Chola guitarfish
600141,Scomberomorus tritor,West African Spanish mackerel
600142,Thunnus alalunga,Albacore
600143,Thunnus albacares,Yellowfin tuna
600144,Thunnus atlanticus,Blackfin tuna
600145,Thunnus maccoyii,Southern bluefin tuna
600146,Thunnus obesus,Bigeye tuna
600147,Thunnus thynnus,Atlantic bluefin tuna
600148,Thunnus tonggol,Longtail tuna
600149,Rhinobatos planiceps,Pacific guitarfish
600152,Lutjanus guttatus,Spotted rose snapper
600156,Lutjanus kasmira,Common bluestripe snapper
600162,Lutjanus malabaricus,Malabar blood snapper
600166,Lutjanus monostigma,Onespot snapper
600167,Callorhinchus capensis,Cape elephantfish
600171,Lutjanus purpureus,Southern red snapper
600172,Lutjanus quinquelineatus,Five-lined snapper
600175,Elops saurus,Ladyfish
600181,Lutjanus synagris,Lane snapper
600185,Lutjanus vivanus,Silk snapper
600187,Macolor niger,Black and white snapper
600188,Ocyurus chrysurus,Yellowtail snapper
600191,Paracaesio kusakarii,Saddle-back snapper
600193,Paracaesio stonei,Cocoa snapper
600199,Pristipomoides argyrogrammicus,Ornate jobfish
600200,Pristipomoides auricilla,Goldflag jobfish
600201,Pristipomoides filamentosus,Crimson jobfish
600203,Boops boops,Bogue
600204,Sarpa salpa,Salema
600206,Pristipomoides macrophthalmus,Cardinal snapper
600211,Pristipomoides zonatus,Oblique-banded snapper
600213,Rhomboplites aurorubens,Vermilion snapper
600216,Makaira nigricans,Blue marlin
600217,Istiompax indica,Black marlin
600218,Makaira mazara,Indo-Pacific blue marlin
600219,Tetrapturus albidus,Atlantic white marlin
600220,Tetrapturus pfluegeri,Longbill spearfish
600223,Kajikia audax,Striped marlin
600226,Xiphias gladius,Swordfish
600227,Megalops cyprinoides,Indo-Pacific tarpon
600228,Albula vulpes,Bonefish
600229,Pterothrissus belloci,Longfin bonefish
600230,Alepocephalus bairdii,Baird's slickhead
600231,Coregonus albula,Vendace
600232,Coregonus lavaretus,European whitefish
600233,Coregonus oxyrinchus,Houting
600236,Salmo salar,Atlantic salmon
600238,Salmo trutta trutta,Sea trout
600239,Oncorhynchus mykiss,Rainbow trout
600240,Oncorhynchus gorbuscha,Pink salmon
600241,Oncorhynchus keta,Chum salmon
600242,Oncorhynchus masou masou,Masu salmon
600243,Oncorhynchus nerka,Sockeye salmon
600244,Oncorhynchus tshawytscha,Chinook salmon
600245,Oncorhynchus kisutch,Coho salmon
600247,Salvelinus alpinus alpinus,Arctic char
600249,Centrolophus niger,Rudderfish
600250,Schedophilus ovalis,Imperial blackfish
600252,Mallotus villosus,Capelin
600253,Osmerus mordax mordax,Rainbow smelt
600255,Hypomesus pretiosus,Surf smelt
600256,Thaleichthys pacificus,Eulachon
600259,Lampanyctodes hectoris,Hectors lanternfish
600260,Harpadon nehereus,Bombay duck
600262,Lutjanus fulvus,Blacktail snapper
600264,Lutjanus johnii,Johns snapper
600265,Lutjanus gibbus,Humpback red snapper
600266,Lutjanus griseus,Grey snapper
600288,Galeichthys feliceps,White barbel
600298,Muraenesox cinereus,Daggertooth pike conger
600299,Conger orbignianus,Argentine conger
600300,Conger oceanicus,American conger
600301,Conger conger,European conger
600302,Conger myriaster,Whitespotted conger
600303,Cololabis saira,Pacific saury
600305,Hyporhamphus sajori,Japanese halfbeak
600306,Salilota australis,Tadpole codling
600308,Gadus macrocephalus,Pacific cod
600309,Gadus ogac,Greenland cod
600311,Urophycis brasiliensis,Brazilian codling
600312,Urophycis chuss,Red hake
600313,Urophycis tenuis,White hake
600314,Eleginus nawaga,Navaga
600315,Eleginus gracilis,Saffron cod
600316,Microgadus tomcod,Atlantic tomcod
600318,Theragra chalcogramma,Alaska pollock
600319,Boreogadus saida,Polar cod
600320,Micromesistius australis,Southern blue whiting
600321,Merluccius senegalensis,Senegalese hake
600322,Merluccius australis,Southern hake
600323,Merluccius bilinearis,Silver hake
600324,Merluccius gayi gayi,South Pacific hake
600325,Merluccius hubbsi,Argentine hake
600326,Merluccius productus,North Pacific hake
600327,Merluccius polli,Benguela hake
600329,Macruronus magellanicus,Patagonian grenadier
600331,Macrourus berglax,Roughhead grenadier
600332,Coryphaenoides rupestris,Roundnose grenadier
600333,Macroramphosus scolopax,Longspine snipefish
600334,Hoplostethus atlanticus,Orange roughy
600336,Zenopsis conchifer,Silvery John dory
600338,Joturus pichardi,Bobo mullet
600339,Menidia menidia,Atlantic silverside
600340,Eleutheronema tetradactylum,Fourfinger threadfin
600341,Galeoides decadactylus,Lesser African threadfin
600342,Pentanemus quinquarius,Royal threadfin
600345,Centropomus undecimalis,Common snook
600346,Lates calcarifer,Barramundi
600348,Epinephelus analogus,Spotted grouper
600349,Polyprion americanus,Wreckfish
600350,Polyprion oxygeneios,Hapuka
600351,Acanthistius brasilianus,Argentine seabass
600352,Paralabrax humeralis,Peruvian rock seabass
600353,Morone saxatilis,Striped bass
600355,Morone americana,White perch
600356,Priacanthus macracanthus,Red bigeye
600357,Synagrops japonicus,Blackmouth splitfin
600361,Centropristis striata,Black seabass
600362,Lopholatilus chamaeleonticeps,Great northern tilefish
600363,Lactarius lactarius,False trevally
600364,Pomatomus saltatrix,Bluefish
600366,Trachurus japonicus,Japanese jack mackerel
600367,Trachurus murphyi,Chilean jack mackerel
600368,Trachurus symmetricus,Pacific jack mackerel
600369,Trachurus lathami,Rough scad
600371,Trachurus trecae,Cunene horse mackerel
600372,Trachurus declivis,Greenback horse mackerel
600374,Decapterus russelli,Indian scad
600378,Selene setapinnis,Atlantic moonfish
600379,Selene dorsalis,African moonfish
600380,Trachinotus carolinus,Florida pompano
600382,Seriola lalandi,Yellowtail amberjack
600384,Megalaspis cordyla,Torpedo scad
600385,Chloroscombrus chrysurus,Atlantic bumper
600386,Parona signata,Parona leatherjacket
600387,Selar crumenophthalmus,Bigeye scad
600388,Selaroides leptolepis,Yellowstripe scad
600390,Mene maculata,Moonfish
600391,Brama brama,Atlantic pomfret
600392,Arripis georgianus,Ruff
600394,Dicentrarchus punctatus,Spotted seabass
600395,Emmelichthys nitidus nitidus,Cape bonnetmouth
600396,Nemipterus virgatus,Golden threadfin bream
600397,Isacia conceptionis,Cabinza grunt
600398,Plectorhinchus mediterraneus,Rubberlip grunt
600399,Pomadasys argenteus,Silver grunt
600400,Brachydeuterus auritus,Bigeye grunt
600401,Conodon nobilis,Barred grunt
600403,Cynoscion analis,Peruvian weakfish
600405,Cynoscion nebulosus,Spotted weakfish
600406,Cynoscion regalis,Squeteague
600407,Cynoscion striatus,Striped weakfish
600408,Micropogonias undulatus,Atlantic croaker
600410,Menticirrhus saxatilis,Northern kingcroaker
600411,Menticirrhus littoralis,Gulf kingcroaker
600412,Elagatis bipinnulata,Rainbow runner
600413,Umbrina canosai,Argentine croaker
600416,Larimichthys polyactis,Yellow croaker
600417,Macrodon ancylodon,King weakfish
600418,Argyrosomus regius,Meagre
600419,Argyrosomus hololepidotus,Southern meagre
600420,Atractoscion aequidens,Geelbeck croaker
600422,Genyonemus lineatus,White croaker
600423,Pteroscion peli,Boe drum
600424,Paralonchurus peruanus,Peruvian banded croaker
600425,Pogonias cromis,Black drum
600426,Epinephelus aeneus,White grouper
600427,Nibea mitsukurii,Honnibe croaker
600428,Larimichthys crocea,Large yellow croaker
600429,Leiostomus xanthurus,Spot croaker
600432,Pseudotolithus senegalensis,Cassava croaker
600433,Pseudotolithus elongatus,Bobo croaker
600434,Pennahia argentata,Silver croaker
600436,Pagellus bellottii,Red pandora
600438,Dentex macrophthalmus,Large-eye dentex
600439,Dentex dentex,Common dentex
600440,Dentex angolensis,Angola dentex
600441,Archosargus probatocephalus,Sheepshead
600442,Argyrops spinifer,King soldierbream
600443,Argyrozona argyrozona,Carpenter seabream
600444,Cheimerius nufar,Santer seabream
600447,Petrus rupestris,Red steenbras
600448,Pterogymnus laniarius,Panga seabream
600449,Rhabdosargus globiceps,White stumpnose
600450,Lithognathus lithognathus,White steenbras
600452,Stenotomus chrysops,Scup
600453,Pseudupeneus prayensis,West African goatfish
600458,Tautoga onitis,Tautog
600460,Nemadactylus bergi,Castaneta
600461,Cheilodactylus variegatus,Peruvian morwong
600463,Arctoscopus japonicus,Japanese sandfish
600464,Parapercis colias,New Zealand blue cod
600465,Percophis brasiliensis,Brazilian flathead
600466,Eleginops maclovinus,Patagonian blennie
600467,Dissostichus eleginoides,Patagonian toothfish
600468,Notothenia rossii,Marbled rockcod
600472,Pleuragramma antarctica,Antarctic silverfish
600473,Chaenocephalus aceratus,Blackfin icefish
600474,Champsocephalus gunnari,Mackerel icefish
600475,Pseudochaenichthys georgianus,South Georgia icefish
600476,Chionodraco rastrospinosus,Ocellated icefish
600477,Channichthys rhinoceratus,Unicorn icefish
600478,Chaenodraco wilsoni,Spiny icefish
600479,Zoarces viviparus,Eelpout
600480,Zoarces americanus,Ocean pout
600481,Trisopterus minutus,Poor cod
600482,Genypterus blacodes,Pink cusk-eel
600483,Genypterus chilensis,Red cusk-eel
600484,Genypterus maculatus,Black cusk-eel
600485,Genypterus capensis,Kingklip
600486,Brotula barbata,Bearded brotula
600487,Ammodytes personatus,Pacific sandlance
600488,Hypoptychus dybowskii,Korean sandeel
600489,Thyrsites atun,Snoek
600490,Thyrsitops lepidopoides,White snake mackerel
600491,Pampus argenteus,Silver pomfret
600492,Peprilus triacanthus,Atlantic butterfish
600493,Peprilus simillimus,Pacific pompano
600496,Hyperoglyphe antarctica,Bluenose warehou
600497,Psenopsis anomala,Pacific rudderfish
600501,Sebastes norvegicus,Golden redfish
600502,Sebastes entomelas,Widow rockfish
600503,Sebastes flavidus,Yellowtail rockfish
600504,Sebastes alutus,Pacific ocean perch
600505,Sebastes mentella,Beaked redfish
600507,Chelidonichthys kumu,Bluefin gurnard
600508,Pterygotrigla polyommata,Latchet
600509,Ophiodon elongatus,Lingcod
600510,Pleurogrammus azonus,Okhostk atka mackerel
600512,Anoplopoma fimbria,Sablefish
600513,Psettodes erumei,Indian halibut
600514,Hippoglossus stenolepis,Pacific halibut
600516,Reinhardtius hippoglossoides,Greenland halibut
600517,Atheresthes stomias,Arrowtooth flounder
600518,Atheresthes evermanni,Kamchatka flounder
600519,Hippoglossoides elassodon,Flathead sole
600520,Limanda aspera,Yellowfin sole
600521,Limanda ferruginea,Yellowtail flounder
600524,Pseudopleuronectes americanus,Winter flounder
600525,Solea solea,Common sole
600526,Dicologlossa cuneata,Wedge sole
600527,Austroglossus microlepis,West coast sole
600528,Austroglossus pectoralis,Mud sole
600529,Scophthalmus rhombus,Brill
600530,Scophthalmus aquosus,Windowpane flounder
600531,Stephanolepis cirrhifer,Thread-sail filefish
600532,Lophius americanus,American angler
600545,Anchoa mitchilli,Bay anchovy
600547,Cetengraulis edentulus,Atlantic anchoveta
600548,Cetengraulis mysticetus,Pacific anchoveta
600556,Encrasicholina heteroloba,Shorthead anchovy
600572,Labrus bergylta,Ballan wrasse
600637,Hexanchus griseus,Bluntnose sixgill shark
600641,Echinorhinus brucus,Bramble shark
600645,Lepidopus caudatus,Silver scabbardfish
600646,Aphanopus carbo,Black scabbardfish
600648,Centrophorus granulosus,Gulper shark
600650,Centrophorus lusitanicus,Lowfin gulper shark
600653,Centrophorus squamosus,Leafscale gulper shark
600656,Centroscyllium fabricii,Black dogfish
600662,Centroscymnus coelolepis,Portuguese dogfish
600663,Centroscymnus crepidater,Longnose velvet dogfish
600669,Dalatias licha,Kitefin shark
600670,Deania calcea,Birdbeak dogfish
600679,Etmopterus granulosus,Southern lanternshark
600687,Etmopterus spinax,Velvet belly
600692,Lichia amia,Leerfish
600695,Limanda limanda,Common dab
600700,Scymnodon ringens,Knifetooth dogfish
600704,Somniosus rostratus,Little sleeper shark
600706,Lithognathus mormyrus,Sand steenbras
600716,Lophius piscatorius,Angler
600718,Oxynotus centrina,Angular roughshark
600719,Oxynotus paradoxus,Sailfin roughshark
600727,Squatina argentina,Argentine angelshark
600736,Squatina squatina,Angelshark
600747,Carcharias taurus,Sand tiger shark
600751,Carcharodon carcharias,Great white shark
600752,Isurus oxyrinchus,Shortfin mako
600753,Isurus paucus,Longfin mako
600754,Maurolicus muelleri,Silvery lightfish
600785,Mugil cephalus,Flathead grey mullet
600790,Mullus barbatus barbatus,Red mullet
600807,Galeus melastomus,Blackmouth catshark
600845,Scyliorhinus canicula,Smallspotted catshark
600850,Oblada melanura,Saddled seabream
600854,Scyliorhinus stellaris,Nursehound
600864,Carcharhinus brachyurus,Copper shark
600868,Carcharhinus falciformis,Silky shark
