iucn_sid,year,code,category,value,species,sciname
2476,1996,DD,Data Deficient,NA,NA,Balaenoptera edeni
2476,1994,K,Insufficiently Known,NA,NA,Balaenoptera edeni
2477,2008,EN,Endangered,NA,NA,Balaenoptera musculus
2477,1996,EN,Endangered,NA,NA,Balaenoptera musculus
2477,1994,E,Endangered,NA,NA,Balaenoptera musculus
2477,1990,E,Endangered,NA,NA,Balaenoptera musculus
2477,1988,E,Endangered,NA,NA,Balaenoptera musculus
2477,1986,E,Endangered,NA,NA,Balaenoptera musculus
2477,1965,NA,"""Very rare and believed to be decreasing in numbers""",NA,NA,Balaenoptera musculus
16208224,2012,VU,Vulnerable,NA,NA,Balaenoptera physalus
2478,2013,EN,Endangered,NA,NA,Balaenoptera physalus
2478,2008,EN,Endangered,NA,NA,Balaenoptera physalus
2478,1996,EN,Endangered,NA,NA,Balaenoptera physalus
2478,1994,V,Vulnerable,NA,NA,Balaenoptera physalus
2478,1990,V,Vulnerable,NA,NA,Balaenoptera physalus
2478,1988,V,Vulnerable,NA,NA,Balaenoptera physalus
2478,1986,V,Vulnerable,NA,NA,Balaenoptera physalus
2478,1965,NA,"""Less rare but believed to be threatened-requires watching""",NA,NA,Balaenoptera physalus
2762,2008,DD,Data Deficient,NA,NA,Berardius arnuxii
2762,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Berardius arnuxii
2762,1994,K,Insufficiently Known,NA,NA,Berardius arnuxii
3778,2008,DD,Data Deficient,NA,NA,Caperea marginata
3778,1996,LR/lc,Lower Risk/least concern,NA,NA,Caperea marginata
3778,1994,K,Insufficiently Known,NA,NA,Caperea marginata
39365,2009,NT,Near Threatened,NA,NA,Carcharhinus amblyrhynchos
39365,2000,LR/nt,Lower Risk/near threatened,NA,NA,Carcharhinus amblyrhynchos
39375,2009,NT,Near Threatened,NA,NA,Carcharhinus melanopterus
39375,2000,LR/nt,Lower Risk/near threatened,NA,NA,Carcharhinus melanopterus
3855,2009,VU,Vulnerable,NA,NA,Carcharodon carcharias
3855,2000,VU,Vulnerable,NA,NA,Carcharodon carcharias
3855,1996,VU,Vulnerable,NA,NA,Carcharodon carcharias
3855,1994,K,Insufficiently Known,NA,NA,Carcharodon carcharias
3855,1990,K,Insufficiently Known,NA,NA,Carcharodon carcharias
3897,2015,VU,Vulnerable,NA,NA,Caretta caretta
3897,1996,EN,Endangered,NA,NA,Caretta caretta
3897,1994,V,Vulnerable,NA,NA,Caretta caretta
3897,1990,V,Vulnerable,NA,NA,Caretta caretta
3897,1988,V,Vulnerable,NA,NA,Caretta caretta
3897,1986,V,Vulnerable,NA,NA,Caretta caretta
3897,1982,V,Vulnerable,NA,NA,Caretta caretta
84127873,2015,CR,Critically Endangered,NA,NA,Caretta caretta
83652278,2015,LC,Least Concern,NA,NA,Caretta caretta
83776383,2015,EN,Endangered,NA,NA,Caretta caretta
84126444,2015,CR,Critically Endangered,NA,NA,Caretta caretta
84131194,2015,LC,Least Concern,NA,NA,Caretta caretta
84191235,2015,LC,Least Concern,NA,NA,Caretta caretta
84199475,2015,NT,Near Threatened,NA,NA,Caretta caretta
84156809,2015,CR,Critically Endangered,NA,NA,Caretta caretta
83644804,2015,LC,Least Concern,NA,NA,Caretta caretta
84189617,2015,NT,Near Threatened,NA,NA,Caretta caretta
4162,2013,EN,Endangered,NA,NA,Cephalorhynchus hectori
4162,2008,EN,Endangered,NA,NA,Cephalorhynchus hectori
4162,2000,EN,Endangered,NA,NA,Cephalorhynchus hectori
4162,1996,VU,Vulnerable,NA,NA,Cephalorhynchus hectori
4162,1994,I,Indeterminate,NA,NA,Cephalorhynchus hectori
4162,1990,V,Vulnerable,NA,NA,Cephalorhynchus hectori
4162,1988,K,Insufficiently Known,NA,NA,Cephalorhynchus hectori
NA,NA,NA,NA,0,"NA",Cephalorhynchus hectori maui
NA,NA,NA,NA,0,"NA",Kogia simus
4292,2005,VU,Vulnerable,NA,NA,Cetorhinus maximus
4292,2000,VU,Vulnerable,NA,NA,Cetorhinus maximus
4292,1996,VU,Vulnerable,NA,NA,Cetorhinus maximus
4292,1994,K,Insufficiently Known,NA,NA,Cetorhinus maximus
4292,1990,K,Insufficiently Known,NA,NA,Cetorhinus maximus
39340,2009,EN,Endangered,NA,NA,Cetorhinus maximus
39340,2000,EN,Endangered,NA,NA,Cetorhinus maximus
39545,2009,EN,Endangered,NA,NA,Cetorhinus maximus
39545,2000,EN,Endangered,NA,NA,Cetorhinus maximus
4592,2004,EN,Endangered,NA,NA,Cheilinus undulatus
4592,1996,VU,Vulnerable,NA,NA,Cheilinus undulatus
16285718,2012,LC,Least Concern,NA,NA,Chelonia mydas
4615,2004,EN,Endangered,NA,NA,Chelonia mydas
4615,1996,EN,Endangered,NA,NA,Chelonia mydas
4615,1994,E,Endangered,NA,NA,Chelonia mydas
4615,1990,E,Endangered,NA,NA,Chelonia mydas
4615,1988,E,Endangered,NA,NA,Chelonia mydas
4615,1986,E,Endangered,NA,NA,Chelonia mydas
4615,1982,E,Endangered,NA,NA,Chelonia mydas
6336,2008,LC,Least Concern,NA,NA,Delphinus delphis
6336,1996,LR/lc,Lower Risk/least concern,NA,NA,Delphinus delphis
6336,1994,K,Insufficiently Known,NA,NA,Delphinus delphis
41762,2003,EN,Endangered,NA,NA,Delphinus delphis
46967807,2013,CR,Critically Endangered,NA,NA,Dermochelys coriacea
6494,2013,VU,Vulnerable,NA,NA,Dermochelys coriacea
6494,2000,CR,Critically Endangered,NA,NA,Dermochelys coriacea
6494,1996,EN,Endangered,NA,NA,Dermochelys coriacea
6494,1994,E,Endangered,NA,NA,Dermochelys coriacea
6494,1990,E,Endangered,NA,NA,Dermochelys coriacea
6494,1988,E,Endangered,NA,NA,Dermochelys coriacea
6494,1986,E,Endangered,NA,NA,Dermochelys coriacea
6494,1982,E,Endangered,NA,NA,Dermochelys coriacea
46967817,2013,CR,Critically Endangered,NA,NA,Dermochelys coriacea
46967827,2013,LC,Least Concern,NA,NA,Dermochelys coriacea
46967848,2013,DD,Data Deficient,NA,NA,Dermochelys coriacea
46967838,2013,CR,Critically Endangered,NA,NA,Dermochelys coriacea
46967873,2013,DD,Data Deficient,NA,NA,Dermochelys coriacea
46967863,2013,CR,Critically Endangered,NA,NA,Dermochelys coriacea
183775,2010,LC,Least Concern,NA,NA,Engraulis ringens
8005,2008,CR,Critically Endangered,NA,NA,Eretmochelys imbricata
8005,1996,CR,Critically Endangered,NA,NA,Eretmochelys imbricata
8005,1994,E,Endangered,NA,NA,Eretmochelys imbricata
8005,1990,E,Endangered,NA,NA,Eretmochelys imbricata
8005,1988,E,Endangered,NA,NA,Eretmochelys imbricata
8005,1986,E,Endangered,NA,NA,Eretmochelys imbricata
8005,1982,E,Endangered,NA,NA,Eretmochelys imbricata
8097,2008,LC,Least Concern,NA,NA,Eschrichtius robustus
8097,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Eschrichtius robustus
8099,2008,CR,Critically Endangered,NA,NA,Eschrichtius robustus
8099,2000,CR,Critically Endangered,NA,NA,Eschrichtius robustus
8099,1996,EN,Endangered,NA,NA,Eschrichtius robustus
133704,2013,CR,Critically Endangered,NA,NA,Eubalaena australis
133704,2008,CR,Critically Endangered,NA,NA,Eubalaena australis
8153,2013,LC,Least Concern,NA,NA,Eubalaena australis
8153,2008,LC,Least Concern,NA,NA,Eubalaena australis
8153,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Eubalaena australis
8153,1994,V,Vulnerable,NA,NA,Eubalaena australis
8153,1990,V,Vulnerable,NA,NA,Eubalaena australis
8153,1988,V,Vulnerable,NA,NA,Eubalaena australis
8153,1965,NA,"""Very rare but believed to be stable or increasing""",NA,NA,Eubalaena australis
41712,2012,EN,Endangered,NA,NA,Eubalaena glacialis
41712,2008,EN,Endangered,NA,NA,Eubalaena glacialis
133706,2008,CR,Critically Endangered,NA,NA,Eubalaena japonica
41711,2008,EN,Endangered,NA,NA,Eubalaena japonica
41711,1996,EN,Endangered,NA,NA,Eubalaena japonica
8551,2008,DD,Data Deficient,NA,NA,Feresa attenuata
8551,1996,DD,Data Deficient,NA,NA,Feresa attenuata
8551,1994,K,Insufficiently Known,NA,NA,Feresa attenuata
39378,2009,NT,Near Threatened,NA,NA,Galeocerdo cuvier
39378,2000,LR/nt,Lower Risk/near threatened,NA,NA,Galeocerdo cuvier
9249,2011,DD,Data Deficient,NA,NA,Globicephala macrorhynchus
9249,2008,DD,Data Deficient,NA,NA,Globicephala macrorhynchus
9249,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Globicephala macrorhynchus
9249,1994,K,Insufficiently Known,NA,NA,Globicephala macrorhynchus
9250,2008,DD,Data Deficient,NA,NA,Globicephala melas
9250,1996,LR/lc,Lower Risk/least concern,NA,NA,Globicephala melas
9250,1994,K,Insufficiently Known,NA,NA,Globicephala melas
16376479,2012,DD,Data Deficient,NA,NA,Globicephala melas
9281,2007,CR,Critically Endangered,NA,NA,Glyphis gangeticus
9281,1996,CR,Critically Endangered,NA,NA,Glyphis gangeticus
9461,2012,LC,Least Concern,NA,NA,Grampus griseus
9461,2008,LC,Least Concern,NA,NA,Grampus griseus
9461,1996,DD,Data Deficient,NA,NA,Grampus griseus
9461,1994,K,Insufficiently Known,NA,NA,Grampus griseus
16378423,2012,DD,Data Deficient,NA,NA,Grampus griseus
10708,2008,LC,Least Concern,NA,NA,Hyperoodon planifrons
10708,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Hyperoodon planifrons
10708,1994,K,Insufficiently Known,NA,NA,Hyperoodon planifrons
40635,2008,DD,Data Deficient,NA,NA,Indopacetus pacificus
40635,1996,DD,Data Deficient,NA,NA,Indopacetus pacificus
40635,1994,K,Insufficiently Known,NA,NA,Indopacetus pacificus
161750,2009,VU,Vulnerable,NA,NA,Isurus oxyrinchus
39341,2009,VU,Vulnerable,NA,NA,Isurus oxyrinchus
39341,2000,LR/nt,Lower Risk/near threatened,NA,NA,Isurus oxyrinchus
161751,2009,NT,Near Threatened,NA,NA,Isurus oxyrinchus
161749,2009,VU,Vulnerable,NA,NA,Isurus oxyrinchus
60225,2006,VU,Vulnerable,NA,NA,Isurus paucus
11047,2012,DD,Data Deficient,NA,NA,Kogia breviceps
11047,2008,DD,Data Deficient,NA,NA,Kogia breviceps
11047,1996,LR/lc,Lower Risk/least concern,NA,NA,Kogia breviceps
11047,1994,K,Insufficiently Known,NA,NA,Kogia breviceps
NA,NA,NA,NA,0,"NA",Cephalorhynchus hectori maui
NA,NA,NA,NA,0,"NA",Kogia simus
11140,2012,LC,Least Concern,NA,NA,Lagenodelphis hosei
11140,2008,LC,Least Concern,NA,NA,Lagenodelphis hosei
11140,1996,DD,Data Deficient,NA,NA,Lagenodelphis hosei
11140,1994,K,Insufficiently Known,NA,NA,Lagenodelphis hosei
11144,2008,LC,Least Concern,NA,NA,Lagenorhynchus cruciger
11144,1996,LR/lc,Lower Risk/least concern,NA,NA,Lagenorhynchus cruciger
11144,1994,K,Insufficiently Known,NA,NA,Lagenorhynchus cruciger
11146,2008,DD,Data Deficient,NA,NA,Lagenorhynchus obscurus
11146,1996,DD,Data Deficient,NA,NA,Lagenorhynchus obscurus
11146,1994,K,Insufficiently Known,NA,NA,Lagenorhynchus obscurus
11200,2006,VU,Vulnerable,NA,NA,Lamna nasus
11200,2000,LR/nt,Lower Risk/near threatened,NA,NA,Lamna nasus
11200,1996,VU,Vulnerable,NA,NA,Lamna nasus
39343,2006,CR,Critically Endangered,NA,NA,Lamna nasus
39343,2000,VU,Vulnerable,NA,NA,Lamna nasus
39344,2006,EN,Endangered,NA,NA,Lamna nasus
39344,2000,LR/cd,Lower Risk/conservation dependent,NA,NA,Lamna nasus
61420,2006,CR,Critically Endangered,NA,NA,Lamna nasus
11533,1996,CR,Critically Endangered,NA,NA,Lepidochelys kempii
11533,1994,E,Endangered,NA,NA,Lepidochelys kempii
11533,1990,E,Endangered,NA,NA,Lepidochelys kempii
11533,1988,E,Endangered,NA,NA,Lepidochelys kempii
11533,1986,E,Endangered,NA,NA,Lepidochelys kempii
11533,1982,E,Endangered,NA,NA,Lepidochelys kempii
11534,2008,VU,Vulnerable,NA,NA,Lepidochelys olivacea
11534,1996,EN,Endangered,NA,NA,Lepidochelys olivacea
11534,1994,E,Endangered,NA,NA,Lepidochelys olivacea
11534,1990,E,Endangered,NA,NA,Lepidochelys olivacea
11534,1988,E,Endangered,NA,NA,Lepidochelys olivacea
11534,1986,E,Endangered,NA,NA,Lepidochelys olivacea
11534,1982,E,Endangered,NA,NA,Lepidochelys olivacea
12126,2012,DD,Data Deficient,NA,NA,Lissodelphis peronii
12126,2008,DD,Data Deficient,NA,NA,Lissodelphis peronii
12126,1996,DD,Data Deficient,NA,NA,Lissodelphis peronii
12126,1994,K,Insufficiently Known,NA,NA,Lissodelphis peronii
12427,2015,VU,Vulnerable,NA,NA,Lutrogale perspicillata
12427,2008,VU,Vulnerable,NA,NA,Lutrogale perspicillata
12427,2004,VU,Vulnerable,NA,NA,Lutrogale perspicillata
12427,2000,VU,Vulnerable,NA,NA,Lutrogale perspicillata
12427,1996,VU,Vulnerable,NA,NA,Lutrogale perspicillata
12427,1994,K,Insufficiently Known,NA,NA,Lutrogale perspicillata
12427,1990,K,Insufficiently Known,NA,NA,Lutrogale perspicillata
12427,1988,K,Insufficiently Known,NA,NA,Lutrogale perspicillata
39338,2015,LC,Least Concern,NA,NA,Megachasma pelagios
39338,2005,DD,Data Deficient,NA,NA,Megachasma pelagios
39338,2000,DD,Data Deficient,NA,NA,Megachasma pelagios
132835,2008,EN,Endangered,NA,NA,Megaptera novaeangliae
13006,2008,LC,Least Concern,NA,NA,Megaptera novaeangliae
13006,1996,VU,Vulnerable,NA,NA,Megaptera novaeangliae
13006,1994,V,Vulnerable,NA,NA,Megaptera novaeangliae
13006,1990,V,Vulnerable,NA,NA,Megaptera novaeangliae
13006,1988,E,Endangered,NA,NA,Megaptera novaeangliae
13006,1986,E,Endangered,NA,NA,Megaptera novaeangliae
13006,1965,NA,"""Less rare but believed to be threatened-requires watching""",NA,NA,Megaptera novaeangliae
132832,2008,EN,Endangered,NA,NA,Megaptera novaeangliae
13242,2008,DD,Data Deficient,NA,NA,Mesoplodon bowdoini
13242,1996,DD,Data Deficient,NA,NA,Mesoplodon bowdoini
13242,1994,K,Insufficiently Known,NA,NA,Mesoplodon bowdoini
13244,2008,DD,Data Deficient,NA,NA,Mesoplodon densirostris
13244,1996,DD,Data Deficient,NA,NA,Mesoplodon densirostris
13244,1994,K,Insufficiently Known,NA,NA,Mesoplodon densirostris
13246,2008,DD,Data Deficient,NA,NA,Mesoplodon ginkgodens
13246,1996,DD,Data Deficient,NA,NA,Mesoplodon ginkgodens
13246,1994,K,Insufficiently Known,NA,NA,Mesoplodon ginkgodens
13247,2008,DD,Data Deficient,NA,NA,Mesoplodon grayi
13247,1996,DD,Data Deficient,NA,NA,Mesoplodon grayi
13247,1994,K,Insufficiently Known,NA,NA,Mesoplodon grayi
13248,2008,DD,Data Deficient,NA,NA,Mesoplodon hectori
13248,1996,DD,Data Deficient,NA,NA,Mesoplodon hectori
13248,1994,K,Insufficiently Known,NA,NA,Mesoplodon hectori
13249,2008,DD,Data Deficient,NA,NA,Mesoplodon layardii
13249,1996,DD,Data Deficient,NA,NA,Mesoplodon layardii
13249,1994,K,Insufficiently Known,NA,NA,Mesoplodon layardii
13250,2008,DD,Data Deficient,NA,NA,Mesoplodon mirus
13250,1996,DD,Data Deficient,NA,NA,Mesoplodon mirus
13250,1994,K,Insufficiently Known,NA,NA,Mesoplodon mirus
14363,1996,DD,Data Deficient,NA,NA,Natator depressus
14363,1996,VU,Vulnerable,NA,NA,Natator depressus
14363,1994,V,Vulnerable,NA,NA,Natator depressus
44555,2004,CR,Critically Endangered,NA,NA,Orcaella brevirostris
15419,2008,VU,Vulnerable,NA,NA,Orcaella brevirostris
15419,1996,DD,Data Deficient,NA,NA,Orcaella brevirostris
15419,1994,K,Insufficiently Known,NA,NA,Orcaella brevirostris
15419,1990,K,Insufficiently Known,NA,NA,Orcaella brevirostris
15419,1988,K,Insufficiently Known,NA,NA,Orcaella brevirostris
39428,2008,CR,Critically Endangered,NA,NA,Orcaella brevirostris
39428,2000,CR,Critically Endangered,NA,NA,Orcaella brevirostris
44556,2004,CR,Critically Endangered,NA,NA,Orcaella brevirostris
44187,2004,CR,Critically Endangered,NA,NA,Orcaella brevirostris
44557,2004,CR,Critically Endangered,NA,NA,Orcaella brevirostris
136315,2008,NT,Near Threatened,NA,NA,Orcaella heinsohni
15421,2013,DD,Data Deficient,NA,NA,Orcinus orca
15421,2008,DD,Data Deficient,NA,NA,Orcinus orca
15421,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Orcinus orca
15421,1994,K,Insufficiently Known,NA,NA,Orcinus orca
16564,2008,LC,Least Concern,NA,NA,Peponocephala electra
16564,1996,LR/lc,Lower Risk/least concern,NA,NA,Peponocephala electra
16564,1994,K,Insufficiently Known,NA,NA,Peponocephala electra
41715,2008,DD,Data Deficient,NA,NA,Phocoena dioptrica
41715,1996,DD,Data Deficient,NA,NA,Phocoena dioptrica
41715,1994,K,Insufficiently Known,NA,NA,Phocoena dioptrica
17028,2008,CR,Critically Endangered,NA,NA,Phocoena sinus
17028,2007,CR,Critically Endangered,NA,NA,Phocoena sinus
17028,1996,CR,Critically Endangered,NA,NA,Phocoena sinus
17028,1994,E,Endangered,NA,NA,Phocoena sinus
17028,1990,E,Endangered,NA,NA,Phocoena sinus
17028,1988,V,Vulnerable,NA,NA,Phocoena sinus
17028,1986,V,Vulnerable,NA,NA,Phocoena sinus
41755,2008,VU,Vulnerable,NA,NA,Physeter macrocephalus
41755,1996,VU,Vulnerable,NA,NA,Physeter macrocephalus
41755,1994,K,Insufficiently Known,NA,NA,Physeter macrocephalus
16370739,2012,EN,Endangered,NA,NA,Physeter macrocephalus
17978,2012,VU,Vulnerable,NA,NA,Pontoporia blainvillei
17978,2008,VU,Vulnerable,NA,NA,Pontoporia blainvillei
17978,1996,DD,Data Deficient,NA,NA,Pontoporia blainvillei
17978,1994,K,Insufficiently Known,NA,NA,Pontoporia blainvillei
17978,1990,K,Insufficiently Known,NA,NA,Pontoporia blainvillei
17978,1988,K,Insufficiently Known,NA,NA,Pontoporia blainvillei
41761,2012,VU,Vulnerable,NA,NA,Pontoporia blainvillei
41761,2003,VU,Vulnerable,NA,NA,Pontoporia blainvillei
39381,2009,NT,Near Threatened,NA,NA,Prionace glauca
39381,2000,LR/nt,Lower Risk/near threatened,NA,NA,Prionace glauca
18596,2008,DD,Data Deficient,NA,NA,Pseudorca crassidens
18596,1996,LR/lc,Lower Risk/least concern,NA,NA,Pseudorca crassidens
18596,1994,K,Insufficiently Known,NA,NA,Pseudorca crassidens
19488,2005,VU,Vulnerable,NA,NA,Rhincodon typus
19488,2000,VU,Vulnerable,NA,NA,Rhincodon typus
19488,1996,DD,Data Deficient,NA,NA,Rhincodon typus
19488,1994,I,Indeterminate,NA,NA,Rhincodon typus
19488,1990,I,Indeterminate,NA,NA,Rhincodon typus
20424,2008,NT,Near Threatened,NA,NA,Sousa chinensis
20424,1996,DD,Data Deficient,NA,NA,Sousa chinensis
20424,1994,K,Insufficiently Known,NA,NA,Sousa chinensis
133710,2008,CR,Critically Endangered,NA,NA,Sousa chinensis
20729,2012,LC,Least Concern,NA,NA,Stenella attenuata
20729,2008,LC,Least Concern,NA,NA,Stenella attenuata
20729,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Stenella attenuata
20729,1994,K,Insufficiently Known,NA,NA,Stenella attenuata
20731,2008,LC,Least Concern,NA,NA,Stenella coeruleoalba
20731,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Stenella coeruleoalba
20731,1994,K,Insufficiently Known,NA,NA,Stenella coeruleoalba
16674437,2012,VU,Vulnerable,NA,NA,Stenella coeruleoalba
20733,2012,DD,Data Deficient,NA,NA,Stenella longirostris
20733,2008,DD,Data Deficient,NA,NA,Stenella longirostris
20733,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Stenella longirostris
20738,2012,LC,Least Concern,NA,NA,Steno bredanensis
20738,2008,LC,Least Concern,NA,NA,Steno bredanensis
20738,1996,DD,Data Deficient,NA,NA,Steno bredanensis
20738,1994,K,Insufficiently Known,NA,NA,Steno bredanensis
21500,2008,DD,Data Deficient,NA,NA,Tasmacetus shepherdi
21500,1996,DD,Data Deficient,NA,NA,Tasmacetus shepherdi
21500,1994,K,Insufficiently Known,NA,NA,Tasmacetus shepherdi
39384,2005,NT,Near Threatened,NA,NA,Triaenodon obesus
39384,2000,LR/nt,Lower Risk/near threatened,NA,NA,Triaenodon obesus
41714,2012,DD,Data Deficient,NA,NA,Tursiops aduncus
41714,2008,DD,Data Deficient,NA,NA,Tursiops aduncus
41714,1996,DD,Data Deficient,NA,NA,Tursiops aduncus
22563,2012,LC,Least Concern,NA,NA,Tursiops truncatus
22563,2008,LC,Least Concern,NA,NA,Tursiops truncatus
22563,1996,DD,Data Deficient,NA,NA,Tursiops truncatus
22563,1994,K,Insufficiently Known,NA,NA,Tursiops truncatus
194300,2013,CR,Critically Endangered,NA,NA,Tursiops truncatus
16369383,2012,VU,Vulnerable,NA,NA,Tursiops truncatus
22563,2012,LC,Least Concern,NA,NA,Tursiops truncatus
22563,2008,LC,Least Concern,NA,NA,Tursiops truncatus
22563,1996,DD,Data Deficient,NA,NA,Tursiops truncatus
22563,1994,K,Insufficiently Known,NA,NA,Tursiops truncatus
194300,2013,CR,Critically Endangered,NA,NA,Tursiops truncatus
16369383,2012,VU,Vulnerable,NA,NA,Tursiops truncatus
22823,2015,VU,Vulnerable,NA,NA,Ursus maritimus
22823,2008,VU,Vulnerable,NA,NA,Ursus maritimus
22823,2006,VU,Vulnerable,NA,NA,Ursus maritimus
22823,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,Ursus maritimus
22823,1994,V,Vulnerable,NA,NA,Ursus maritimus
22823,1990,V,Vulnerable,NA,NA,Ursus maritimus
22823,1988,V,Vulnerable,NA,NA,Ursus maritimus
22823,1986,V,Vulnerable,NA,NA,Ursus maritimus
22823,1982,V,Vulnerable,NA,NA,Ursus maritimus
22823,1965,NA,"""Less rare but believed to be threatened-requires watching""",NA,NA,Ursus maritimus
23211,2008,LC,Least Concern,NA,NA,Ziphius cavirostris
23211,1996,DD,Data Deficient,NA,NA,Ziphius cavirostris
23211,1994,K,Insufficiently Known,NA,NA,Ziphius cavirostris
16381144,2012,DD,Data Deficient,NA,NA,Ziphius cavirostris
