"Country","score","gapfill"
"Myanmar",49.84,NA
"Congo, Republic of",49.74,NA
"Burkina Faso",49.34,NA
"Pakistan",49.13,NA
"Zimbabwe",49.11,NA
"Togo",49.03,NA
"Côte d'Ivoire",48.97,NA
"Mozambique",47.96,NA
"Cameroon",47.22,NA
"Nigeria",46.49,NA
"Djibouti",46.3,NA
"Mali",46.24,NA
"Mauritania",46.08,NA
"Madagascar",45.91,NA
"Liberia",45.07,NA
"Sierra Leone",44.22,NA
"Ethiopia",43.5,NA
"Yemen",41.76,NA
"Guinea",41.66,NA
"Niger",41.63,NA
"Angola",39.7,NA
"Chad",36.38,NA
"Afghanistan",35.89,NA
"Central African Republic",30.03,NA
"Bahrain",70.303562039373,"NutritionandBasicMedicalCare_gf"
"Belize",68.6530515369738,"PersonalSafety_gf, PersonalFreedomandChoice_gf"
"Bhutan",64.2963609744318,"NutritionandBasicMedicalCare_gf"
"Burundi",43.1552890386012,"NutritionandBasicMedicalCare_gf"
"Cape Verde",67.75906549825,"PersonalSafety_gf, PersonalFreedomandChoice_gf, ToleranceandInclusion_gf"
"Comoros",54.4285206893367,"NutritionandBasicMedicalCare_gf PersonalSafety_gf"
"Congo, Democratic Republic of",39.1645537108453,"NutritionandBasicMedicalCare_gf"
"Cuba",63.0760972940646,"Shelter_gf, ToleranceandInclusion_gf"
"Gabon",59.3002652009413,"AccesstoBasicKnowledge_gf"
"Gambia, The",47.3238553872635,"ToleranceandInclusion_gf"
"Guinea-Bissau",46.1254068393861,"Shelter_gf, AccesstoBasicKnowledge_gf, ToleranceandInclusion_gf"
"Guyana",62.1348098168803,"PersonalFreedomandChoice_gf, ToleranceandInclusion_gf"
"Haiti",45.5235058180195,"AccesstoBasicKnowledge_gf"
"Libya",53.6293963682046,"WaterandSanitation_gf NutritionandBasicMedicalCare_gf"
"Luxembourg",88.0900817147379,"PersonalSafety_gf"
"Malta",79.5947722624871,"PersonalSafety_gf"
"Oman",67.9575778834303,"AccesstoAdvancedEducation_gf, ToleranceandInclusion_gf"
"Papua New Guinea",46.1475547037424,"Shelter_gf NutritionandBasicMedicalCare_gf, ToleranceandInclusion_gf"
"Qatar",72.6899232148692,"NutritionandBasicMedicalCare_gf"
"Singapore",81.7307886487417,"NutritionandBasicMedicalCare_gf, AccesstoBasicKnowledge_gf"
"Sudan",37.0407258392822,"NutritionandBasicMedicalCare_gf"
"Suriname",69.2826320651333,"PersonalSafety_gf"
"Timor-Leste",55.90924676827,"EnvironmentalQuality_gf, ToleranceandInclusion_gf"
"Trinidad and Tobago",70.8483019697236,"AccesstoBasicKnowledge_gf"
"Turkmenistan",52.6579936833006,"AccesstoAdvancedEducation_gf"
"Vietnam",60.2636948241945,"AccesstoBasicKnowledge_gf"
"Zambia",51.33024758333,"AccesstoBasicKnowledge_gf"
