"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","model"
"110","Merluccius_merluccius-37","European hake",NA,NA,NA,NA,NA,"COM-SIR"
"111","Micromesistius_poutassou-27","Blue whiting",NA,NA,NA,NA,NA,"COM-SIR"
"112","Micromesistius_poutassou-34","Blue whiting",NA,NA,NA,NA,NA,"COM-SIR"
"113","Micromesistius_poutassou-37","Blue whiting",NA,NA,NA,NA,NA,"COM-SIR"
"114","Microstomus_pacificus-67","Dover sole",NA,NA,NA,NA,NA,"COM-SIR"
"115","Microstomus_pacificus-77","Dover sole",NA,NA,NA,NA,NA,"COM-SIR"
"116","Moolgarda_seheli-51","Bluespot mullet",NA,NA,NA,NA,NA,"COM-SIR"
"117","Mugil_cephalus-21","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"118","Mugil_cephalus-31","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"119","Mugil_cephalus-34","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"120","Mugil_cephalus-37","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"121","Mugil_cephalus-51","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"122","Mugil_cephalus-57","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"123","Mugil_cephalus-61","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"124","Mugil_cephalus-71","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"125","Mugil_cephalus-77","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"126","Mugil_cephalus-87","Flathead grey mullet",NA,NA,NA,NA,NA,"COM-SIR"
"127","Muraenesox_cinereus-51","Daggertooth pike conger",NA,NA,NA,NA,NA,"COM-SIR"
"128","Muraenesox_cinereus-57","Daggertooth pike conger",NA,NA,NA,NA,NA,"COM-SIR"
"129","Muraenesox_cinereus-61","Daggertooth pike conger",NA,NA,NA,NA,NA,"COM-SIR"
"130","Muraenesox_cinereus-71","Daggertooth pike conger",NA,NA,NA,NA,NA,"COM-SIR"
"131","Mycteroperca_microlepis-31","Gag",NA,NA,NA,NA,NA,"COM-SIR"
"132","Nemadactylus_bergi-41","Castaneta",NA,NA,NA,NA,NA,"COM-SIR"
"133","Nemipterus_virgatus-61","Golden threadfin bream",NA,NA,NA,NA,NA,"COM-SIR"
"134","Nemipterus_virgatus-71","Golden threadfin bream",NA,NA,NA,NA,NA,"COM-SIR"
"135","Netuma_thalassina-51","Giant catfish",NA,NA,NA,NA,NA,"COM-SIR"
"136","Netuma_thalassina-57","Giant catfish",NA,NA,NA,NA,NA,"COM-SIR"
"137","Netuma_thalassina-71","Giant catfish",NA,NA,NA,NA,NA,"COM-SIR"
"138","Odontesthes_regia-87","Chilean silverside",NA,NA,NA,NA,NA,"COM-SIR"
"139","Oncorhynchus_keta-61","Chum salmon",NA,NA,NA,NA,NA,"COM-SIR"
"140","Oncorhynchus_keta-67","Chum salmon",NA,NA,NA,NA,NA,"COM-SIR"
"141","Oncorhynchus_keta-77","Chum salmon",NA,NA,NA,NA,NA,"COM-SIR"
"142","Oncorhynchus_kisutch-61","Coho salmon",NA,NA,NA,NA,NA,"COM-SIR"
"143","Oncorhynchus_kisutch-67","Coho salmon",NA,NA,NA,NA,NA,"COM-SIR"
"144","Oncorhynchus_kisutch-77","Coho salmon",NA,NA,NA,NA,NA,"COM-SIR"
"145","Oncorhynchus_tshawytscha-61","Chinook salmon",NA,NA,NA,NA,NA,"COM-SIR"
"146","Oncorhynchus_tshawytscha-67","Chinook salmon",NA,NA,NA,NA,NA,"COM-SIR"
"147","Oncorhynchus_tshawytscha-77","Chinook salmon",NA,NA,NA,NA,NA,"COM-SIR"
"148","Osmerus_eperlanus-27","European smelt",NA,NA,NA,NA,NA,"COM-SIR"
"149","Pagellus_erythrinus-34","Common pandora",NA,NA,NA,NA,NA,"COM-SIR"
"150","Pagellus_erythrinus-37","Common pandora",NA,NA,NA,NA,NA,"COM-SIR"
"151","Pagrus_caeruleostictus-34","Bluespotted seabream",NA,NA,NA,NA,NA,"COM-SIR"
"152","Pampus_chinensis-51","Chinese silver pomfret",NA,NA,NA,NA,NA,"COM-SIR"
"153","Pampus_chinensis-57","Chinese silver pomfret",NA,NA,NA,NA,NA,"COM-SIR"
"154","Pampus_chinensis-71","Chinese silver pomfret",NA,NA,NA,NA,NA,"COM-SIR"
"155","Parophrys_vetulus-77","English sole",NA,NA,NA,NA,NA,"COM-SIR"
"156","Pelates_quadrilineatus-47","Fourlined terapon",NA,NA,NA,NA,NA,"COM-SIR"
"157","Pelates_quadrilineatus-51","Fourlined terapon",NA,NA,NA,NA,NA,"COM-SIR"
"158","Perca_fluviatilis-27","European perch",NA,NA,NA,NA,NA,"COM-SIR"
"159","Percophis_brasiliensis-41","Brazilian flathead",NA,NA,NA,NA,NA,"COM-SIR"
"160","Phycis_blennoides-27","Greater forkbeard",NA,NA,NA,NA,NA,"COM-SIR"
"161","Phycis_phycis-37","Forkbeard",NA,NA,NA,NA,NA,"COM-SIR"
"162","Platichthys_flesus-27","European flounder",NA,NA,NA,NA,NA,"COM-SIR"
"163","Platichthys_flesus-37","European flounder",NA,NA,NA,NA,NA,"COM-SIR"
"164","Pleuronectes_platessa-27","European plaice",NA,NA,NA,NA,NA,"COM-SIR"
"165","Polydactylus_quadrifilis-34","Giant African threadfin",NA,NA,NA,NA,NA,"COM-SIR"
"166","Porichthys_margaritatus-77","Daisy midshipman",NA,NA,NA,NA,NA,"COM-SIR"
"167","Prionace_glauca-77","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"168","Prionace_glauca-87","Blue shark",NA,NA,NA,NA,NA,"COM-SIR"
"169","Pseudotolithus_elongatus-34","Bobo croaker",NA,NA,NA,NA,NA,"COM-SIR"
"170","Pseudotolithus_elongatus-37","Bobo croaker",NA,NA,NA,NA,NA,"COM-SIR"
"171","Pseudotolithus_senegalensis-34","Cassava croaker",NA,NA,NA,NA,NA,"COM-SIR"
"172","Pseudotolithus_senegalensis-37","Cassava croaker",NA,NA,NA,NA,NA,"COM-SIR"
"173","Pteroscion_peli-34","Boe drum",NA,NA,NA,NA,NA,"COM-SIR"
"174","Rachycentron_canadum-34","Cobia",NA,NA,NA,NA,NA,"COM-SIR"
"175","Rachycentron_canadum-51","Cobia",NA,NA,NA,NA,NA,"COM-SIR"
"176","Rachycentron_canadum-57","Cobia",NA,NA,NA,NA,NA,"COM-SIR"
"177","Rachycentron_canadum-71","Cobia",NA,NA,NA,NA,NA,"COM-SIR"
"178","Rhabdosargus_sarba-51","Goldlined seabream",NA,NA,NA,NA,NA,"COM-SIR"
"179","Rhynchobatus_djiddensis-51","Giant guitarfish",NA,NA,NA,NA,NA,"COM-SIR"
"180","Rhynchobatus_djiddensis-57","Giant guitarfish",NA,NA,NA,NA,NA,"COM-SIR"
"181","Sarda_chiliensis-77","Eastern Pacific bonito",NA,NA,NA,NA,NA,"COM-SIR"
"182","Sarda_chiliensis-87","Eastern Pacific bonito",NA,NA,NA,NA,NA,"COM-SIR"
"183","Sardina_pilchardus-27","European pilchard",NA,NA,NA,NA,NA,"COM-SIR"
"184","Sardina_pilchardus-34","European pilchard",NA,NA,NA,NA,NA,"COM-SIR"
"185","Sardina_pilchardus-37","European pilchard",NA,NA,NA,NA,NA,"COM-SIR"
"186","Sardinella_brasiliensis-31","Brazilian sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"187","Sardinella_brasiliensis-41","Brazilian sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"188","Sardinella_fimbriata-51","Fringescale sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"189","Sardinella_fimbriata-57","Fringescale sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"190","Sardinella_fimbriata-61","Fringescale sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"191","Sardinella_fimbriata-71","Fringescale sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"192","Sardinella_gibbosa-51","Goldstripe sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"193","Sardinella_gibbosa-57","Goldstripe sardinella",NA,NA,NA,NA,NA,"COM-SIR"
"194","Saurida_tumbil-51","Greater lizardfish",NA,NA,NA,NA,NA,"COM-SIR"
"195","Sciades_parkeri-41","Gillbacker sea catfish",NA,NA,NA,NA,NA,"COM-SIR"
"196","Sciades_proops-41","Crucifix sea catfish",NA,NA,NA,NA,NA,"COM-SIR"
"197","Scomber_japonicus-61","Chub mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"198","Scomber_japonicus-67","Chub mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"199","Scomber_japonicus-71","Chub mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"200","Scomber_japonicus-77","Chub mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"201","Scomber_japonicus-87","Chub mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"202","Scomberoides_lysan-51","Doublespotted queenfish",NA,NA,NA,NA,NA,"COM-SIR"
"203","Scophthalmus_rhombus-27","Brill",NA,NA,NA,NA,NA,"COM-SIR"
"204","Sebastes_norvegicus-21","Golden redfish",NA,NA,NA,NA,NA,"COM-SIR"
"205","Sebastes_norvegicus-27","Golden redfish",NA,NA,NA,NA,NA,"COM-SIR"
"206","Seriola_dumerili-31","Greater amberjack",NA,NA,NA,NA,NA,"COM-SIR"
"207","Seriola_dumerili-34","Greater amberjack",NA,NA,NA,NA,NA,"COM-SIR"
"208","Seriola_dumerili-37","Greater amberjack",NA,NA,NA,NA,NA,"COM-SIR"
"209","Seriolella_brama-81","Common warehou",NA,NA,NA,NA,NA,"COM-SIR"
"210","Solea_solea-27","Common sole",NA,NA,NA,NA,NA,"COM-SIR"
"211","Solea_solea-37","Common sole",NA,NA,NA,NA,NA,"COM-SIR"
"212","Sparus_aurata-37","Gilthead seabream",NA,NA,NA,NA,NA,"COM-SIR"
"213","Sparus_aurata-47","Gilthead seabream",NA,NA,NA,NA,NA,"COM-SIR"
"214","Sphyraena_barracuda-51","Great barracuda",NA,NA,NA,NA,NA,"COM-SIR"
"215","Sprattus_sprattus-27","European sprat",NA,NA,NA,NA,NA,"COM-SIR"
"216","Sprattus_sprattus-37","European sprat",NA,NA,NA,NA,NA,"COM-SIR"
"217","Trachurus_capensis-47","Cape horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"218","Trachurus_capensis-51","Cape horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"219","Trachurus_murphyi-87","Chilean jack mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"220","Trachurus_trecae-34","Cunene horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"221","Trachurus_trecae-37","Cunene horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"222","Trachurus_trecae-47","Cunene horse mackerel",NA,NA,NA,NA,NA,"COM-SIR"
"223","Umbrina_canariensis-47","Canary drum",NA,NA,NA,NA,NA,"COM-SIR"
"224","Urophycis_brasiliensis-41","Brazilian codling",NA,NA,NA,NA,NA,"COM-SIR"
"225","Zoarces_viviparus-27","Eelpout",NA,NA,NA,NA,NA,"COM-SIR"
