Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After
Bhutan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,009.46","6,664.71","7,187.72","7,947.74","8,810.45","10,274.36","11,592.34","12,994.88",0
Bolivia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,850.65","5,099.27","5,330.64","5,601.98","5,888.72","6,194.22","6,519.76","6,793.84",1981
Bosnia and Herzegovina,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,115.22","8,215.95","8,406.07","8,759.74","9,267.64","9,861.65","10,502.72","11,175.56",2010
Botswana,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,105.21","16,820.29","17,595.63","18,478.14","19,436.29","20,462.88","21,629.85","22,734.32",2008
Brazil,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,666.00","11,875.26","12,340.18","12,994.68","13,698.94","14,474.05","15,302.86","16,174.67",2010
Brunei Darussalam,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","53,557.21","54,388.65","55,111.20","58,695.77","63,295.70","70,059.26","72,307.36","75,409.54",2011
Bulgaria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,812.32","14,311.58","14,870.19","15,592.53","16,463.47","17,394.49","18,390.01","19,437.13",2012
Burkina Faso,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,302.26","1,399.50","1,488.33","1,586.96","1,692.86","1,805.38","1,924.84","2,049.74",2010
Burundi,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",604.964,625.43,648.58,678.912,713.458,750.187,789.273,830.49,0
Cambodia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,239.24","2,402.33","2,579.06","2,792.82","3,028.82","3,287.73","3,574.70","3,885.77",2008
Cameroon,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,274.91","2,366.24","2,473.13","2,596.64","2,732.78","2,878.61","3,034.41","3,197.76",2010
Canada,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","41,690.04","42,734.36","43,593.74","45,101.39","46,736.91","48,439.98","50,194.51","51,913.02",2012
Cape Verde,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,947.20","4,132.81","4,313.48","4,536.10","4,779.10","5,052.14","5,345.47","5,655.61",2008
Central African Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",773.98,800.223,827.927,873.215,915.146,963.366,"1,014.78","1,069.66",2004
Chad,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,844.22","1,923.70","2,061.63","2,267.36","2,440.94","2,512.48","2,583.45","2,636.12",2004
Chile,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,309.84","18,419.04","19,474.74","20,598.80","21,790.83","23,091.02","24,485.96","25,957.96",2009
China,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,391.12","9,161.97","10,011.48","10,997.28","12,113.35","13,353.44","14,726.95","16,231.50",2012
Colombia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,314.83","10,791.73","11,284.22","11,886.98","12,521.00","13,198.88","13,923.17","14,683.15",2009
Comoros,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,231.65","1,257.99","1,296.77","1,346.96","1,399.26","1,454.56","1,513.80","1,575.94",2003
Democratic Republic of the Congo,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",348.527,368.908,394.253,415.437,439.807,465.454,488.982,507.058,1983
Republic of Congo,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,543.38","4,666.56","4,937.41","5,214.07","6,281.68","6,432.32","6,985.64","7,341.43",2004
Costa Rica,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,926.78","12,606.29","13,205.99","13,907.56","14,664.39","15,472.58","16,335.82","17,242.46",2011
Côte d'Ivoire,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,590.70","1,726.65","1,839.67","1,966.74","2,104.88","2,249.00","2,395.87","2,541.26",2009
Croatia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,849.81","17,810.14","18,066.82","18,702.30","19,460.76","20,263.29","21,216.01","22,207.38",2010
Cyprus,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,580.61","27,085.98",n/a,n/a,n/a,n/a,n/a,n/a,2012
Czech Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,111.90","27,190.92","27,662.99","28,621.96","29,948.56","31,375.55","32,959.60","34,632.48",2010
Denmark,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","37,340.58","37,657.20","38,521.26","39,680.19","40,964.37","42,319.57","43,747.79","45,211.58",2011
Djibouti,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,578.72","2,676.96","2,778.25","2,893.05","3,028.68","3,182.18","3,345.61","3,515.99",1999
Dominica,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,855.21","14,166.15","14,579.73","15,087.83","15,648.25","16,268.22","16,953.30","17,632.96",2011
Dominican Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,286.57","9,646.07","9,845.60","10,201.53","10,691.77","11,256.89","11,854.32","12,485.48",2004
Ecuador,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,552.16","10,055.89","10,517.91","10,983.89","11,450.89","11,936.80","12,451.35","12,968.34",2010
Egypt,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,454.82","6,544.87","6,652.92","6,868.66","7,249.15","7,728.52","8,244.00","8,748.02",2010
El Salvador,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,222.11","7,437.93","7,648.21","7,891.82","8,154.36","8,439.14","8,756.39","9,082.90",2007
Equatorial Guinea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,669.92","25,929.18","25,117.18","24,735.61","22,717.11","23,221.59","21,781.45","20,177.34",2010
Eritrea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",735.165,776.787,792.127,801.698,809.65,820.589,823.474,826.553,2006
Estonia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,657.05","21,713.22","22,731.03","23,917.50","25,219.58","26,654.03","28,203.90","29,871.07",2012
Ethiopia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,119.36","1,190.56","1,258.60","1,334.99","1,419.19","1,509.68","1,606.97","1,713.42",2008
Fiji,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,628.75","4,785.63","4,947.38","5,123.06","5,303.97","5,494.87","5,697.30","5,906.59",2007
Finland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,993.69","36,395.01","37,012.46","38,012.36","39,174.96","40,621.79","42,181.85","43,781.50",2011
France,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,089.79","35,547.96","35,941.52","36,810.70","37,926.10","39,212.42","40,608.92","42,065.72",2011
Gabon,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,530.02","16,547.59","17,586.34","18,885.88","20,303.67","21,893.38","23,708.67","24,409.40",0
The Gambia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,810.67","1,864.39","2,008.23","2,163.13","2,286.63","2,405.66","2,531.85","2,662.14",2010
Georgia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,502.30","5,929.75","6,355.74","6,853.64","7,410.83","8,040.65","8,748.47","9,515.97",2011
Germany,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","38,077.22","39,028.39","39,993.34","41,464.46","42,944.01","44,504.61","46,134.08","47,790.21",2012
Ghana,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,112.88","3,305.10","3,501.53","3,720.43","3,948.33","4,154.86","4,372.19","4,603.92",0
Greece,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,509.98","24,505.04","23,930.22","24,600.62","25,860.28","27,410.75","29,010.94","30,648.81",2011
Grenada,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,608.65","13,696.75","13,948.43","14,325.67","14,788.04","15,331.38","15,949.24","16,602.87",2009
Guatemala,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,092.57","5,208.96","5,335.95","5,489.79","5,655.05","5,829.12","6,012.42","6,199.77",2005
Guinea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,086.34","1,121.36","1,162.18","1,216.87","1,276.31","1,345.42","1,594.37","1,877.04",2009
Guinea-Bissau,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,244.52","1,222.76","1,268.46","1,396.37","1,467.54","1,535.20","1,605.11","1,677.73",2004
Guyana,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,569.11","7,938.78","8,488.39","9,147.90","9,860.40","10,400.47","10,946.55","11,515.39",2002
Haiti,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,234.93","1,242.82","1,358.10","1,450.60","1,546.90","1,647.63","1,754.46","1,867.85",0
Honduras,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,475.32","4,609.60","4,741.16","4,878.73","5,021.65","5,172.15","5,330.59","5,492.37",2001
Hong Kong SAR,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","50,296.10","51,494.15","53,432.23","56,404.11","59,546.02","62,957.54","66,609.94","70,484.13",2011
Hungary,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,570.72","19,637.59","19,998.05","20,678.84","21,459.19","22,310.52","23,210.94","24,133.56",2011
Iceland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","38,039.16","39,223.96","40,401.63","41,852.42","43,363.99","44,769.86","46,373.55","48,215.21",2011
India,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,666.90","3,829.70","4,060.22","4,341.80","4,661.72","5,019.25","5,410.77","5,833.59",2010
Indonesia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,668.65","4,977.09","5,302.03","5,672.59","6,072.97","6,509.55","6,982.02","7,486.70",2010
Islamic Republic of Iran,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,311.98","13,127.14","13,008.37","13,241.04","13,600.35","14,007.37","14,439.43","14,905.80",2010
Iraq,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,618.65","7,079.89","7,604.93","8,154.74","8,741.04","9,444.55","10,163.69","10,920.58",2004
Ireland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","40,894.86","41,920.73","42,806.38","44,357.87","46,208.82","48,032.33","49,963.90","51,959.76",2011
Israel,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","31,466.29","32,312.42","33,282.21","34,524.10","35,689.80","36,901.32","38,129.44","39,419.94",2012
Italy,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","30,422.23","30,136.38","30,094.06","30,770.58","31,695.37","32,742.71","33,856.83","34,940.34",2012
Jamaica,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,027.45","9,159.24","9,323.34","9,588.72","9,908.15","10,285.25","10,717.59","11,189.55",2010
Japan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","34,853.04","36,265.75","37,525.38","38,897.28","40,204.13","41,666.48","43,216.44","44,803.82",2012
Jordan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,907.01","6,042.29","6,198.91","6,396.50","6,634.06","6,918.08","7,218.90","7,530.73",2010
Kazakhstan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,253.30","13,892.83","14,750.46","15,736.24","16,879.85","18,101.42","19,442.21","20,876.54",2012
Kenya,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,740.58","1,802.38","1,884.57","1,984.81","2,092.81","2,215.40","2,329.09","2,454.33",2010
Kiribati,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,816.54","5,973.05","6,125.06","6,268.94","6,417.92","6,574.77","6,739.79","6,907.05",2009
Korea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","31,220.48","32,272.12","33,580.49","35,417.53","37,413.25","39,532.96","41,791.72","44,166.56",2011
Kosovo,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,,,,,,,,,,
Kuwait,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","38,332.08","39,888.76","39,861.23","40,795.86","42,038.07","43,358.48","44,760.55","46,202.78",2011
Kyrgyz Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,379.48","2,376.49","2,567.82","2,786.42","2,964.75","3,145.08","3,339.50","3,544.49",2010
Lao P.D.R.,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,769.60","3,011.21","3,260.59","3,532.94","3,830.53","4,160.90","4,518.24","4,895.88",2011
Latvia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,717.35","18,254.66","19,384.91","20,661.73","22,026.81","23,465.12","25,007.56","26,639.31",2012
Lebanon,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,449.48","15,756.94","16,126.73","16,885.64","17,685.03","18,534.45","19,437.19","20,378.27",2007
Lesotho,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,024.32","2,137.53","2,244.10","2,354.40","2,480.98","2,625.64","2,781.69","2,947.16",2006
Liberia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",625.735,672.558,716.043,749.736,800.98,840.647,890.901,956.534,2009
Libya,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,903.80","12,066.45","14,474.75","15,960.04","17,429.25","18,965.08","19,973.93","21,029.98",2008
Lithuania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,342.57","21,615.34","22,787.84","24,144.86","25,614.28","27,246.80","29,043.13","30,933.34",2011
Luxembourg,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","79,777.99","79,785.04","79,593.91","80,661.91","82,041.99","83,870.77","85,870.02","87,890.18",2011
FYR Macedonia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,444.03","10,579.03","10,945.61","11,486.60","12,109.14","12,813.12","13,588.33","14,424.58",2011
Madagascar,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",944.47,955.307,972.069,"1,003.82","1,039.39","1,083.29","1,135.85","1,191.61",2006
Malawi,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",850.819,857.672,893.837,939.782,992.856,"1,051.54","1,113.99","1,178.07",2009
Malaysia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,008.99","16,922.37","17,775.70","18,752.92","19,789.20","20,896.48","22,079.93","23,323.96",2012
Maldives,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,913.04","9,234.85","9,579.23","9,996.43","10,439.71","10,910.27","11,409.39","11,928.03",2006
Mali,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,128.03","1,100.24","1,136.77","1,194.95","1,244.71","1,293.57","1,345.24","1,396.80",2010
Malta,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","26,369.76","27,022.36","27,786.99","28,818.17","29,942.37","31,163.06","32,380.16","33,625.65",2008
Marshall Islands,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,604.00","8,683.18","8,793.02","8,971.00","9,084.77","9,275.82","9,478.60","9,681.81",2011
Mauritania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,006.72","2,121.62","2,230.44","2,349.78","2,921.43","3,091.94","3,275.24","3,380.66",2009
Mauritius,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,908.40","15,591.97","16,350.47","17,308.92","18,383.78","19,545.95","20,783.41","22,093.10",2011
